id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/15/value
2705185291,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-08-02T16:10:02.909Z,2024-08-02T19:39:54Z,,,,5127782453,130,7,5127822717,197,17324,5127782449,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5127822715,194,bwozpgcm48s08t1glxfgjajmd,5127782457,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127782451,59,"1, 2, 3, 6, 19, 4, 7, 18, 11, 14, 10, 8, 12, 15, 16, 17, 20, 22, 24, 25",5127782455,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127782447,30,"8r9iqig43yjty7l1oq6yg73mc, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, bwozpgcm48s08t1glxfgjajmd, 99tm7b6ux9s4qocz0y4pcahas, 81c40rn7lrb39qu0sam8kv6dw, 7pnxa8wzxx5qxevcckxdd62tx, cf6zq49y8v1ekw07e7yi3uac, 1el3mu4rgcx8tebrawgfvynf8, 4rhxehi019n7z1z1m7a39w1sk, 7h02v4ymnko5fh01iylbh34es, 4lac0f1ev5usxpka7gaev3hii, 35og29e19w0ykeqcvudhpgr8, m031ocyfq011rual3olkegdm, emakjdiju8z2peey3ytjahz6y, 6bkuzenpse2kzirt9q7qeisd0, ass2un9by50uzrp6i9njn7nkk, 65f1ckijc2btnprgz3s593dw4, 8rdndyl03uhh1u5id0qf3ymms, e0nkqbugb4xkpluu5e42zf2ms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705185705,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-08-02T16:12:08.801Z,2024-08-02T16:57:49Z,,,,5127784809,130,8,5127824087,197,16110,5127784803,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, elsygne5tjybbxrqgehtovnro, 7l7f98nn8gohmdacsdb2labkk, 5z7y55t2o577r8ki3i5855as, 9350utk4onh2hv5jznxqpkd7t, 1n4eldqa7h9jvcx1693zqu06i, 2tcdx5rp7vujnlid4oqqxdogk, 1fjkjzsei9slx2t4zhsqdkve1, bop31qof3lon7u6rvmb68ktzp, uiyol728wan4mxco2foplknp, 5i6n6yne6fh410vk7p7kkokmi, 8gqvlydur0v4cpmz1ozqkejh0, 3rok7i8nrt4yzx2melj4qiuqc, 9lsylzgf7e3i5zb0fshnxo6xg, 1hlx5mvl8th7y82gocnuxacd0, bpldj4qdzfdm1n739atcadbmc, khqldwfq14b7giakss24l9t5, 55qsxtqivxajkxmpdeyccus5w, 85a9bmnu6fqvhlff28qm0e0a1",5127784815,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127784811,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5127784805,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5127784813,194,5z7y55t2o577r8ki3i5855as,5127784807,59,"1, 3, 5, 34, 7, 2, 8, 6, 9, 10, 17, 4, 11, 14, 18, 19, 20, 21, 26, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192689,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-08-02T17:00:10.480Z,2024-08-02T17:00:10Z,,,,5127825535,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192691,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-08-02T17:00:10.480Z,2024-08-02T17:00:12Z,,,,5127825537,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192693,3,1,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,50.0,50.0,2024-08-02T17:00:10.481Z,2024-08-02T17:00:13Z,bop31qof3lon7u6rvmb68ktzp,M. Bay,,5127825549,279,S,5127825541,140,30.1,5127825545,212,24.9,5127825539,56,Back,5127825547,213,3.72,5127825543,141,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192701,4,1,1,0,3,aqtkb4mgrz8c6iqfufj6qjbv9,1,30.6,31.0,2024-08-02T17:00:13.776Z,2024-08-02T17:00:15Z,5z7y55t2o577r8ki3i5855as,J. Witt,,5127825573,140,36.7,5127825579,213,0.98,5127825577,212,11.4,5127825571,56,Back,5127825575,141,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192707,5,1,1,0,4,aqtkb4mgrz8c6iqfufj6qjbv9,1,36.8,44.9,2024-08-02T17:00:15.400Z,2024-08-02T17:00:17Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,5127825611,140,27.9,5127825615,212,14.3,5127825617,213,2.28,5127825609,56,Back,5127825613,141,60.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192715,6,1,1,0,7,aqtkb4mgrz8c6iqfufj6qjbv9,1,27.8,62.0,2024-08-02T17:00:17.552Z,2024-08-02T17:00:19Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,5127825661,141,87.8,5127825665,213,1.22,5127825657,56,Back,5127825659,140,33.9,5127825663,212,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192723,7,1,1,0,8,aqtkb4mgrz8c6iqfufj6qjbv9,1,32.2,85.1,2024-08-02T17:00:19.401Z,2024-08-02T17:00:21Z,elsygne5tjybbxrqgehtovnro,L. Bøje-Larsen,,5127825695,140,25.9,5127825703,212,11.0,5127825693,56,Back,5127825707,213,4.07,5127825699,141,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705192737,8,1,1,0,10,aqtkb4mgrz8c6iqfufj6qjbv9,1,26.1,73.2,2024-08-02T17:00:21.258Z,2024-08-02T17:00:22Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,5127825747,141,51.8,5127825751,213,4.71,5127825743,56,Back,5127825749,212,14.6,5127825745,140,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
