id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/16/value
2730015567,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-10-04T15:35:12.993Z,2024-10-04T15:35:20Z,,,,,5264122819,130,12,5264122815,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5264122817,59,"25, 7, 27, 13, 12, 18, 11, 10, 9, 23, 17, 1, 3, 4, 8, 14, 16, 20, 22, 26",5264122813,30,"9yxhg70gpwi3e9s84c8qwg0yx, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, bp232fgjrfyok2471ec7u1tcl, dwuxps3jv2852642q000wep6, 4qyfoq5fjiochtj89w426lm21, 8gqvlydur0v4cpmz1ozqkejh0, b0yv1pcxifawqx6r1cfqq3otm, dxv40hh07gxq4hn0i6dwb2l4a, lu9bber07etravimh00k745x, ayhdul772mr22qoly04psb3f8, 9xub4z9b3bog8wqhn5yfihecp, 8gdfn7j6xac9p4jh94hk40jdg, 4dmz3u7j1eoz4ofr1o8tbxedw, az9x5coo3hl4qkt16x24pp5re, 8q8yol44e42o9hwttlopznvh0, e0rgqk3gxzs005m9ok9hvp1ck",5264122825,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264122821,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264122823,194,cflwegqpzch8y30pb3dhigqnd,5264123057,197,18945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730017887,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-10-04T15:43:17.843Z,2024-10-04T19:17:23Z,,,,,5264202751,197,17324,5264136573,30,"8r9iqig43yjty7l1oq6yg73mc, 6zhj070huc77sl5o5bx6ey5g4, duvhbifjh37mvlm46akiy431m, 81c40rn7lrb39qu0sam8kv6dw, 4brcvdxviy9f03iwcavxll80l, g2cgdv428rmpmb0om40ldses, bwozpgcm48s08t1glxfgjajmd, 4rhxehi019n7z1z1m7a39w1sk, m031ocyfq011rual3olkegdm, d106tu53y5q02yu36iojbou8k, 4lac0f1ev5usxpka7gaev3hii, aejgqvdw1jftxaa538kaa15w4, 7pnxa8wzxx5qxevcckxdd62tx, 7h02v4ymnko5fh01iylbh34es, 1el3mu4rgcx8tebrawgfvynf8, 35og29e19w0ykeqcvudhpgr8, 6bkuzenpse2kzirt9q7qeisd0, cf6zq49y8v1ekw07e7yi3uac, 65f1ckijc2btnprgz3s593dw4, 4ieyvppe24gqdkm2xv2xlaluc",5264136585,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264136575,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5264136579,130,12,5264136577,59,"1, 23, 2, 4, 5, 26, 6, 14, 15, 27, 8, 3, 7, 10, 11, 12, 17, 18, 22, 30",5264136581,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264136583,194,bwozpgcm48s08t1glxfgjajmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029505,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-10-04T16:30:32.110Z,2024-10-04T16:30:32Z,,,,,5264204103,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029509,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-10-04T16:30:32.110Z,2024-10-04T16:30:34Z,,,,,5264204119,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029513,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,50.2,50.1,2024-10-04T16:30:32.511Z,2024-10-04T16:30:35Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5264204145,212,21.0,5264204149,279,S,5264204139,56,Back,5264204147,213,3.51,5264204143,141,38.9,5264204141,140,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029557,4,1,1,0,2,bd4qakf7j0wwie8wke9km7uj8,1,31.6,38.9,2024-10-04T16:30:34.229Z,2024-10-04T16:30:38Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5264204363,56,Back,5264204369,212,20.9,5264204365,140,27.5,5264204367,141,8.8,5264204371,213,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029571,5,1,1,0,5,bd4qakf7j0wwie8wke9km7uj8,1,27.5,8.8,2024-10-04T16:30:38.029Z,2024-10-04T16:30:39Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5264204445,141,26.5,5264204449,213,0.42,5264204447,212,29.5,5264204441,56,Center,5264204443,140,53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029581,6,1,1,0,7,bd4qakf7j0wwie8wke9km7uj8,1,53.7,32.1,2024-10-04T16:30:39.745Z,2024-10-04T19:32:11Z,4lac0f1ev5usxpka7gaev3hii,M. Kristensen,,,5264346177,212,7.2,5264346175,141,28.9,5264346179,213,3.45,5264346171,56,Back,5264346173,140,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029585,7,1,1,0,7,bd4qakf7j0wwie8wke9km7uj8,1,45.2,30.7,2024-10-04T16:30:39.909Z,2024-10-04T19:32:15Z,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,,,5264347181,212,22.1,5264347183,213,0.38,5264347177,140,64.8,5264347175,56,Center,5264347179,141,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029619,9,1,1,0,9,bd4qakf7j0wwie8wke9km7uj8,1,62.4,43.3,2024-10-04T16:30:41.485Z,2024-10-04T19:32:19Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5264204633,140,61.8,5264204631,56,Center,5264204639,213,4.63,5264204635,141,32.0,5264204637,212,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029625,10,1,1,0,11,bd4qakf7j0wwie8wke9km7uj8,0,64.5,29.1,2024-10-04T16:30:43.486Z,2024-10-04T16:36:45Z,4lac0f1ev5usxpka7gaev3hii,M. Kristensen,,,5264221233,236,,5264221235,233,3,5264221239,286,,5264207559,141,27.6,5264207557,140,66.2,5264207561,212,2.1,5264207563,213,5.76,5264204651,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029615,3,74,1,0,11,b2vft81kyjurzbmekvgrqwr64,1,37.0,65.5,2024-10-04T16:30:43.487Z,2024-10-04T20:00:50Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5264204615,56,Back,5264221303,233,10,5264204617,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029677,11,1,1,0,17,bd4qakf7j0wwie8wke9km7uj8,0,92.8,27.1,2024-10-04T16:30:50.029Z,2024-10-04T16:30:50Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5264204907,141,43.7,5264204909,212,11.4,5264204905,140,91.1,5264204911,213,1.73,5264204903,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029699,4,12,1,0,19,b2vft81kyjurzbmekvgrqwr64,1,10.3,55.8,2024-10-04T16:30:51.229Z,2024-10-04T16:30:54Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5264205019,167,,5264204997,141,100.0,5264204995,140,36.5,5264204999,212,41.0,5264205001,213,0.84,5264204993,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029701,5,5,1,0,21,b2vft81kyjurzbmekvgrqwr64,0,33.7,100.6,2024-10-04T16:30:53.375Z,2024-10-04T18:28:52Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,,5264205003,56,Back,5264205219,233,12,5264205005,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029735,12,5,1,0,21,bd4qakf7j0wwie8wke9km7uj8,1,66.3,-0.6000000000000001,2024-10-04T16:30:53.375Z,2024-10-04T18:28:51Z,4brcvdxviy9f03iwcavxll80l,H. Askham,,,5264205189,56,Right,5264205211,233,5,5264205191,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029745,13,1,1,0,27,bd4qakf7j0wwie8wke9km7uj8,1,70.9,0.0,2024-10-04T16:30:59.501Z,2024-10-04T20:00:47Z,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,,,5264205287,141,8.5,5264205285,140,74.7,5264205289,212,7.4,5264205283,56,Right,5264205281,107,,5264205291,213,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029753,14,1,1,0,28,bd4qakf7j0wwie8wke9km7uj8,1,74.7,8.5,2024-10-04T16:31:00.293Z,2024-10-04T16:31:02Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5264205313,141,3.2,5264205311,140,70.6,5264205315,212,5.6,5264205309,56,Right,5264205317,213,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029769,15,1,1,0,30,bd4qakf7j0wwie8wke9km7uj8,1,67.5,5.0,2024-10-04T16:31:02.317Z,2024-10-04T16:31:03Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5264205371,56,Back,5264205373,140,37.8,5264205379,213,2.70,5264205375,141,26.8,5264205381,1,,5264205377,212,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029785,16,1,1,0,31,bd4qakf7j0wwie8wke9km7uj8,1,37.8,26.8,2024-10-04T16:31:03.749Z,2024-10-04T16:31:07Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5264205487,213,1.60,5264205489,1,,5264205485,212,33.4,5264205479,56,Back,5264205483,141,75.9,5264205481,140,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029813,17,1,1,0,37,bd4qakf7j0wwie8wke9km7uj8,1,27.1,82.1,2024-10-04T16:31:09.990Z,2024-10-04T16:31:13Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5264205653,141,57.6,5264205651,140,15.4,5264205657,213,4.08,5264205655,212,20.7,5264205649,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029851,18,1,1,0,41,bd4qakf7j0wwie8wke9km7uj8,1,14.8,58.1,2024-10-04T16:31:13.821Z,2024-10-04T16:31:19Z,8r9iqig43yjty7l1oq6yg73mc,M. Brylov,,,5264205875,140,23.9,5264205879,212,30.0,5264205881,213,5.04,5264205877,141,16.3,5264205873,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730029875,19,1,1,0,47,bd4qakf7j0wwie8wke9km7uj8,1,27.0,15.2,2024-10-04T16:31:19.140Z,2024-10-04T16:31:22Z,d106tu53y5q02yu36iojbou8k,A. Jensen,,,5264205957,56,Back,5264205959,140,25.3,5264205965,213,1.67,5264205963,212,18.6,5264205961,141,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
