id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2711893439,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-08-23T16:03:31.120Z,2024-08-23T19:07:07Z,,,,5164894609,130,4,5164894603,30,"8mswl5vzza12hylodrrsq3zvu, 9lsylzgf7e3i5zb0fshnxo6xg, elsygne5tjybbxrqgehtovnro, bpldj4qdzfdm1n739atcadbmc, khqldwfq14b7giakss24l9t5, 5i6n6yne6fh410vk7p7kkokmi, 1n4eldqa7h9jvcx1693zqu06i, 7l7f98nn8gohmdacsdb2labkk, bop31qof3lon7u6rvmb68ktzp, 1fjkjzsei9slx2t4zhsqdkve1, uiyol728wan4mxco2foplknp, 9350utk4onh2hv5jznxqpkd7t, 81gka3mi69fh8gyehyy8xo9as, 5z7y55t2o577r8ki3i5855as, 8gqvlydur0v4cpmz1ozqkejh0, 5dlh0fa9yo6z283w9p58xmnoq, 3rok7i8nrt4yzx2melj4qiuqc, 3avg1grraylzm6xjt5kt18is4, 55qsxtqivxajkxmpdeyccus5w, 85a9bmnu6fqvhlff28qm0e0a1",5164894611,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5164957953,194,bpldj4qdzfdm1n739atcadbmc,5164894607,59,"1, 18, 5, 20, 21, 4, 8, 34, 10, 9, 17, 2, 3, 7, 11, 12, 14, 23, 26, 27",5164894605,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5164957955,197,16344,5164894613,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711897103,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-08-23T16:26:51.305Z,2024-08-23T19:03:47Z,,,,5164915751,59,"13, 2, 3, 8, 5, 28, 18, 14, 11, 27, 22, 1, 6, 9, 10, 16, 20, 21, 26, 19",5164915755,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5164920225,194,ezbixgm2km8iapnsl57bn4wkp,5164915747,30,"b2gkyjq8emj9pywryc3rycogl, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, ezbixgm2km8iapnsl57bn4wkp, 2uellcocrvapu7o70g5zdcmad, 8xe0fufxfgf5cuwgysz3r2j85, 86mx27krl6c613x6e3t9g3cic, e8vt8711wb40afht2v13omket, 8i0o1b8rjsab9se3v6vteqmfo, 4a0jmv6qmwn01iuqp1mhnyzth, kqj7nh6pqmqbt0abyyu0fcpg, 9y3vs6l0mjj38z0kw062jlh3p, 5u9zrgsm6wycfcbk04m64wd1w, zpl7lyln792rt0b2oedamvbo, as7qhgi67gngq0nb3zmwg8jro, dja68kdmhtsm9x5zqzgtpqas4, 6dki65mdd3letfjjj51i0w3c9, ab3nxxoj7bxlnhot9htoex1xw, 8xfqengyrwgxhhi86ok88vf2s, ct7z1lwc3kc5oblzcewgipzl6",5164915757,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5164915753,130,8,5164915749,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5164958639,197,19798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906333,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-08-23T17:00:34.491Z,2024-08-23T17:00:35Z,,,,5164961147,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906329,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-08-23T17:00:34.491Z,2024-08-23T17:00:34Z,,,,5164961129,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906337,3,1,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,50.0,50.0,2024-08-23T17:00:34.492Z,2024-08-23T17:00:36Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,5164961163,278,,5164961159,213,1.97,5164961153,140,48.5,5164961157,212,4.1,5164961155,141,55.5,5164961161,279,S,5164961151,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906353,4,1,1,0,1,aqtkb4mgrz8c6iqfufj6qjbv9,1,48.5,55.5,2024-08-23T17:00:35.897Z,2024-08-23T17:00:38Z,bop31qof3lon7u6rvmb68ktzp,M. Bay,,5164961235,213,3.95,5164961233,212,18.2,5164961229,140,36.6,5164961231,141,36.1,5164961227,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906363,5,1,1,0,4,aqtkb4mgrz8c6iqfufj6qjbv9,1,35.6,35.8,2024-08-23T17:00:38.561Z,2024-08-23T17:00:56Z,khqldwfq14b7giakss24l9t5,K. Enghardt,,5164961285,212,20.0,5164961279,56,Back,5164961281,140,27.0,5164961283,141,62.1,5164961287,213,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906373,6,1,1,0,6,aqtkb4mgrz8c6iqfufj6qjbv9,1,26.9,62.4,2024-08-23T17:00:41.184Z,2024-08-23T17:00:44Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,5164961321,56,Back,5164961327,212,22.1,5164961329,213,1.35,5164961323,140,31.5,5164961325,141,94.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906377,7,1,1,0,9,aqtkb4mgrz8c6iqfufj6qjbv9,0,31.3,90.3,2024-08-23T17:00:44.089Z,2024-08-23T17:01:07Z,elsygne5tjybbxrqgehtovnro,L. Bøje-Larsen,,5164961859,157,,5164961353,213,5.63,5164961349,141,78.2,5164961347,140,41.6,5164961345,56,Back,5164961861,1,,5164961351,212,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711906387,3,1,1,0,10,ajtb177oqwawkdwbqhldmq6mx,0,54.5,25.2,2024-08-23T17:00:45.207Z,2024-08-23T17:00:46Z,e8vt8711wb40afht2v13omket,M. Wohlgemuth,,5164961399,213,0.11,5164961393,140,67.1,5164961389,3,,5164961397,212,13.3,5164961395,141,27.3,5164961391,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
