id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2807019703,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-04-27T12:17:00.161Z,2025-04-27T20:43:58Z,,,,5684384871,130,7,5684384869,59,"16, 2, 21, 5, 25, 15, 7, 10, 14, 17, 12, 1, 3, 4, 6, 8, 9, 11, 32, 38",5684384875,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684384867,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5684384873,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684602293,194,1se7wkenvs4elrapvdw9mdnje,5684384865,30,"45bcgucg627rhrdgt8tn9hd9m, s8c0oxnoqt6zi7pi88rwawvd, 1se7wkenvs4elrapvdw9mdnje, bmkwmf5f2ssnw2cq7uga7yd5g, 839pm7rmjp6q1bt52f7ek9vys, c7buy99bjqmkmno8w5t0189d6, 6hmsrr08cllpl4iumu92zskbt, 7wo1hk736v1xhovvu2t2trw89, 4jve632xnmqujh4ioaxpaovai, 9n2nm6smh0txgv2482qbwhixg, ate1ymumg2iwzn8uyyf3ts222, 7fkc01xxyl1trj3uav134ehyi, aqc0qritba195wf770gyd1149, 37mo55lynu3blqnb8k9ln8k16, 8k4wwchytdstpn0yhrxd5nbv9, 15yli690oxmbr4dl1ksti2p9m, 4mxciw9jsj9l437fd7bv78p91, 6m4anciafmzc24s44xszymbc9, ayjuukbjjzrldkn4d4shfnggk, 5sha6xhovfmuzd7rolx1om39w",5684603993,197,4652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807025691,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-04-27T12:23:07.267Z,2025-04-27T13:00:03Z,,,,5684416539,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684416537,130,8,5684547765,194,3od63zrf6cay4d6ync9i2iuqc,5684416531,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 1ai0gvdx68lxclbj6m255w72t, 4bojyjyvkdgm1lss6n37q2t5g, b1kyjkhaaiw32cb4bubbpm7tg, 3od63zrf6cay4d6ync9i2iuqc, 4m3slt6iikaxklqd12i719rl5, 7ztdirfvd9d0x2yw1v051xzbo, 9jqox80arzpytv1b136jobhpm, ayxi2m0g0pm6rl1ba5pto66z9, 45ssaw51hm80y1tfalyesap9m, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, 6wfu6s6xo5zjeke21fgbouql0, 6lb4k3g75nzgi8bp1y1mzxkru, ei3xmwfz8dah5e4lcbu4w98t1, 2zt1yrfv8m2mhpo720n0uydck, 23sc7wc7my7wes6cuaxw1v0no, y4dl1rer075c9wz6zhx7skbt, 289rctmvd5ppy9zqn98jbe4et",5684416535,59,"90, 14, 12, 17, 4, 5, 11, 13, 16, 7, 10, 1, 2, 8, 9, 18, 20, 21, 97, 98",5684603581,197,11563,5684416541,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5684416533,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807062293,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-04-27T13:01:26.940Z,2025-04-27T13:01:29Z,,,,5684611547,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807062277,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-04-27T13:01:26.940Z,2025-04-27T13:01:27Z,,,,5684611497,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807062325,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,50.0,50.0,2025-04-27T13:01:26.941Z,2025-04-27T13:01:29Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,5684611723,213,3.16,5684611717,140,31.8,5684611725,279,S,5684611721,212,19.1,5684611719,141,49.6,5684611715,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807062403,4,1,1,0,2,f1h34qp5zbfl489q8vnkhiq9s,1,31.8,49.6,2025-04-27T13:01:29.492Z,2025-04-27T13:01:33Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,5684612177,213,5.82,5684612179,1,,5684612167,157,,5684612173,141,22.2,5684612169,56,Center,5684612171,140,67.5,5684612175,212,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807062415,5,44,1,0,6,f1h34qp5zbfl489q8vnkhiq9s,1,67.5,29.4,2025-04-27T13:01:33.108Z,2025-04-27T15:08:09Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,5684612225,286,,5684612305,233,3,5684612223,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807062419,3,44,1,0,6,6wwwud48qahpwrfxs20334qk5,0,32.5,70.6,2025-04-27T13:01:33.109Z,2025-04-27T15:08:09Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,5684612309,233,5,5684612245,56,Back,5684612247,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807062471,6,1,1,0,6,f1h34qp5zbfl489q8vnkhiq9s,1,67.5,22.2,2025-04-27T13:01:33.212Z,2025-04-27T13:01:36Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,5684612527,212,9.1,5684612517,3,,5684612529,213,5.74,5684612519,168,,5684612523,140,74.9,5684612525,141,15.3,5684612521,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2807062625,7,1,1,0,9,f1h34qp5zbfl489q8vnkhiq9s,1,73.9,27.0,2025-04-27T13:01:36.404Z,2025-04-27T13:01:42Z,6hmsrr08cllpl4iumu92zskbt,L. From,,5684613329,212,27.6,5684613327,141,66.9,5684613321,56,Center,5684613333,213,1.76,5684613323,140,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
