id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/value
2750067149,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-11-22T17:09:23.274Z,2024-11-22T20:50:31Z,,,,,5373749205,130,8,5373871205,197,19798,5373749209,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5373827351,194,ezbixgm2km8iapnsl57bn4wkp,5373749195,30,"b2gkyjq8emj9pywryc3rycogl, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, 5u9zrgsm6wycfcbk04m64wd1w, 2uellcocrvapu7o70g5zdcmad, 6dki65mdd3letfjjj51i0w3c9, 8viazilbghyogmhd7w3lg2six, ezbixgm2km8iapnsl57bn4wkp, 8i0o1b8rjsab9se3v6vteqmfo, 4a0jmv6qmwn01iuqp1mhnyzth, kqj7nh6pqmqbt0abyyu0fcpg, 9y3vs6l0mjj38z0kw062jlh3p, 5mmgppapbchmcj9zdtyw0w5xw, e8vt8711wb40afht2v13omket, dja68kdmhtsm9x5zqzgtpqas4, 86mx27krl6c613x6e3t9g3cic, ct7z1lwc3kc5oblzcewgipzl6, ab3nxxoj7bxlnhot9htoex1xw, 38shfw53eg5qtvem3d3ou04r8, 8xe0fufxfgf5cuwgysz3r2j85",5373749207,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5373749201,59,"13, 2, 3, 6, 5, 20, 29, 8, 11, 27, 22, 1, 9, 14, 16, 18, 19, 21, 23, 28",5373749199,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2750067199,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-11-22T17:09:31.858Z,2024-11-22T18:13:41Z,,,,,5373749491,59,"25, 7, 27, 13, 12, 18, 11, 8, 23, 9, 10, 1, 3, 4, 6, 14, 16, 20, 22, 26",5373749497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5373749487,30,"9yxhg70gpwi3e9s84c8qwg0yx, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, bp232fgjrfyok2471ec7u1tcl, 9xub4z9b3bog8wqhn5yfihecp, 8gqvlydur0v4cpmz1ozqkejh0, 4qyfoq5fjiochtj89w426lm21, dwuxps3jv2852642q000wep6, dxv40hh07gxq4hn0i6dwb2l4a, lu9bber07etravimh00k745x, ayhdul772mr22qoly04psb3f8, 1xcf8y3egy8j0g2c6xkcx6o6h, 8gdfn7j6xac9p4jh94hk40jdg, 4dmz3u7j1eoz4ofr1o8tbxedw, az9x5coo3hl4qkt16x24pp5re, 8q8yol44e42o9hwttlopznvh0, e0rgqk3gxzs005m9ok9hvp1ck",5373871457,197,18945,5373749493,130,10,5373749489,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5373749495,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5373805549,194,cflwegqpzch8y30pb3dhigqnd,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750091999,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-11-22T18:16:11.832Z,2024-11-22T18:16:12Z,,,,,5373878651,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750092003,3,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-11-22T18:16:11.832Z,2024-11-22T18:16:13Z,,,,,5373878665,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750092031,3,1,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,49.9,50.0,2024-11-22T18:16:11.833Z,2024-11-22T18:16:16Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5373878785,141,82.3,5373878789,213,2.29,5373878783,140,31.4,5373878791,279,S,5373878781,56,Back,5373878787,212,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750092061,4,1,1,0,4,b2vft81kyjurzbmekvgrqwr64,0,31.3,85.1,2024-11-22T18:16:16.113Z,2024-11-22T20:21:26Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5373878939,1,,5373878933,141,0.0,5373878929,56,Right,5373878935,212,76.9,5373878931,140,79.2,5373878927,157,,5373878937,213,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750092167,4,5,1,0,6,ajtb177oqwawkdwbqhldmq6mx,1,19.6,100.9,2024-11-22T18:16:18.517Z,2024-11-22T20:22:53Z,8viazilbghyogmhd7w3lg2six,S. Koch,,,5373879459,56,Back,5373879461,347,,5373879501,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750092069,5,5,1,0,6,b2vft81kyjurzbmekvgrqwr64,0,80.4,-0.9,2024-11-22T18:16:18.517Z,2024-11-22T20:22:54Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5373878977,347,,5373878975,56,Right,5373879509,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750092183,5,1,1,0,19,ajtb177oqwawkdwbqhldmq6mx,0,17.8,100.0,2024-11-22T18:16:31.379Z,2024-11-22T18:16:34Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5373879551,213,6.08,5373879553,1,,5373879545,140,55.8,5373879543,56,Left,5373879541,107,,5373879549,212,40.7,5373879547,141,89.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750092231,6,1,1,0,23,b2vft81kyjurzbmekvgrqwr64,1,34.5,13.8,2024-11-22T18:16:35.664Z,2024-11-22T18:16:38Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5373879803,1,,5373879791,157,,5373879797,141,4.0,5373879795,140,86.4,5373879801,213,6.16,5373879799,212,54.9,5373879793,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
