id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId
2753228445,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-11-30T11:05:09.216Z,2024-11-30T15:41:43Z,,,,,5390866117,130,8,5390962369,194,8r9iqig43yjty7l1oq6yg73mc,5390866111,30,"8r9iqig43yjty7l1oq6yg73mc, g2cgdv428rmpmb0om40ldses, aejgqvdw1jftxaa538kaa15w4, 4rhxehi019n7z1z1m7a39w1sk, 35og29e19w0ykeqcvudhpgr8, 81c40rn7lrb39qu0sam8kv6dw, 7h02v4ymnko5fh01iylbh34es, 6zhj070huc77sl5o5bx6ey5g4, 7pnxa8wzxx5qxevcckxdd62tx, cf6zq49y8v1ekw07e7yi3uac, m031ocyfq011rual3olkegdm, duvhbifjh37mvlm46akiy431m, bwozpgcm48s08t1glxfgjajmd, 1el3mu4rgcx8tebrawgfvynf8, 6bkuzenpse2kzirt9q7qeisd0, 65f1ckijc2btnprgz3s593dw4, 8rdndyl03uhh1u5id0qf3ymms, e0nkqbugb4xkpluu5e42zf2ms, d106tu53y5q02yu36iojbou8k, 4ieyvppe24gqdkm2xv2xlaluc",5390866115,59,"1, 26, 3, 14, 12, 4, 10, 23, 7, 18, 15, 2, 6, 11, 17, 22, 24, 25, 27, 30",5390962371,197,17324,5390866113,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5390866121,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5390866119,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,
2753230031,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-11-30T11:09:53.330Z,2024-11-30T11:56:47Z,,,,,5390961955,194,3od63zrf6cay4d6ync9i2iuqc,5390874867,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",5390874865,130,4,5390961957,197,11563,5390874861,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",5390874869,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5390874863,59,"90, 14, 17, 6, 5, 4, 13, 21, 16, 97, 11, 1, 2, 3, 8, 19, 20",5390874859,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 4bojyjyvkdgm1lss6n37q2t5g, 7rt4wpc0qphwnvhn8jeazesfe, 3od63zrf6cay4d6ync9i2iuqc, b1kyjkhaaiw32cb4bubbpm7tg, 7ztdirfvd9d0x2yw1v051xzbo, 23sc7wc7my7wes6cuaxw1v0no, 9jqox80arzpytv1b136jobhpm, y4dl1rer075c9wz6zhx7skbt, 4m3slt6iikaxklqd12i719rl5, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, dgcbjg2ymgi70yv1n8ugkv02c, 6wfu6s6xo5zjeke21fgbouql0, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck",,,,,,,,,,,,,,,,,,,,,,,,,,
2753248131,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-11-30T12:01:09.542Z,2024-11-30T12:01:09Z,,,,,5390967859,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753248135,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-11-30T12:01:09.542Z,2024-11-30T12:01:12Z,,,,,5390967873,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753248155,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,50.0,50.0,2024-11-30T12:01:09.543Z,2024-11-30T12:01:13Z,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,,,5390967947,213,3.70,5390967941,140,27.5,5390967939,56,Back,5390967945,212,27.9,5390967943,141,28.2,5390967949,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753248175,4,1,1,0,4,bd4qakf7j0wwie8wke9km7uj8,1,29.4,27.6,2024-11-30T12:01:13.796Z,2024-11-30T12:01:16Z,35og29e19w0ykeqcvudhpgr8,N. Vesterbæk,,,5390968027,141,60.8,5390968031,213,1.82,5390968025,140,24.0,5390968023,56,Back,5390968029,212,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753248203,5,1,1,0,7,bd4qakf7j0wwie8wke9km7uj8,1,22.7,65.1,2024-11-30T12:01:16.676Z,2024-11-30T12:01:20Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5390968167,212,21.5,5390968163,141,95.0,5390968155,56,Back,5390968159,140,29.4,5390968173,213,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753248223,6,1,1,0,10,bd4qakf7j0wwie8wke9km7uj8,0,30.1,94.7,2024-11-30T12:01:20.165Z,2024-11-30T12:01:22Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5390968279,140,73.8,5390968275,155,,5390968287,1,,5390968283,212,46.1,5390968281,141,100.0,5390968285,213,0.11,5390968277,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753248353,3,5,1,0,12,6wwwud48qahpwrfxs20334qk5,1,25.9,-2.0,2024-11-30T12:01:22.531Z,2024-11-30T14:05:12Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5390968929,347,,5390968927,56,Back,5390968951,233,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753248225,7,5,1,0,12,bd4qakf7j0wwie8wke9km7uj8,0,74.1,102.0,2024-11-30T12:01:22.531Z,2024-11-30T14:05:12Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5390968289,56,Left,5390968291,347,,5390968985,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753248417,4,1,1,0,27,6wwwud48qahpwrfxs20334qk5,1,27.6,0.0,2024-11-30T12:01:37.344Z,2024-11-30T12:01:45Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5390969237,212,41.2,5390969243,1,,5390969225,140,65.5,5390969221,56,Right,5390969217,107,,5390969241,213,0.26,5390969233,141,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753248425,5,4,1,0,35,6wwwud48qahpwrfxs20334qk5,1,79.4,8.3,2024-11-30T12:01:45.188Z,2024-11-30T14:05:46Z,y4dl1rer075c9wz6zhx7skbt,O. Buch,,,5390969309,13,,5390969317,286,,5390969311,294,,5390969313,56,Right,5390969357,233,8,5390969315,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753248413,8,4,1,0,35,bd4qakf7j0wwie8wke9km7uj8,0,20.6,91.7,2024-11-30T12:01:45.189Z,2024-11-30T14:05:46Z,35og29e19w0ykeqcvudhpgr8,N. Vesterbæk,,,5390969327,152,,5390969373,233,5,5390969321,13,,5390969325,56,Back,5390969323,294,,5390969329,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753248729,6,1,1,1,8,6wwwud48qahpwrfxs20334qk5,1,83.2,8.9,2024-11-30T12:02:17.584Z,2024-11-30T12:02:19Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5390970875,141,10.4,5390970871,56,Right,5390970877,212,2.4,5390970867,5,,5390970879,213,2.71,5390970873,140,81.1,5390970869,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
