id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value
2746741507,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-11-10T11:01:16.251Z,2024-11-10T14:28:37Z,,,,5355352121,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5355352125,130,8,5355352129,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5355352123,59,"1, 15, 23, 6, 5, 2, 22, 88, 24, 14, 9, 8, 10, 11, 16, 18, 27, 28, 29, 30",5355352127,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5355499699,197,11501,5355352401,194,a30gduuv9d1s4pkthgu2jhyol,5355352119,30,"d9hh01mit4geyadol3gmzco9, bfvdr7ckiersz26ya2kq9f1g4, 6dzg820946z4848whaa6ny2nd, 4oxf446ya7jwulq6hxlp8r36d, dshwz1df0rbe0fztksawvd0wl, a30gduuv9d1s4pkthgu2jhyol, dncrhma6gwcn6pxiu7hfc6qz8, dm6xpphbyyooqriwaambi7njd, 5e5fuj7mbkpvf0bug32ixxc5x, 9r07ooissj5mz15g87x5rmbx1, 9tt9eo9bsff7dp7aqjal1obo4, d4w0nytrfhhtw8xqh7rofq6z9, 615e0bjcd0tyge047sy43y5sl, 6uwvbagahvoavs630k8uksxjp, 1cumsropo1r0msfzxxteml1w, 1basznqpux0hkrrd06eaxodsl, 21i8eq6dgpzydeyrame6xp05w, 3pk6hii2s8tbv2zux8mvbapec, 4qz1pnlx3d0m5wkhpocl0euj8, 45dqseup0cmujyl4nprr29y0a",,,,,,,,,,,,,,,,,,,,,,,,
2746745941,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-11-10T11:12:25.820Z,2024-11-10T11:59:56Z,,,,5355500939,194,am3509ake84cde1xhb9264i22,5355378029,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5355378027,30,"dqqswfn9s1tdxjoslts8ks6xg, 67p0s4o54xcmiustgy8k5gljo, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 5nved2kta2hk8103hkyhq33hm, am3509ake84cde1xhb9264i22, 74m58jsznzu8l89b8h7rkh1bd, 11ngumxajbizagbzpm5kompxx, e2aqcawslcbpp88nia8eko2y1, abhfq12njxxutqjtb9zvcusyc, 1icurh5jrnw1e6jdgqxjnhdnu, 4m7gr5z6b40dj02yrmlwgeluc, 619s1phj5bkgkug3aszc1y9cl, 98zlz2sscsf6vb7d52ici074k, bwxxfcjd31gykfbpomwr1od90, 45b72f8szmqnv8tz06j7mj1wq, c8exa9vh1xxpieov380g8r3hm, 3mgrufy83uhzs9liw8pwxi784, e0u730to91qqtvvx16uhajz10, 69h930ebovyl7rut5dz4r2iok",5355378031,59,"1, 16, 21, 4, 22, 2, 10, 6, 11, 18, 5, 3, 7, 9, 12, 14, 27, 28, 30, 8",5355378035,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5355500941,197,9535,5355378037,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5355378033,130,17,,,,,,,,,,,,,,,,,,,,,,,,
2746770693,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-11-10T12:00:12.297Z,2024-11-10T12:00:12Z,,,,5355510279,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746770707,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-11-10T12:00:12.297Z,2024-11-10T12:00:13Z,,,,5355510335,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746770713,3,1,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,51.7,50.4,2024-11-10T12:00:12.298Z,2024-11-10T12:00:14Z,5e5fuj7mbkpvf0bug32ixxc5x,S. Makienok,,5355510371,140,33.7,5355510369,56,Back,5355510379,279,S,5355510375,212,19.0,5355510377,213,3.22,5355510373,141,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746770735,4,1,1,0,1,8gxd9ry2580pu1b1dd5ny9ymy,1,33.7,48.2,2024-11-10T12:00:14.209Z,2024-11-10T12:00:17Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,5355510463,141,9.5,5355510467,213,5.08,5355510459,56,Back,5355510465,212,28.2,5355510461,140,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746770755,5,1,1,0,5,8gxd9ry2580pu1b1dd5ny9ymy,1,43.4,9.5,2024-11-10T12:00:17.329Z,2024-11-10T12:00:19Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,5355510559,141,27.6,5355510555,56,Back,5355510563,213,2.32,5355510557,140,32.4,5355510561,212,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746770781,6,1,1,0,7,8gxd9ry2580pu1b1dd5ny9ymy,1,32.4,27.6,2024-11-10T12:00:19.378Z,2024-11-10T12:00:22Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,5355510685,212,27.6,5355510681,140,8.2,5355510679,56,Back,5355510687,213,2.74,5355510683,141,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746770807,7,1,1,0,10,8gxd9ry2580pu1b1dd5ny9ymy,1,7.6,43.3,2024-11-10T12:00:22.402Z,2024-11-10T12:00:26Z,d9hh01mit4geyadol3gmzco9,F. Đukić,,5355510845,56,Back,5355510851,212,28.3,5355510849,141,11.3,5355510847,140,24.9,5355510853,213,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746770851,8,1,1,0,14,8gxd9ry2580pu1b1dd5ny9ymy,1,25.7,10.9,2024-11-10T12:00:26.561Z,2024-11-10T12:00:32Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,5355511061,56,Center,5355511071,1,,5355511065,141,33.7,5355511069,213,0.46,5355511059,155,,5355511063,140,55.3,5355511067,212,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
