id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2714923369,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-08-30T16:18:55.443Z,2024-08-30T20:32:58Z,,,,,5181518087,59,"1, 2, 3, 26, 5, 19, 14, 6, 18, 7, 15, 4, 8, 11, 12, 16, 17, 22, 27, 34",5181521175,194,bwozpgcm48s08t1glxfgjajmd,5181518093,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181518091,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181646971,197,17324,5181518083,30,"8r9iqig43yjty7l1oq6yg73mc, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, g2cgdv428rmpmb0om40ldses, 4brcvdxviy9f03iwcavxll80l, 99tm7b6ux9s4qocz0y4pcahas, 4rhxehi019n7z1z1m7a39w1sk, bwozpgcm48s08t1glxfgjajmd, cf6zq49y8v1ekw07e7yi3uac, 7pnxa8wzxx5qxevcckxdd62tx, m031ocyfq011rual3olkegdm, 81c40rn7lrb39qu0sam8kv6dw, 4lac0f1ev5usxpka7gaev3hii, 1el3mu4rgcx8tebrawgfvynf8, 35og29e19w0ykeqcvudhpgr8, emakjdiju8z2peey3ytjahz6y, 6bkuzenpse2kzirt9q7qeisd0, 65f1ckijc2btnprgz3s593dw4, e0nkqbugb4xkpluu5e42zf2ms, d106tu53y5q02yu36iojbou8k",5181518089,130,18,5181518085,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714923765,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-08-30T16:22:41.662Z,2024-08-30T19:51:46Z,,,,,5181520561,30,"7fkc01xxyl1trj3uav134ehyi, eas91my7qw7etoha5plxfk9yi, 1se7wkenvs4elrapvdw9mdnje, 7wo1hk736v1xhovvu2t2trw89, 839pm7rmjp6q1bt52f7ek9vys, c7buy99bjqmkmno8w5t0189d6, 6m4anciafmzc24s44xszymbc9, 15yli690oxmbr4dl1ksti2p9m, 6hmsrr08cllpl4iumu92zskbt, auv81snxkpk2ybxzi8giy5azt, ate1ymumg2iwzn8uyyf3ts222, 37mo55lynu3blqnb8k9ln8k16, bmkwmf5f2ssnw2cq7uga7yd5g, efh8bbfaqg4riyedthbbviuad, 4jve632xnmqujh4ioaxpaovai, 45bcgucg627rhrdgt8tn9hd9m, 98mkoolgahktzky97y0khdq1g, 418pvntm5e5kcoeyjjnzm7hg4, 46nx0rm8sod6bbo4a3d7g6jv8, bdxcd38y99nrbv72uh2v4fhg4",5181624035,197,7812,5181520569,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181520565,59,"1, 2, 21, 10, 25, 15, 11, 8, 7, 19, 12, 4, 5, 6, 14, 16, 26, 27, 39, 9",5181520563,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5181520571,194,eas91my7qw7etoha5plxfk9yi,5181520567,130,8,5181520573,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944249,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-08-30T17:29:43.767Z,2024-08-30T17:29:44Z,,,,,5181627641,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944253,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-08-30T17:29:43.767Z,2024-08-30T17:29:45Z,,,,,5181627647,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944265,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,50.2,50.0,2024-08-30T17:29:43.768Z,2024-08-30T19:36:36Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5181627717,213,3.03,5181627709,56,Back,5181627711,140,31.8,5181627715,212,19.4,5181627719,279,S,5181627713,141,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944285,4,1,1,0,2,bd4qakf7j0wwie8wke9km7uj8,1,31.8,53.3,2024-08-30T17:29:46.529Z,2024-08-30T19:36:37Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5181627807,212,48.8,5181627799,157,,5181627803,140,73.9,5181627813,1,,5181627809,213,0.44,5181627805,141,83.6,5181627801,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944291,5,44,1,0,4,bd4qakf7j0wwie8wke9km7uj8,1,70.8,83.7,2024-08-30T17:29:48.026Z,2024-08-30T17:38:30Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5181643275,286,,5181643273,56,Left,5181643291,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944281,3,44,1,0,4,f1h34qp5zbfl489q8vnkhiq9s,0,29.2,16.3,2024-08-30T17:29:48.027Z,2024-08-30T17:38:31Z,eas91my7qw7etoha5plxfk9yi,J. Mortensen,,,5181627781,56,Back,5181643325,233,5,5181627783,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944293,6,1,1,0,4,bd4qakf7j0wwie8wke9km7uj8,0,67.4,90.1,2024-08-30T17:29:48.289Z,2024-08-30T18:27:29Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5181644529,140,73.9,5181644531,141,62.4,5181644525,3,,5181644535,213,5.06,5181644533,212,20.0,5181644527,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714944299,4,4,1,0,8,f1h34qp5zbfl489q8vnkhiq9s,1,25.6,34.4,2024-08-30T17:29:52.128Z,2024-08-30T18:30:31Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5181627893,13,,5181627967,233,7,5181627899,265,,5181627895,56,Back,5181627901,285,,5181627897,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
