id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value
2751201317,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-11-24T13:04:33.167Z,2024-11-24T13:58:07Z,,,,,5379728651,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5379728643,59,"90, 14, 17, 6, 5, 4, 13, 21, 16, 97, 98, 1, 2, 3, 11, 18, 19, 20",5379973981,197,11563,5379728639,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 4bojyjyvkdgm1lss6n37q2t5g, 7rt4wpc0qphwnvhn8jeazesfe, 3od63zrf6cay4d6ync9i2iuqc, b1kyjkhaaiw32cb4bubbpm7tg, 7ztdirfvd9d0x2yw1v051xzbo, 23sc7wc7my7wes6cuaxw1v0no, 9jqox80arzpytv1b136jobhpm, y4dl1rer075c9wz6zhx7skbt, 289rctmvd5ppy9zqn98jbe4et, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, dgcbjg2ymgi70yv1n8ugkv02c, 4m3slt6iikaxklqd12i719rl5, ei3xmwfz8dah5e4lcbu4w98t1, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck",5379728649,194,3od63zrf6cay4d6ync9i2iuqc,5379728647,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5379728641,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5379728645,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751205537,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-11-24T13:08:35.429Z,2024-11-24T16:49:28Z,,,,,5379749047,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5379975805,197,12587,5379749049,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5379749045,130,17,5379975803,194,3xz0h3d6r2qgmv9egms8yaz56,5379749037,30,"6sdv4s8oz558wfhx72vwlpvu2, 2qedb8t85t1ieeed9613c9crt, ekx0wotp433tuaw4g93nybjmc, 8ewvm6ux4yvpwgrzjkc1chqwa, 3ywgt5v070xudujs9f7cuqm7d, 3xz0h3d6r2qgmv9egms8yaz56, 4uuqid6t4nspn0wspyltz3bx0, f58yr2jmfp8kpgprfxbokt1t6, 6bajck5osvj7trnwt2a5mc3dg, dyzzo6n83rg4fpvmqqa69moes, 9fvf8z6p8ok0n5vu999ysfywa, 52vwj2s29n7wngablotd7pboq, b55jtl3ixolidn6cvc4t90efo, 9618hk1lq7i6see347k7plkyy, e3546n3qj447qgmizao50zx1w, 8h3cyhuw5049gcxrsld3rw1ec, 5moycfv7blzfnjqiruao7dv6c, 1u46uhxe7outj2f8tsga2nx0p, cqgmx6eiriomccxfhykh31r10",5379749043,59,"99, 15, 29, 3, 32, 4, 33, 8, 22, 16, 24, 1, 2, 9, 12, 18, 19, 21, 25",5379749039,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751249943,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-11-24T14:01:29.658Z,2024-11-24T14:01:33Z,,,,,5379987019,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751249933,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-11-24T14:01:29.658Z,2024-11-24T14:01:31Z,,,,,5379986977,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751249955,3,1,1,0,1,6wwwud48qahpwrfxs20334qk5,1,50.0,50.0,2024-11-24T14:01:31.002Z,2024-11-24T14:01:57Z,9jqox80arzpytv1b136jobhpm,A. Bøndergaard,,,5379987085,279,S,5379987075,140,45.4,5379987077,141,45.4,5379987079,212,5.8,5379987073,56,Back,5379987083,213,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250001,4,1,1,0,2,6wwwud48qahpwrfxs20334qk5,1,45.4,45.4,2024-11-24T14:01:32.530Z,2024-11-24T14:01:34Z,7rt4wpc0qphwnvhn8jeazesfe,F. Winther,,,5379987343,141,63.4,5379987339,56,Back,5379987341,140,35.4,5379987345,212,16.1,5379987347,213,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250065,5,1,1,0,4,6wwwud48qahpwrfxs20334qk5,1,35.4,63.4,2024-11-24T14:01:34.210Z,2024-11-24T14:01:37Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,,5379987661,212,18.7,5379987655,56,Back,5379987659,141,40.0,5379987657,140,26.0,5379987663,213,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250123,6,1,1,0,7,6wwwud48qahpwrfxs20334qk5,1,25.9,38.3,2024-11-24T14:01:37.065Z,2024-11-24T14:01:40Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5379987993,140,36.4,5379987999,213,5.70,5379987997,212,13.2,5379987991,56,Back,5379987995,141,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250143,7,1,1,0,10,6wwwud48qahpwrfxs20334qk5,1,35.9,24.3,2024-11-24T14:01:40.266Z,2024-11-24T14:01:41Z,23sc7wc7my7wes6cuaxw1v0no,J. Lindekilde,,,5379988063,140,34.8,5379988067,212,6.9,5379988069,213,4.54,5379988065,141,14.3,5379988061,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751250165,8,1,1,0,11,6wwwud48qahpwrfxs20334qk5,0,34.6,14.1,2024-11-24T14:01:41.273Z,2024-11-24T14:01:42Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5379988193,56,Back,5379988201,213,1.14,5379988195,140,40.8,5379988197,141,34.8,5379988199,212,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
