id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2799081015,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-04-11T15:42:04.938Z,2025-04-11T23:47:04Z,,,,5640844057,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5640844059,59,"1, 2, 3, 6, 28, 20, 29, 8, 11, 30, 10, 5, 7, 15, 16, 18, 21, 24, 27, 31",5640844061,130,8,5640883999,194,ezbixgm2km8iapnsl57bn4wkp,5640967465,197,19798,5640844065,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5640844063,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5640844055,30,"9y3vs6l0mjj38z0kw062jlh3p, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, e8vt8711wb40afht2v13omket, 8xe0fufxfgf5cuwgysz3r2j85, 6dki65mdd3letfjjj51i0w3c9, 8viazilbghyogmhd7w3lg2six, ezbixgm2km8iapnsl57bn4wkp, 8i0o1b8rjsab9se3v6vteqmfo, e3n8xatusmgu7ttqpfdjanp3p, kqj7nh6pqmqbt0abyyu0fcpg, 2uellcocrvapu7o70g5zdcmad, 6otr0cifkk9jbmxc2ew2spka, x3ad9hfxts6jpfugy3kvq9d5, dja68kdmhtsm9x5zqzgtpqas4, 86mx27krl6c613x6e3t9g3cic, ab3nxxoj7bxlnhot9htoex1xw, 2k5289tevc2gxo04i83io5a3u, 4a0jmv6qmwn01iuqp1mhnyzth, 7k2c7wgoywy7boesjer5578q1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799082809,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-04-11T15:45:54.585Z,2025-04-11T19:03:18Z,,,,5640854245,30,"9yxhg70gpwi3e9s84c8qwg0yx, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, 9xub4z9b3bog8wqhn5yfihecp, b0yv1pcxifawqx6r1cfqq3otm, 4qyfoq5fjiochtj89w426lm21, 8gqvlydur0v4cpmz1ozqkejh0, dwuxps3jv2852642q000wep6, dxv40hh07gxq4hn0i6dwb2l4a, ayhdul772mr22qoly04psb3f8, 3sog1gsk11bwwrf7l7wm2j7dg, 4dmz3u7j1eoz4ofr1o8tbxedw, efubck8twu1elbhlomltnjjtg, 8q8yol44e42o9hwttlopznvh0, e0rgqk3gxzs005m9ok9hvp1ck, izewe5fthjad6hv14xgpm3v8, 2f0p63eeg2yc4jsyotle88q38",5640854249,59,"25, 7, 27, 13, 12, 18, 8, 17, 9, 23, 10, 1, 4, 5, 16, 19, 22, 26, 47, 49",5640901639,194,cflwegqpzch8y30pb3dhigqnd,5640854251,130,10,5640854253,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5640854255,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5640854247,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5640969387,197,18945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103427,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-04-11T16:30:19.865Z,2025-04-11T16:30:20Z,,,,5640974201,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103429,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-04-11T16:30:19.865Z,2025-04-11T16:30:22Z,,,,5640974203,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103469,3,1,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,50.2,49.9,2025-04-11T16:30:19.866Z,2025-04-11T16:30:23Z,4qyfoq5fjiochtj89w426lm21,S. Andreasen,,5640974363,56,Back,5640974365,140,31.7,5640974371,213,2.93,5640974373,279,S,5640974367,141,56.1,5640974369,212,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103499,4,1,1,0,3,b2vft81kyjurzbmekvgrqwr64,0,31.7,56.1,2025-04-11T16:30:23.057Z,2025-04-11T16:30:25Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,5640974497,56,Center,5640974507,1,,5640974503,212,47.3,5640974495,157,,5640974505,213,5.82,5640974501,141,25.2,5640974499,140,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103507,3,12,1,0,6,ajtb177oqwawkdwbqhldmq6mx,1,26.0,77.9,2025-04-11T16:30:26.155Z,2025-04-11T16:34:05Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,5640974551,140,40.1,5640974555,212,15.5,5640974553,141,84.5,5640987439,15,,5640974557,213,0.29,5640974549,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103529,5,61,1,0,7,b2vft81kyjurzbmekvgrqwr64,0,68.0,23.7,2025-04-11T16:30:27.369Z,2025-04-11T18:55:47Z,9xub4z9b3bog8wqhn5yfihecp,M. Pedersen,,5640974681,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103527,4,1,1,0,8,ajtb177oqwawkdwbqhldmq6mx,0,30.4,87.1,2025-04-11T16:30:27.997Z,2025-04-11T16:41:34Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,5640974749,236,,5640974653,56,Back,5640974655,140,33.3,5640974663,1,,5640974659,212,3.3,5640974651,157,,5640974661,213,0.40,5640974755,286,,5640974657,141,89.0,5640974751,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799103541,6,74,1,0,8,b2vft81kyjurzbmekvgrqwr64,1,71.3,20.4,2025-04-11T16:30:27.998Z,2025-04-11T18:40:59Z,9xub4z9b3bog8wqhn5yfihecp,M. Pedersen,,5640974733,56,Right,5640974767,233,4,5640974735,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
