id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2752920449,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-11-29T17:15:24.449Z,2024-11-29T21:35:27Z,,,,,5389189833,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5389189831,130,10,5389189829,59,"25, 7, 27, 13, 12, 18, 11, 8, 9, 23, 10, 1, 3, 4, 14, 16, 20, 22, 26, 40",5389268577,194,cflwegqpzch8y30pb3dhigqnd,5389189827,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5389189835,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5389189825,30,"9yxhg70gpwi3e9s84c8qwg0yx, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, bp232fgjrfyok2471ec7u1tcl, 9xub4z9b3bog8wqhn5yfihecp, 4qyfoq5fjiochtj89w426lm21, 8gqvlydur0v4cpmz1ozqkejh0, dwuxps3jv2852642q000wep6, dxv40hh07gxq4hn0i6dwb2l4a, lu9bber07etravimh00k745x, ayhdul772mr22qoly04psb3f8, 8gdfn7j6xac9p4jh94hk40jdg, 4dmz3u7j1eoz4ofr1o8tbxedw, az9x5coo3hl4qkt16x24pp5re, 8q8yol44e42o9hwttlopznvh0, e0rgqk3gxzs005m9ok9hvp1ck, 5jyv1dctfxa6335l1mlifwavo",5389268579,197,18945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752920941,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-11-29T17:17:01.605Z,2024-11-29T18:02:52Z,,,,,5389192645,59,"1, 30, 10, 2, 25, 5, 88, 14, 24, 16, 7, 6, 8, 18, 19, 21, 27, 28, 29, 32",5389270723,197,11501,5389192655,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5389192639,30,"d9hh01mit4geyadol3gmzco9, 45dqseup0cmujyl4nprr29y0a, 615e0bjcd0tyge047sy43y5sl, a30gduuv9d1s4pkthgu2jhyol, 630daj1ef34rczbhng0eoncvd, dshwz1df0rbe0fztksawvd0wl, dm6xpphbyyooqriwaambi7njd, 9r07ooissj5mz15g87x5rmbx1, 5e5fuj7mbkpvf0bug32ixxc5x, 1cumsropo1r0msfzxxteml1w, 2cup1vjw8n43kbzzxfflnmplg, 4oxf446ya7jwulq6hxlp8r36d, d4w0nytrfhhtw8xqh7rofq6z9, 1basznqpux0hkrrd06eaxodsl, 7ymn0ytcqi6l43nqraxt9s1zo, 37rzipex1y0nhv8o2dr7h2bys, 21i8eq6dgpzydeyrame6xp05w, 3pk6hii2s8tbv2zux8mvbapec, 4qz1pnlx3d0m5wkhpocl0euj8, cdy39kfn94d53gicczjhs3a50",5389192643,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5389192649,130,13,5389192653,194,a30gduuv9d1s4pkthgu2jhyol,5389192651,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936177,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-11-29T17:59:49.426Z,2024-11-29T17:59:51Z,,,,,5389272199,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936175,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-11-29T17:59:49.426Z,2024-11-29T17:59:49Z,,,,,5389272195,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936179,3,1,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,50.0,50.0,2024-11-29T17:59:49.688Z,2024-11-29T17:59:52Z,5e5fuj7mbkpvf0bug32ixxc5x,S. Makienok,,,5389272209,213,3.25,5389272207,212,18.6,5389272211,279,S,5389272205,141,47.0,5389272203,140,32.4,5389272201,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936191,4,1,1,0,2,8gxd9ry2580pu1b1dd5ny9ymy,1,33.5,43.4,2024-11-29T17:59:52.015Z,2024-11-29T17:59:54Z,630daj1ef34rczbhng0eoncvd,M. Kiilerich,,,5389272285,141,9.2,5389272287,212,23.7,5389272281,56,Back,5389272283,140,37.8,5389272289,213,4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936203,5,1,1,0,5,8gxd9ry2580pu1b1dd5ny9ymy,1,35.1,9.2,2024-11-29T17:59:54.783Z,2024-11-29T17:59:58Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,,5389272347,213,2.85,5389272339,56,Back,5389272345,212,14.2,5389272341,140,22.1,5389272343,141,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936213,6,1,1,0,9,8gxd9ry2580pu1b1dd5ny9ymy,1,24.7,20.9,2024-11-29T17:59:58.487Z,2024-11-29T18:00:01Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5389272375,141,37.3,5389272377,212,20.8,5389272373,140,8.0,5389272371,56,Back,5389272379,213,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936219,7,1,1,0,11,8gxd9ry2580pu1b1dd5ny9ymy,1,8.1,39.2,2024-11-29T18:00:01.007Z,2024-11-29T18:00:05Z,d9hh01mit4geyadol3gmzco9,F. Đukić,,,5389272415,213,4.99,5389272409,140,13.1,5389272407,56,Back,5389272411,141,11.7,5389272413,212,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936227,8,1,1,0,15,8gxd9ry2580pu1b1dd5ny9ymy,0,17.8,10.1,2024-11-29T18:00:05.319Z,2024-11-29T18:00:08Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5389272491,212,37.0,5389272485,56,Center,5389272493,213,0.23,5389272495,1,,5389272483,155,,5389272487,140,52.1,5389272489,141,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
