id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value
2701835973,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-07-19T16:13:46.976Z,2024-07-19T17:02:54Z,,,,5109039445,130,4,5109039447,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5109039449,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5109071037,197,9535,5109039443,59,"1, 31, 5, 22, 2, 4, 10, 7, 27, 26, 11, 28, 30, 3, 6, 9, 12, 21, 24, 32",5109071035,194,619s1phj5bkgkug3aszc1y9cl,5109039441,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5109039439,30,"dqqswfn9s1tdxjoslts8ks6xg, 18g25rcpd99fe1gvr48uoqmtw, 1icurh5jrnw1e6jdgqxjnhdnu, 5nved2kta2hk8103hkyhq33hm, am3509ake84cde1xhb9264i22, 2pm5oqzyonn0dysa5nszgq3xm, 74m58jsznzu8l89b8h7rkh1bd, 619s1phj5bkgkug3aszc1y9cl, bmvcofmie6om4muxij4kdkro4, 3mcj3wypzq3lno1ehc0vif1sl, e2aqcawslcbpp88nia8eko2y1, 3mgrufy83uhzs9liw8pwxi784, e0u730to91qqtvvx16uhajz10, 4m7gr5z6b40dj02yrmlwgeluc, 11ngumxajbizagbzpm5kompxx, 98zlz2sscsf6vb7d52ici074k, 2lc9bt5639t572il73e9y044, 4ti8pdx03j8dh4mdb626ltmvo, eu574m78nqv6a5638b44oquqc, k43cten7yb6p59yo0firhb84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701836593,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-07-19T16:17:13.481Z,2024-07-19T17:42:17Z,,,,5109071039,194,a30gduuv9d1s4pkthgu2jhyol,5109071041,197,11501,5109043173,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5109043171,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5109043167,59,"1, 30, 15, 11, 5, 2, 8, 14, 24, 7, 22, 28, 21, 12, 16, 17, 23, 25, 27, 29",5109043165,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5109043163,30,"d9hh01mit4geyadol3gmzco9, 45dqseup0cmujyl4nprr29y0a, bfvdr7ckiersz26ya2kq9f1g4, 6uwvbagahvoavs630k8uksxjp, dshwz1df0rbe0fztksawvd0wl, a30gduuv9d1s4pkthgu2jhyol, d4w0nytrfhhtw8xqh7rofq6z9, 9r07ooissj5mz15g87x5rmbx1, 5e5fuj7mbkpvf0bug32ixxc5x, 3ejggtt1du1cui3wc1f8oqx62, dncrhma6gwcn6pxiu7hfc6qz8, 3pk6hii2s8tbv2zux8mvbapec, 37rzipex1y0nhv8o2dr7h2bys, g2cgdv428rmpmb0om40ldses, 1cumsropo1r0msfzxxteml1w, dwpns7gcg4s1c35df5td9ow7o, 6dzg820946z4848whaa6ny2nd, 630daj1ef34rczbhng0eoncvd, 21i8eq6dgpzydeyrame6xp05w, 4qz1pnlx3d0m5wkhpocl0euj8",5109043169,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841685,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-07-19T17:01:50.766Z,2024-07-19T17:01:50Z,,,,5109072999,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841689,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-07-19T17:01:50.766Z,2024-07-19T19:24:54Z,,,,5109073017,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841703,3,1,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,49.7,50.3,2024-07-19T17:01:50.767Z,2024-07-19T17:01:54Z,5e5fuj7mbkpvf0bug32ixxc5x,S. Makienok,,5109073109,279,S,5109073097,140,40.0,5109073095,56,Back,5109073103,212,10.8,5109073105,213,2.81,5109073099,141,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841717,4,1,1,0,3,8gxd9ry2580pu1b1dd5ny9ymy,1,40.9,59.0,2024-07-19T17:01:54.616Z,2024-07-19T17:50:57Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,5109073163,141,49.1,5109073161,140,37.2,5109073159,56,Back,5109073165,212,7.8,5109073167,213,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841737,5,1,1,0,5,8gxd9ry2580pu1b1dd5ny9ymy,1,36.9,47.8,2024-07-19T17:01:55.880Z,2024-07-19T17:01:59Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,5109073297,140,23.3,5109073299,141,36.4,5109073295,56,Back,5109073301,212,16.2,5109073303,213,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841751,6,1,1,0,8,8gxd9ry2580pu1b1dd5ny9ymy,1,23.2,31.6,2024-07-19T17:01:59.192Z,2024-07-19T17:51:08Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,5109073393,213,5.11,5109073387,140,29.7,5109073389,141,7.9,5109073391,212,17.5,5109073385,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841757,7,1,1,0,11,8gxd9ry2580pu1b1dd5ny9ymy,1,38.5,5.8,2024-07-19T17:02:02.312Z,2024-07-19T17:02:04Z,45dqseup0cmujyl4nprr29y0a,M. Fredslund,,5109073415,141,6.8,5109073417,212,26.2,5109073419,213,0.03,5109073413,140,63.4,5109073411,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701841763,8,1,1,0,13,8gxd9ry2580pu1b1dd5ny9ymy,1,62.5,5.3,2024-07-19T17:02:04.631Z,2024-07-19T17:51:44Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,5109073459,140,38.0,5109073461,141,4.3,5109073463,212,25.7,5109073457,56,Back,5109073465,213,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
