id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId
2817971027,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-05-23T16:07:28.715Z,2025-05-23T16:58:15Z,,,,,5745025933,194,3xz0h3d6r2qgmv9egms8yaz56,5744990859,130,17,5744990855,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5744990863,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5745025935,197,12588,5744990857,59,"1, 7, 11, 2, 4, 30, 23, 20, 17, 18, 24, 8, 12, 13, 16, 19, 21, 22, 27, 33",5744990853,30,"7xde75gwrng67wvjkugv9xih, ekx0wotp433tuaw4g93nybjmc, f1ba9g771s0zeel0titcj3omi, b55jtl3ixolidn6cvc4t90efo, 3xz0h3d6r2qgmv9egms8yaz56, 9delpquqv81o7ftrgefb0wpp0, 5u9zrgsm6wycfcbk04m64wd1w, 423hv4unq5vvnp7kecv6wp3is, 9ircna8pbskreztmy1wiqwx9m, 8h3cyhuw5049gcxrsld3rw1ec, 9fvf8z6p8ok0n5vu999ysfywa, 44gqeji9twbkdtrcr2ias4efo, e3546n3qj447qgmizao50zx1w, aszp26w7k6ycpwmcpvfteov84, bq76t7rh2vynmvwx9mtvnl9g4, 5moycfv7blzfnjqiruao7dv6c, 259axcx9672z4ojo2g766ypzo, 6bajck5osvj7trnwt2a5mc3dg, ae86fel4p9nioy219v3lg62hg, 4uuqid6t4nspn0wspyltz3bx0",5744990861,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,
2817972577,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-05-23T16:18:09.924Z,2025-05-23T21:02:10Z,,,,,5745000081,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5745000079,197,11563,5745000071,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5745000069,30,"eiy7fhqxdx3ypg4dq4454hpbe, 1ai0gvdx68lxclbj6m255w72t, 4bojyjyvkdgm1lss6n37q2t5g, 7rt4wpc0qphwnvhn8jeazesfe, b1kyjkhaaiw32cb4bubbpm7tg, ei3xmwfz8dah5e4lcbu4w98t1, 45ssaw51hm80y1tfalyesap9m, 7ztdirfvd9d0x2yw1v051xzbo, 9jqox80arzpytv1b136jobhpm, 4m3slt6iikaxklqd12i719rl5, ayxi2m0g0pm6rl1ba5pto66z9, cu2l7ju3t72stqhwaurrnqbqh, dgcbjg2ymgi70yv1n8ugkv02c, 3od63zrf6cay4d6ync9i2iuqc, 6lb4k3g75nzgi8bp1y1mzxkru, 65g5cfsdr10378yvmkpm19444, 91xtn2wlot8g8ue89zn4iiyqy, 23sc7wc7my7wes6cuaxw1v0no, y4dl1rer075c9wz6zhx7skbt, 289rctmvd5ppy9zqn98jbe4et",5745000077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5745000073,59,"90, 12, 17, 6, 4, 18, 10, 13, 16, 11, 7, 1, 3, 5, 9, 14, 19, 21, 97, 98",5745027649,194,ei3xmwfz8dah5e4lcbu4w98t1,5745000075,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977023,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-05-23T17:01:34.141Z,2025-05-23T17:01:36Z,,,,,5745027167,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977027,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-05-23T17:01:34.141Z,2025-05-23T17:01:35Z,,,,,5745027183,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977031,4,1,1,0,0,6wwwud48qahpwrfxs20334qk5,1,50.4,50.0,2025-05-23T17:01:34.142Z,2025-05-23T17:01:40Z,ayxi2m0g0pm6rl1ba5pto66z9,G. Marcussen,,,5745027207,56,Back,5745027215,213,3.22,5745027209,140,31.3,5745027211,141,47.6,5745027213,212,20.1,5745027217,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977029,3,43,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-05-23T17:01:34.240Z,2025-05-23T17:01:36Z,45ssaw51hm80y1tfalyesap9m,E. Simonsen,,,5745027191,212,0,5745027199,144,1,5745027187,140,50.0,5745027189,141,50.0,5745027193,213,3.14,5745027195,279,S,5745027185,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977033,5,1,1,0,6,6wwwud48qahpwrfxs20334qk5,1,31.8,44.3,2025-05-23T17:01:40.711Z,2025-05-23T17:01:45Z,ei3xmwfz8dah5e4lcbu4w98t1,J. Juelsgård,,,5745027225,140,72.2,5745027223,56,Right,5745027233,1,,5745027227,141,20.0,5745027231,213,5.91,5745027229,212,45.5,5745027221,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977035,6,61,1,0,7,6wwwud48qahpwrfxs20334qk5,1,72.0,16.7,2025-05-23T17:01:41.902Z,2025-05-23T19:13:26Z,45ssaw51hm80y1tfalyesap9m,E. Simonsen,,,5745027245,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977171,10,8,1,0,8,b8oqgvx1ijeyn6y1cn6929ix4,1,28.7,83.2,2025-05-23T17:01:42.347Z,2025-05-23T19:13:28Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5745027961,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977037,7,1,1,0,11,6wwwud48qahpwrfxs20334qk5,1,78.4,11.7,2025-05-23T17:01:45.992Z,2025-05-23T17:01:48Z,4m3slt6iikaxklqd12i719rl5,M. Opondo,,,5745027261,140,70.4,5745027267,213,3.62,5745027263,141,5.3,5745027265,212,9.5,5745027259,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
