id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/11/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2787805121,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-03-14T17:20:10.575Z,2025-03-14T21:43:25Z,,,,5578965531,197,11501,5578895087,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578965889,194,a30gduuv9d1s4pkthgu2jhyol,5578895077,30,"bl9em2c9quspd4afzwqn81xxw, 45dqseup0cmujyl4nprr29y0a, 6dzg820946z4848whaa6ny2nd, dm6xpphbyyooqriwaambi7njd, 630daj1ef34rczbhng0eoncvd, a30gduuv9d1s4pkthgu2jhyol, 615e0bjcd0tyge047sy43y5sl, 9r07ooissj5mz15g87x5rmbx1, 9tt9eo9bsff7dp7aqjal1obo4, 1cumsropo1r0msfzxxteml1w, dncrhma6gwcn6pxiu7hfc6qz8, aajgld24isoem1ycoysyxxp1w, 2cup1vjw8n43kbzzxfflnmplg, bfvdr7ckiersz26ya2kq9f1g4, 5e5fuj7mbkpvf0bug32ixxc5x, 3njsc9nturnshsiofmiy19gr8, 21i8eq6dgpzydeyrame6xp05w, 3pk6hii2s8tbv2zux8mvbapec, 4qz1pnlx3d0m5wkhpocl0euj8, db671oj1jx2uknf12t8b3s7x0",5578895083,130,4,5578895081,59,"1, 30, 23, 8, 25, 2, 10, 14, 9, 16, 22, 4, 7, 15, 24, 26, 27, 28, 29, 42",5578895085,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578895079,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787807167,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-03-14T17:27:52.757Z,2025-03-14T20:03:23Z,,,,5578906609,30,"4clmd8g8jogdfvauhijd7n55h, 1mml4inucvyomv1dcog3c1pt5, bxamae8lo647u6k3kruigir8q, wha77a8wm7jyn32743y0w79x, dqtarwrqvkopmzbt2ovp2dln9, auk14ut8cwaqop549u2zmfgt1, e42jh6bbwn4aybdnysonrvutx, 2z8u8kyv91shp0la8alkn6kus, 5wmik73cqursg7sv3w14ue5pm, axyrfq1u8nwcj2ss5498u8qhg, 2uw6m0yavlvkkiob73hoywb56, 2g019dl7zougqjo7usig0rf11, eq15hjcxpdrl5vca2q7s4tr3e, 1b32j0lqi7ggcabdra4tygxzo, 4n002w0ii1wqwx8t5xc1bzf2s, 8f1mw21tbkct0slelpdznf7dg, 6eg3kxxg5aneckolraz03xzpw, 15jhbyn4wsbd865fd9djcwaok, 19wdr5lrjw3aqm0ap9nklwefo, 5vwzliaibdlhfm38g8v5z0r8p",5578981789,194,4clmd8g8jogdfvauhijd7n55h,5578906617,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578906619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578906613,59,"16, 2, 3, 7, 4, 25, 20, 18, 10, 17, 14, 1, 5, 11, 13, 15, 21, 23, 24, 31",5578906611,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5578906615,130,23,5578965413,197,4604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819107,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-03-14T18:00:34.569Z,2025-03-14T18:00:37Z,,,,5578969513,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819103,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-03-14T18:00:34.569Z,2025-03-14T18:00:34Z,,,,5578969495,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819113,3,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.0,50.0,2025-03-14T18:00:34.706Z,2025-03-14T18:00:37Z,2uw6m0yavlvkkiob73hoywb56,G. Grubbe,,5578969521,56,Back,5578969523,140,30.1,5578969525,141,40.7,5578969527,212,21.8,5578969529,213,3.44,5578969531,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819139,4,1,1,0,3,dbl7ir1qugqz8nvp1vzn8im50,0,30.1,40.7,2025-03-14T18:00:37.721Z,2025-03-14T18:00:40Z,auk14ut8cwaqop549u2zmfgt1,N. Bürgy,,5578969709,56,Center,5578969713,141,28.6,5578969711,140,72.6,5578969717,213,6.10,5578969715,212,45.4,5578969719,1,,5578969707,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819147,3,1,1,0,5,8gxd9ry2580pu1b1dd5ny9ymy,0,36.1,88.6,2025-03-14T18:00:40.127Z,2025-03-14T18:58:36Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,5578969761,140,43.0,5578969763,141,79.7,5578969767,213,5.59,5578969765,212,9.4,5578969757,3,,5578969759,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819163,5,61,1,0,7,dbl7ir1qugqz8nvp1vzn8im50,1,68.6,35.1,2025-03-14T18:00:42.176Z,2025-03-14T18:00:42Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,5578969849,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819183,6,1,1,0,8,dbl7ir1qugqz8nvp1vzn8im50,1,66.8,34.8,2025-03-14T18:00:43.192Z,2025-03-14T18:00:45Z,2uw6m0yavlvkkiob73hoywb56,G. Grubbe,,5578969933,141,23.6,5578969931,140,58.7,5578969929,56,Center,5578969937,213,3.87,5578969935,212,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819201,7,1,1,0,10,dbl7ir1qugqz8nvp1vzn8im50,1,58.7,23.6,2025-03-14T18:00:45.017Z,2025-03-14T18:00:47Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,5578970007,56,Back,5578970015,213,3.24,5578970009,140,33.7,5578970011,141,19.7,5578970013,212,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
