id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/16/value
2800521181,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-04-13T10:05:48.951Z,2025-04-13T11:00:19Z,,,,,5648619557,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, 85a9bmnu6fqvhlff28qm0e0a1, khqldwfq14b7giakss24l9t5, 5z7y55t2o577r8ki3i5855as, 559w0q3q2smb3aeotyi724s9g, 7l7f98nn8gohmdacsdb2labkk, 2tcdx5rp7vujnlid4oqqxdogk, 1fjkjzsei9slx2t4zhsqdkve1, 1n4eldqa7h9jvcx1693zqu06i, uiyol728wan4mxco2foplknp, 5i6n6yne6fh410vk7p7kkokmi, bop31qof3lon7u6rvmb68ktzp, akiwokthm1z7rbifshqhs24t1, 5dlh0fa9yo6z283w9p58xmnoq, 3rok7i8nrt4yzx2melj4qiuqc, e0u730to91qqtvvx16uhajz10, 3avg1grraylzm6xjt5kt18is4, 21bafxfg7hy0agd0upyqxw0a2",5648619565,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5648709459,197,16110,5648619561,59,"1, 3, 27, 21, 7, 25, 34, 6, 9, 8, 17, 4, 10, 11, 12, 14, 22, 23, 29",5648619559,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5648619563,130,17,5648619567,194,5z7y55t2o577r8ki3i5855as,5648619569,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800521771,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-04-13T10:08:10.400Z,2025-04-13T13:45:44Z,,,,,5648622183,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648704937,197,9535,5648622181,130,11,5648622177,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5648622185,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5648622179,59,"1, 31, 21, 4, 16, 23, 10, 7, 20, 6, 5, 11, 14, 17, 24, 28, 32, 29, 33, 34",5648622175,30,"dqqswfn9s1tdxjoslts8ks6xg, k43cten7yb6p59yo0firhb84, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 67p0s4o54xcmiustgy8k5gljo, 7al9w77ailhli8g487tkl32tw, 74m58jsznzu8l89b8h7rkh1bd, 619s1phj5bkgkug3aszc1y9cl, d2ukggo2v5jsw4pctznmaijo4, 11ngumxajbizagbzpm5kompxx, 1icurh5jrnw1e6jdgqxjnhdnu, abhfq12njxxutqjtb9zvcusyc, egxik3guom123v43rthy89c7o, 6orujbbswf771s9rv0dcd8kd0, eu574m78nqv6a5638b44oquqc, 3mgrufy83uhzs9liw8pwxi784, 6k9ri9m1ha4sfqrfccl7ieyvo, bwxxfcjd31gykfbpomwr1od90, 5jv4a1295xd5oonpj9w9fy61g, czudq621hgfprwetp10ckv9jo",5648645221,194,619s1phj5bkgkug3aszc1y9cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800538393,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-04-13T11:00:53.413Z,2025-04-13T11:00:53Z,,,,,5648710725,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800538399,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-04-13T11:00:53.413Z,2025-04-13T11:00:55Z,,,,,5648710747,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800538423,3,1,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,48.5,50.1,2025-04-13T11:00:53.921Z,2025-04-13T11:00:56Z,d2ukggo2v5jsw4pctznmaijo4,A. Gøthler,,,5648710847,212,23.7,5648710851,279,S,5648710849,213,2.74,5648710845,141,63.6,5648710843,140,27.7,5648710841,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800538441,4,1,1,0,2,8cfkisxf1fkxdqtt6tx1tup48,1,27.7,63.6,2025-04-13T11:00:56.234Z,2025-04-13T11:00:58Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,,5648710955,140,27.8,5648710953,56,Back,5648710957,141,88.6,5648710961,213,1.56,5648710959,212,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800538477,5,1,1,0,4,8cfkisxf1fkxdqtt6tx1tup48,1,28.8,85.3,2025-04-13T11:00:58.146Z,2025-04-13T11:01:01Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5648711165,212,12.6,5648711167,213,0.59,5648711163,141,95.6,5648711161,140,38.8,5648711159,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800538533,6,1,1,0,7,8cfkisxf1fkxdqtt6tx1tup48,1,36.2,94.5,2025-04-13T11:01:01.307Z,2025-04-13T11:01:06Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5648711489,213,3.60,5648711487,212,15.7,5648711483,140,22.8,5648711481,56,Back,5648711485,141,84.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800538571,7,1,1,0,12,8cfkisxf1fkxdqtt6tx1tup48,0,13.4,73.3,2025-04-13T11:01:06.306Z,2025-04-13T11:01:10Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5648711719,1,,5648711707,157,,5648711713,141,94.2,5648711711,140,66.2,5648711717,213,0.25,5648711709,56,Left,5648711715,212,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800538587,3,44,1,0,16,aqtkb4mgrz8c6iqfufj6qjbv9,1,38.6,13.2,2025-04-13T11:01:09.914Z,2025-04-13T11:01:15Z,559w0q3q2smb3aeotyi724s9g,W. Glindtvad,,,5648711769,56,Back,5648711771,285,,5648711787,233,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
