id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/value
2812025439,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-05-09T15:32:42.513Z,2025-05-09T19:10:16Z,,,,,5712208265,30,"bl9em2c9quspd4afzwqn81xxw, 45dqseup0cmujyl4nprr29y0a, 6dzg820946z4848whaa6ny2nd, a30gduuv9d1s4pkthgu2jhyol, 630daj1ef34rczbhng0eoncvd, 3pk6hii2s8tbv2zux8mvbapec, dm6xpphbyyooqriwaambi7njd, aajgld24isoem1ycoysyxxp1w, 5e5fuj7mbkpvf0bug32ixxc5x, 1cumsropo1r0msfzxxteml1w, dncrhma6gwcn6pxiu7hfc6qz8, 9tt9eo9bsff7dp7aqjal1obo4, 615e0bjcd0tyge047sy43y5sl, 9r07ooissj5mz15g87x5rmbx1, bfvdr7ckiersz26ya2kq9f1g4, 1basznqpux0hkrrd06eaxodsl, 7ymn0ytcqi6l43nqraxt9s1zo, 3njsc9nturnshsiofmiy19gr8, 21i8eq6dgpzydeyrame6xp05w, 4qz1pnlx3d0m5wkhpocl0euj8",5712208267,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5712208269,59,"1, 30, 23, 2, 25, 28, 8, 4, 24, 16, 22, 9, 10, 14, 15, 18, 19, 26, 27, 29",5712219067,194,a30gduuv9d1s4pkthgu2jhyol,5712208273,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5712268409,197,19945,5712208271,130,13,5712208275,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812026103,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-05-09T15:40:28.421Z,2025-05-09T19:27:52Z,,,,,5712212957,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5712212949,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5712212947,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 1ai0gvdx68lxclbj6m255w72t, 7rt4wpc0qphwnvhn8jeazesfe, b1kyjkhaaiw32cb4bubbpm7tg, 3od63zrf6cay4d6ync9i2iuqc, 23sc7wc7my7wes6cuaxw1v0no, 7ztdirfvd9d0x2yw1v051xzbo, 9jqox80arzpytv1b136jobhpm, ayxi2m0g0pm6rl1ba5pto66z9, 4m3slt6iikaxklqd12i719rl5, cu2l7ju3t72stqhwaurrnqbqh, dgcbjg2ymgi70yv1n8ugkv02c, 6wfu6s6xo5zjeke21fgbouql0, 6lb4k3g75nzgi8bp1y1mzxkru, 45ssaw51hm80y1tfalyesap9m, 4bojyjyvkdgm1lss6n37q2t5g, 91xtn2wlot8g8ue89zn4iiyqy, y4dl1rer075c9wz6zhx7skbt, 289rctmvd5ppy9zqn98jbe4et",5712212951,59,"90, 14, 12, 6, 4, 5, 21, 13, 16, 7, 11, 1, 3, 8, 9, 10, 17, 19, 97, 98",5712271843,194,3od63zrf6cay4d6ync9i2iuqc,5712212955,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5712271845,197,11563,5712212953,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036279,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-05-09T16:31:00.569Z,2025-05-09T16:31:00Z,,,,,5712273697,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036281,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-05-09T16:31:00.569Z,2025-05-09T16:31:02Z,,,,,5712273701,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036299,3,1,1,0,0,6wwwud48qahpwrfxs20334qk5,1,50.2,50.0,2025-05-09T16:31:00.570Z,2025-05-09T16:32:49Z,ayxi2m0g0pm6rl1ba5pto66z9,G. Marcussen,,,5712273793,212,10.2,5712273801,279,S,5712273789,141,53.3,5712273797,213,2.92,5712273781,56,Back,5712273785,140,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036317,4,1,1,0,2,6wwwud48qahpwrfxs20334qk5,1,40.7,53.9,2025-05-09T16:31:03.065Z,2025-05-09T16:31:05Z,7rt4wpc0qphwnvhn8jeazesfe,F. Winther,,,5712273937,56,Back,5712273939,140,26.8,5712273943,212,20.1,5712273945,213,3.90,5712273941,141,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036331,5,1,1,0,4,6wwwud48qahpwrfxs20334qk5,1,26.9,28.9,2025-05-09T16:31:05.217Z,2025-05-09T16:31:07Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5712274009,212,14.2,5712274003,56,Back,5712274005,140,33.5,5712274007,141,10.7,5712274011,213,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036341,6,1,1,0,6,6wwwud48qahpwrfxs20334qk5,1,31.6,13.7,2025-05-09T16:31:07.313Z,2025-05-09T16:31:09Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5712274067,56,Back,5712274069,140,22.8,5712274073,212,10.3,5712274071,141,20.4,5712274075,213,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036357,7,1,1,0,8,6wwwud48qahpwrfxs20334qk5,0,22.4,16.8,2025-05-09T16:31:09.161Z,2025-05-09T16:32:56Z,b1kyjkhaaiw32cb4bubbpm7tg,J. Kudsk,,,5712277483,157,,5712274179,213,0.28,5712274173,140,65.1,5712274177,212,46.7,5712274175,141,36.0,5712274171,56,Center,5712274181,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036365,3,1,1,0,12,8gxd9ry2580pu1b1dd5ny9ymy,0,32.4,73.7,2025-05-09T16:31:13.011Z,2025-05-09T18:42:19Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,,5712274235,56,Back,5712274233,157,,5712274237,140,42.0,5712274239,141,70.2,5712274243,213,6.05,5712274245,1,,5712274241,212,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
