id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/10/value,qualifier/9/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId
2705373185,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-08-03T10:23:20.349Z,2024-08-03T18:43:47Z,,,,,5128805087,130,4,5128805085,59,"1, 15, 23, 30, 5, 2, 11, 14, 9, 7, 22, 8, 10, 12, 16, 21, 24, 25, 27, 29",5128805081,30,"d9hh01mit4geyadol3gmzco9, bfvdr7ckiersz26ya2kq9f1g4, 6dzg820946z4848whaa6ny2nd, 45dqseup0cmujyl4nprr29y0a, dshwz1df0rbe0fztksawvd0wl, a30gduuv9d1s4pkthgu2jhyol, 6uwvbagahvoavs630k8uksxjp, 9r07ooissj5mz15g87x5rmbx1, 9tt9eo9bsff7dp7aqjal1obo4, 3ejggtt1du1cui3wc1f8oqx62, dncrhma6gwcn6pxiu7hfc6qz8, d4w0nytrfhhtw8xqh7rofq6z9, 615e0bjcd0tyge047sy43y5sl, g2cgdv428rmpmb0om40ldses, 1cumsropo1r0msfzxxteml1w, 37rzipex1y0nhv8o2dr7h2bys, 5e5fuj7mbkpvf0bug32ixxc5x, 630daj1ef34rczbhng0eoncvd, 21i8eq6dgpzydeyrame6xp05w, 4qz1pnlx3d0m5wkhpocl0euj8",5128824453,197,19945,5128836877,194,a30gduuv9d1s4pkthgu2jhyol,5128805083,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5128805091,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5128805089,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705373619,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-08-03T10:26:35.903Z,2024-08-03T11:01:15Z,,,,,5128827213,197,4604,5128806943,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, 97xbmht3t4t1p9iu6598oq7l5, dqtarwrqvkopmzbt2ovp2dln9, ev2s21ogvpjtata4fndi868ve, e9o7q10wnhex4e8eo47mobbvt, 2z8u8kyv91shp0la8alkn6kus, axyrfq1u8nwcj2ss5498u8qhg, 1b32j0lqi7ggcabdra4tygxzo, 80s55a7uw8kypoikefwhtdm5m, 2g019dl7zougqjo7usig0rf11, eq15hjcxpdrl5vca2q7s4tr3e, 2uw6m0yavlvkkiob73hoywb56, 8f1mw21tbkct0slelpdznf7dg, 6eg3kxxg5aneckolraz03xzpw, 19wdr5lrjw3aqm0ap9nklwefo, ewh6t7yo6clfewu89uznll9uc, wrckom9vy4352nos44600ydw, 15jhbyn4wsbd865fd9djcwaok",5128806949,130,4,5128806953,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5128806945,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5128825321,194,4clmd8g8jogdfvauhijd7n55h,5128806951,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5128806947,59,"16, 20, 2, 8, 4, 29, 6, 18, 17, 11, 30, 1, 5, 14, 15, 21, 24, 26, 28, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705378029,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-08-03T11:02:07.319Z,2024-08-03T11:02:07Z,,,,,5128828549,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705378049,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-08-03T11:02:07.319Z,2024-08-03T11:02:08Z,,,,,5128828615,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705378075,3,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.0,50.0,2024-08-03T11:02:07.320Z,2024-08-03T11:02:11Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5128828711,279,S,5128828709,213,2.77,5128828703,140,27.6,5128828707,212,25.2,5128828705,141,63.3,5128828699,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705378093,4,1,1,0,4,dbl7ir1qugqz8nvp1vzn8im50,0,27.7,55.7,2024-08-03T11:02:11.336Z,2024-08-03T13:04:34Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5128828751,56,Right,5128828757,212,59.0,5129094083,157,,5128828755,141,19.2,5128828759,213,5.85,5128828761,1,,5128828753,140,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705378113,3,1,1,0,7,8gxd9ry2580pu1b1dd5ny9ymy,0,26.7,79.6,2024-08-03T11:02:14.382Z,2024-08-03T12:03:39Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,,5128828827,140,46.7,5128828825,56,Back,5128828833,213,5.75,5128828829,141,61.4,5128828831,212,24.4,5128828823,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705378127,5,1,1,0,10,dbl7ir1qugqz8nvp1vzn8im50,1,51.9,41.9,2024-08-03T11:02:17.943Z,2024-08-03T11:02:19Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5128828909,212,5.5,5128828899,56,Center,5128828901,140,50.7,5128828905,141,34.0,5128828897,3,,5128828913,213,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705378133,6,1,1,0,11,dbl7ir1qugqz8nvp1vzn8im50,1,50.7,34.0,2024-08-03T11:02:19.295Z,2024-08-03T11:02:20Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5128828957,141,29.2,5128828953,56,Back,5128828961,213,3.32,5128828955,140,33.6,5128828959,212,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705378163,7,1,1,0,12,dbl7ir1qugqz8nvp1vzn8im50,1,33.6,29.2,2024-08-03T11:02:19.967Z,2024-08-03T13:04:54Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5128829087,141,8.9,5128829085,140,43.9,5128829089,212,17.5,5128829091,213,5.38,5128829083,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
