id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2810216291,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-05-04T13:04:37.779Z,2025-05-04T17:34:54Z,,,,,5702068271,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702068269,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5702068249,30,"4ieyvppe24gqdkm2xv2xlaluc, e0nkqbugb4xkpluu5e42zf2ms, aejgqvdw1jftxaa538kaa15w4, 81c40rn7lrb39qu0sam8kv6dw, 4rhxehi019n7z1z1m7a39w1sk, g2cgdv428rmpmb0om40ldses, 1el3mu4rgcx8tebrawgfvynf8, cf6zq49y8v1ekw07e7yi3uac, m031ocyfq011rual3olkegdm, bwozpgcm48s08t1glxfgjajmd, d1qyvtgj16160ufegxkspgb9w, duvhbifjh37mvlm46akiy431m, 4brcvdxviy9f03iwcavxll80l, 4lac0f1ev5usxpka7gaev3hii, 7h02v4ymnko5fh01iylbh34es, emakjdiju8z2peey3ytjahz6y, 3wx08y3aabvejd8phcglis3dg, d106tu53y5q02yu36iojbou8k, em0yawcqyqwf53hbj0zlz4duc",5702531841,197,24385,5702068267,130,11,5702068261,59,"30, 25, 3, 4, 14, 26, 11, 18, 15, 6, 9, 2, 5, 8, 10, 16, 22, 27, 34",5702068255,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5702469011,194,bwozpgcm48s08t1glxfgjajmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810238837,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-05-04T13:16:30.964Z,2025-05-04T21:02:41Z,,,,,5702189367,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702189359,30,"dqqswfn9s1tdxjoslts8ks6xg, k43cten7yb6p59yo0firhb84, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 7al9w77ailhli8g487tkl32tw, 4m7gr5z6b40dj02yrmlwgeluc, 619s1phj5bkgkug3aszc1y9cl, 3mgrufy83uhzs9liw8pwxi784, 444n8m1tirk6lp739iigw42c5, 1icurh5jrnw1e6jdgqxjnhdnu, 74m58jsznzu8l89b8h7rkh1bd, 11ngumxajbizagbzpm5kompxx, abhfq12njxxutqjtb9zvcusyc, 6orujbbswf771s9rv0dcd8kd0, d2ukggo2v5jsw4pctznmaijo4, eu574m78nqv6a5638b44oquqc, bwxxfcjd31gykfbpomwr1od90, 6k9ri9m1ha4sfqrfccl7ieyvo, 5jv4a1295xd5oonpj9w9fy61g, egxik3guom123v43rthy89c7o",5702189369,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5702535225,194,619s1phj5bkgkug3aszc1y9cl,5702189363,59,"1, 31, 21, 4, 23, 3, 7, 28, 8, 5, 10, 6, 11, 17, 20, 24, 29, 32, 33, 14",5702532429,197,9535,5702189361,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5702189365,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304415,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-05-04T14:01:14.154Z,2025-05-04T14:01:14Z,,,,,5702544317,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304423,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-05-04T14:01:14.154Z,2025-05-04T14:01:16Z,,,,,5702544379,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304487,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,50.0,50.0,2025-05-04T14:01:14.155Z,2025-05-04T14:01:18Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5702544697,213,2.86,5702544699,279,S,5702544693,141,60.8,5702544689,56,Back,5702544695,212,26.1,5702544691,140,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304517,4,1,1,0,3,bd4qakf7j0wwie8wke9km7uj8,0,26.0,60.8,2025-05-04T14:01:18.107Z,2025-05-04T14:01:20Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5702544853,213,5.80,5702544845,56,Center,5702544849,141,24.7,5702544855,1,,5702544843,157,,5702544847,140,70.9,5702544851,212,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304575,3,44,1,0,8,8cfkisxf1fkxdqtt6tx1tup48,1,33.4,69.4,2025-05-04T14:01:22.186Z,2025-05-04T14:01:25Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5702545129,285,,5702545265,233,5,5702545127,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304561,5,44,1,0,8,bd4qakf7j0wwie8wke9km7uj8,0,67.6,30.6,2025-05-04T14:01:22.187Z,2025-05-04T14:01:24Z,1el3mu4rgcx8tebrawgfvynf8,S. Baskaya,,,5702545093,56,Center,5702545293,233,3,5702545095,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304593,4,1,1,0,9,8cfkisxf1fkxdqtt6tx1tup48,0,30.3,69.3,2025-05-04T14:01:23.171Z,2025-05-04T14:01:24Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5702545227,56,Back,5702545229,140,41.2,5702545233,212,16.9,5702545235,213,0.82,5702545225,3,,5702545231,141,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304615,6,44,1,0,10,bd4qakf7j0wwie8wke9km7uj8,1,61.3,12.0,2025-05-04T14:01:24.476Z,2025-05-04T14:01:27Z,e0nkqbugb4xkpluu5e42zf2ms,F. Engqvist,,,5702545313,56,Right,5702545489,233,5,5702545315,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304625,5,44,1,0,10,8cfkisxf1fkxdqtt6tx1tup48,0,37.7,87.7,2025-05-04T14:01:24.477Z,2025-05-04T14:01:26Z,74m58jsznzu8l89b8h7rkh1bd,C. Jensen,,,5702545357,56,Back,5702545359,285,,5702545551,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304633,7,1,1,0,10,bd4qakf7j0wwie8wke9km7uj8,0,64.3,12.9,2025-05-04T14:01:25.051Z,2025-05-04T14:01:25Z,e0nkqbugb4xkpluu5e42zf2ms,F. Engqvist,,,5702545405,212,14.1,5702545399,56,Center,5702545401,140,64.0,5702545407,213,1.59,5702545403,141,33.7,5702545397,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304685,6,1,1,0,12,8cfkisxf1fkxdqtt6tx1tup48,0,36.8,70.0,2025-05-04T14:01:27.115Z,2025-05-04T14:01:29Z,3mgrufy83uhzs9liw8pwxi784,G. Larsen,,,5702545703,213,5.55,5702545699,141,44.0,5702545695,56,Center,5702545705,1,,5702545693,157,,5702545701,212,26.5,5702545697,140,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304849,8,1,1,0,14,bd4qakf7j0wwie8wke9km7uj8,0,42.9,55.5,2025-05-04T14:01:28.628Z,2025-05-04T14:01:37Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5702546531,56,Left,5702546535,141,96.2,5702546541,1,,5702546533,140,88.6,5702546529,157,,5702546539,213,0.52,5702546537,212,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304925,7,1,1,0,24,8cfkisxf1fkxdqtt6tx1tup48,1,5.3,2.9,2025-05-04T14:01:38.443Z,2025-05-04T14:01:41Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5702546919,141,4.0,5702546921,212,13.4,5702546925,213,0.06,5702546917,140,18.0,5702546913,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810304933,8,1,1,0,27,8cfkisxf1fkxdqtt6tx1tup48,1,20.2,4.9,2025-05-04T14:01:41.623Z,2025-05-04T14:02:37Z,k43cten7yb6p59yo0firhb84,M. Rasmussen,,,5702552321,213,1.35,5702552315,141,16.4,5702552307,56,Back,5702552311,140,21.9,5702552317,212,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810305001,10,1,1,0,29,8cfkisxf1fkxdqtt6tx1tup48,1,23.9,13.7,2025-05-04T14:01:43.883Z,2025-05-04T14:01:45Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5702547375,213,5.88,5702547369,140,35.3,5702547371,141,6.1,5702547373,212,13.0,5702547367,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810305025,11,1,1,0,30,8cfkisxf1fkxdqtt6tx1tup48,0,35.3,6.1,2025-05-04T14:01:45.004Z,2025-05-04T14:01:46Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5702547489,140,32.5,5702547493,212,8.4,5702547487,56,Back,5702547491,141,17.6,5702547495,213,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810305095,9,61,1,0,32,bd4qakf7j0wwie8wke9km7uj8,1,63.3,79.3,2025-05-04T14:01:47.003Z,2025-05-04T17:00:19Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5702547811,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
