id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2726838871,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-09-28T12:16:56.065Z,2024-09-28T16:00:21Z,,,,,5246743085,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, eso2tbbpnxu9qvx6zy07m5jx0, 9dh7cnu4uzbraeck0t5iqlj4k, 5lu7bn7uec3zjqpoi1x81gbu1, 4lxxyqy78jkglhv2w6crzcnsa, 6k7khwtkxpem9z17bl5rrf2p6, dfxs5u8rdcxhzp33aks3acdn8, 3epwf56ozg73hueacwmckk0r9, cl4xl80n4gew1ox03r3ooshrd, cqsc3mj8klukkgutdrpegybdg, a48bpdpt0siemxqtr3rubwbu, cphvg2nexeks2vwd2ezb4zuok, bdz03qovxerzrv12lgljae1p0, 5w0giylttgiapseaw6qky0mxg, dsfbfzwy3c06mu50ee89qrbsa, 2h94np282g0qtzal1czznequi, 4i0jiisff5k1efcgf27skpqfo, 4m9sp9mxlsjk6fv7v218yqfv9, 81w1fqi66z0ibawynhraybaxg",5246743091,130,8,5246743087,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5246743093,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5246743095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5246959321,194,8uhv14rin2znrr0wqgvcc2f2t,5246743089,59,"1, 25, 14, 17, 4, 24, 22, 20, 11, 15, 21, 9, 8, 12, 18, 19, 31, 34, 45, 10",5246959323,197,6601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726841275,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-09-28T12:19:18.704Z,2024-09-28T12:57:41Z,,,,,5246755849,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5246755857,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5246948873,194,cflwegqpzch8y30pb3dhigqnd,5246755847,30,"9yxhg70gpwi3e9s84c8qwg0yx, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, bp232fgjrfyok2471ec7u1tcl, b0yv1pcxifawqx6r1cfqq3otm, 4qyfoq5fjiochtj89w426lm21, 8gqvlydur0v4cpmz1ozqkejh0, dwuxps3jv2852642q000wep6, dxv40hh07gxq4hn0i6dwb2l4a, lu9bber07etravimh00k745x, ayhdul772mr22qoly04psb3f8, 9xub4z9b3bog8wqhn5yfihecp, 4dmz3u7j1eoz4ofr1o8tbxedw, az9x5coo3hl4qkt16x24pp5re, 8q8yol44e42o9hwttlopznvh0, 6xhxqcmi0g6h61y2pl9v89xjo, e0rgqk3gxzs005m9ok9hvp1ck",5246755851,59,"25, 7, 27, 13, 12, 18, 11, 17, 9, 23, 10, 1, 3, 4, 8, 16, 20, 22, 30, 26",5246948293,197,21758,5246755853,130,10,5246755859,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726882995,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-09-28T13:01:25.979Z,2024-09-28T13:01:26Z,,,,,5246972017,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726883009,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-09-28T13:01:25.979Z,2024-09-28T13:01:28Z,,,,,5246972083,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726883103,3,1,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,50.1,50.9,2024-09-28T13:01:25.980Z,2024-09-28T15:21:49Z,8gqvlydur0v4cpmz1ozqkejh0,M. Bruhn,,,5246972575,140,53.8,5246972577,141,49.4,5246972583,279,S,5246972573,56,Center,5246972579,212,4.0,5246972581,213,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726883071,3,43,1,0,4,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-09-28T13:01:30.162Z,2024-09-28T13:01:35Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5246972423,285,0,5246972421,56,Back,5246972835,144,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726883111,4,4,1,0,5,b2vft81kyjurzbmekvgrqwr64,1,63.6,55.8,2024-09-28T13:01:31.696Z,2024-09-28T15:10:44Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5246972657,152,,5246972737,233,4,5246972655,56,Center,5246972659,265,,5246972653,13,,5246972661,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726883099,4,4,1,0,5,a9vw7ikerpr4cuweeeka5aneg,0,36.4,44.2,2024-09-28T13:01:31.697Z,2024-09-28T15:10:45Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5246972749,233,4,5246972681,13,,5246972683,56,Back,5246972689,285,,5246972685,152,,5246972687,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726883335,5,1,1,0,15,b2vft81kyjurzbmekvgrqwr64,1,59.0,67.5,2024-09-28T13:01:41.484Z,2024-09-28T13:01:44Z,bp232fgjrfyok2471ec7u1tcl,M. Kristensen,,,5246973655,212,23.4,5246973649,56,Center,5246973657,213,4.54,5246973651,140,55.1,5246973647,152,,5246973653,141,33.6,5246973645,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726883415,6,1,1,0,18,b2vft81kyjurzbmekvgrqwr64,1,57.6,30.0,2024-09-28T13:01:44.676Z,2024-09-28T13:01:49Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5246974133,212,20.3,5246974129,140,72.4,5246974127,56,Right,5246974135,213,5.59,5246974131,141,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
