id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2730021501,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-10-04T16:01:57.555Z,2024-10-04T19:21:39Z,,,,,5264158063,194,eas91my7qw7etoha5plxfk9yi,5264275029,197,7812,5264158051,30,"7fkc01xxyl1trj3uav134ehyi, eas91my7qw7etoha5plxfk9yi, 1se7wkenvs4elrapvdw9mdnje, c7buy99bjqmkmno8w5t0189d6, 839pm7rmjp6q1bt52f7ek9vys, aqc0qritba195wf770gyd1149, ate1ymumg2iwzn8uyyf3ts222, 7wo1hk736v1xhovvu2t2trw89, 6hmsrr08cllpl4iumu92zskbt, 4jve632xnmqujh4ioaxpaovai, auv81snxkpk2ybxzi8giy5azt, 37mo55lynu3blqnb8k9ln8k16, bmkwmf5f2ssnw2cq7uga7yd5g, 15yli690oxmbr4dl1ksti2p9m, bdxcd38y99nrbv72uh2v4fhg4, 6m4anciafmzc24s44xszymbc9, 45bcgucg627rhrdgt8tn9hd9m, 9n2nm6smh0txgv2482qbwhixg, 98mkoolgahktzky97y0khdq1g, 418pvntm5e5kcoeyjjnzm7hg4",5264158057,59,"1, 2, 21, 15, 25, 3, 12, 10, 7, 14, 19, 4, 5, 8, 9, 11, 16, 17, 26, 27",5264158061,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264158055,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5264158059,130,10,5264158065,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730022573,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-10-04T16:06:17.530Z,2024-10-04T19:22:41Z,,,,,5264164103,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264164099,130,8,5264164101,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5264164095,59,"1, 2, 21, 6, 5, 4, 17, 8, 9, 27, 22, 15, 16, 18, 19, 20, 28, 29, 31, 33",5264278117,197,19798,5264278115,194,ezbixgm2km8iapnsl57bn4wkp,5264164093,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5264164091,30,"9y3vs6l0mjj38z0kw062jlh3p, 6g671k5lvgoo2bgub2516q1w4, ab3nxxoj7bxlnhot9htoex1xw, 5u9zrgsm6wycfcbk04m64wd1w, 2uellcocrvapu7o70g5zdcmad, 15nwvne76hmc6vgtju60bl7md, egnjbmbxkceiygmp2jty4b47o, ezbixgm2km8iapnsl57bn4wkp, 5mmgppapbchmcj9zdtyw0w5xw, 4a0jmv6qmwn01iuqp1mhnyzth, kqj7nh6pqmqbt0abyyu0fcpg, 85qlnet6ehpowwtbubzbw3qqc, dja68kdmhtsm9x5zqzgtpqas4, 86mx27krl6c613x6e3t9g3cic, ct7z1lwc3kc5oblzcewgipzl6, 6dki65mdd3letfjjj51i0w3c9, 8xe0fufxfgf5cuwgysz3r2j85, 8viazilbghyogmhd7w3lg2six, 7k2c7wgoywy7boesjer5578q1, erb2xg622lfmo3jp5lgwcsrh0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044359,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-10-04T17:01:06.072Z,2024-10-04T17:01:08Z,,,,,5264282155,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044349,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-10-04T17:01:06.072Z,2024-10-04T17:01:06Z,,,,,5264282105,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044393,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,49.9,50.0,2024-10-04T17:01:06.073Z,2024-10-04T17:01:09Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5264282349,141,60.5,5264282353,213,2.86,5264282345,56,Back,5264282351,212,26.1,5264282347,140,26.0,5264282355,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044421,4,1,1,0,3,f1h34qp5zbfl489q8vnkhiq9s,0,26.0,60.5,2024-10-04T17:01:09.576Z,2024-10-04T17:01:13Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5264282475,157,,5264282485,213,5.98,5264282479,140,78.1,5264282481,141,35.0,5264282487,1,,5264282477,56,Center,5264282483,212,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044429,3,44,1,0,6,ajtb177oqwawkdwbqhldmq6mx,1,20.8,65.3,2024-10-04T17:01:12.680Z,2024-10-04T19:21:23Z,15nwvne76hmc6vgtju60bl7md,J. Okore,,,5264282505,56,Back,5264282537,233,5,5264282507,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044425,5,44,1,0,6,f1h34qp5zbfl489q8vnkhiq9s,0,79.2,34.7,2024-10-04T17:01:12.681Z,2024-10-04T19:21:23Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5264282497,286,,5264282495,56,Center,5264282545,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044451,4,1,1,0,7,ajtb177oqwawkdwbqhldmq6mx,0,19.1,65.7,2024-10-04T17:01:13.111Z,2024-10-04T17:01:17Z,15nwvne76hmc6vgtju60bl7md,J. Okore,,,5264282639,141,73.3,5264282643,213,0.47,5264282635,56,Back,5264282641,212,11.5,5264282633,3,,5264282637,140,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044457,6,44,1,0,9,f1h34qp5zbfl489q8vnkhiq9s,1,66.6,26.3,2024-10-04T17:01:15.712Z,2024-10-04T19:21:24Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5264282749,233,5,5264282669,286,,5264282667,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044463,5,44,1,0,9,ajtb177oqwawkdwbqhldmq6mx,0,33.4,73.7,2024-10-04T17:01:15.713Z,2024-10-04T19:21:24Z,kqj7nh6pqmqbt0abyyu0fcpg,O. Addo,,,5264282677,285,,5264282787,233,6,5264282675,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730044471,7,1,1,0,10,f1h34qp5zbfl489q8vnkhiq9s,0,59.9,25.7,2024-10-04T17:01:16.120Z,2024-10-04T17:01:17Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5264282719,212,14.3,5264282713,56,Center,5264282717,141,35.2,5264282721,213,0.47,5264282715,140,72.0,5264282711,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
