id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2707178785,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-08-10T11:18:51.278Z,2024-08-10T14:44:06Z,,,,,5138781673,194,139g7ilwvcpl519v3scnweg2d,5138781669,130,8,5138781667,59,"1, 6, 2, 8, 5, 34, 7, 20, 9, 17, 10, 3, 11, 16, 22, 23, 25, 27, 29, 37",5138865161,197,11731,5138781663,30,"64vlnkuqfh7rnymg8qku8amwa, egwhlgopjtjkop7ozy7ltk1cl, bvw5oc4c040ey5dt5wn0choiy, a7eramyy1bd8msxmg84ctc8ut, ef7l91pb4w6yk7lijxjxlievp, 18vvlxsaoloypja4fdddj687o, 139g7ilwvcpl519v3scnweg2d, 7j35sfip0xb51mpa91wzikrh0, 9l89n30nejpn2u22ygvchwnze, 11cna826ls27ahux2w0ckapqt, 9nafz0c0x2qvmo5ldm0djmcq1, 6gi9kejni27hjp7b43djczz6d, 7ar33yy0wd5ah5o8om1l12pgq, dy7tdtffhczukm4vrkgp1ctn8, 5hr1cb6e6xb3eyjnau7w4825l, 4csz412vb3lquessbnf999ct0, 9y2jqheyw7vuscwsj9yyxuga, 6t6k24gn6zwxz1g6c3n4ph0q, 78iynnu6cnznv6fxpo4br4mlm, 6xnn9048x2zmwprfsg0lhq61g",5138781665,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5138781675,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5138781671,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707179665,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-10T11:22:21.729Z,2024-08-10T17:59:36Z,,,,,5138785655,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5138785663,194,1nn1wc14k9zd3wtu73loj7kes,5138863929,197,12588,5138785659,130,17,5138785657,59,"99, 29, 11, 3, 5, 4, 24, 18, 17, 9, 7, 1, 2, 12, 14, 15, 16, 19, 32, 33",5138785661,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5138785665,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5138785653,30,"6sdv4s8oz558wfhx72vwlpvu2, ekx0wotp433tuaw4g93nybjmc, f1ba9g771s0zeel0titcj3omi, 8ewvm6ux4yvpwgrzjkc1chqwa, dqssvdpt2iwg8qn9wto3miind, 3xz0h3d6r2qgmv9egms8yaz56, 9fvf8z6p8ok0n5vu999ysfywa, 8h3cyhuw5049gcxrsld3rw1ec, 9ircna8pbskreztmy1wiqwx9m, 9618hk1lq7i6see347k7plkyy, 1nn1wc14k9zd3wtu73loj7kes, 52vwj2s29n7wngablotd7pboq, b55jtl3ixolidn6cvc4t90efo, e3546n3qj447qgmizao50zx1w, b6l4m6bmqgil9bjjov4tnuivo, 2qedb8t85t1ieeed9613c9crt, dyzzo6n83rg4fpvmqqa69moes, 5moycfv7blzfnjqiruao7dv6c, 3ywgt5v070xudujs9f7cuqm7d, 4uuqid6t4nspn0wspyltz3bx0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196121,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-08-10T11:59:46.348Z,2024-08-10T11:59:46Z,,,,,5138870245,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196131,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-10T11:59:46.348Z,2024-08-10T11:59:48Z,,,,,5138870295,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196139,3,1,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,49.8,50.0,2024-08-10T11:59:46.349Z,2024-08-10T16:13:17Z,1nn1wc14k9zd3wtu73loj7kes,P. Ngongo,,,5138870329,212,23.8,5138870327,141,52.4,5138870333,279,S,5138870323,56,Back,5138870331,213,3.07,5138870325,140,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196147,4,1,1,0,4,b8oqgvx1ijeyn6y1cn6929ix4,1,27.2,52.4,2024-08-10T11:59:50.848Z,2024-08-10T12:03:36Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5138870385,212,48.5,5138870381,140,68.2,5138870377,157,,5138870379,56,Right,5138870387,213,5.81,5138870389,1,,5138870383,141,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196175,6,44,1,0,5,b8oqgvx1ijeyn6y1cn6929ix4,1,70.5,27.2,2024-08-10T11:59:52.337Z,2024-08-10T14:20:32Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5138870515,233,3,5138870509,286,,5138870507,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196151,3,44,1,0,5,7gkglopz9cjsysn2u6sbhuvc5,0,29.5,72.8,2024-08-10T11:59:52.338Z,2024-08-10T14:20:32Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5138870403,56,Back,5138870523,233,6,5138870405,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196161,5,1,1,0,6,b8oqgvx1ijeyn6y1cn6929ix4,1,68.2,19.7,2024-08-10T11:59:53.024Z,2024-08-10T15:41:29Z,ekx0wotp433tuaw4g93nybjmc,S. Jalal,,,5138870455,141,28.3,5138870451,56,Center,5138870459,213,1.09,5138870457,212,6.6,5138870453,140,71.1,5138870449,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196177,7,50,1,0,9,b8oqgvx1ijeyn6y1cn6929ix4,1,80.6,12.4,2024-08-10T11:59:56.291Z,2024-08-10T14:05:26Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5138870511,56,Right,5138870613,233,4,5138870513,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
