id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId
2734764779,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-10-18T16:07:39.725Z,2024-10-18T21:15:12Z,,,,,5290090787,130,19,5290090783,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5290090793,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290090789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290090781,30,"52vwj2s29n7wngablotd7pboq, 9618hk1lq7i6see347k7plkyy, ekx0wotp433tuaw4g93nybjmc, dqssvdpt2iwg8qn9wto3miind, 3xz0h3d6r2qgmv9egms8yaz56, 8ewvm6ux4yvpwgrzjkc1chqwa, 4uuqid6t4nspn0wspyltz3bx0, f58yr2jmfp8kpgprfxbokt1t6, dyzzo6n83rg4fpvmqqa69moes, 9ircna8pbskreztmy1wiqwx9m, 9fvf8z6p8ok0n5vu999ysfywa, b55jtl3ixolidn6cvc4t90efo, f1ba9g771s0zeel0titcj3omi, 2qedb8t85t1ieeed9613c9crt, 8h3cyhuw5049gcxrsld3rw1ec, 1u46uhxe7outj2f8tsga2nx0p, 6bajck5osvj7trnwt2a5mc3dg, cqgmx6eiriomccxfhykh31r10, 3ywgt5v070xudujs9f7cuqm7d, 6sdv4s8oz558wfhx72vwlpvu2",5290090785,59,"1, 9, 29, 5, 4, 3, 33, 8, 16, 17, 24, 2, 11, 15, 18, 21, 22, 23, 32, 99",5290090791,194,3xz0h3d6r2qgmv9egms8yaz56,5290214091,197,12587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734765109,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-10-18T16:08:30.722Z,2024-10-18T17:13:05Z,,,,,5290221159,197,16344,5290092599,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290092601,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290092595,59,"1, 18, 27, 4, 7, 3, 6, 12, 10, 8, 17, 2, 9, 19, 20, 22, 23, 26, 29, 34",5290092591,30,"8mswl5vzza12hylodrrsq3zvu, 9lsylzgf7e3i5zb0fshnxo6xg, 85a9bmnu6fqvhlff28qm0e0a1, 5i6n6yne6fh410vk7p7kkokmi, 5z7y55t2o577r8ki3i5855as, 81gka3mi69fh8gyehyy8xo9as, 2tcdx5rp7vujnlid4oqqxdogk, 5dlh0fa9yo6z283w9p58xmnoq, bop31qof3lon7u6rvmb68ktzp, 1n4eldqa7h9jvcx1693zqu06i, uiyol728wan4mxco2foplknp, 9350utk4onh2hv5jznxqpkd7t, 1fjkjzsei9slx2t4zhsqdkve1, 1hlx5mvl8th7y82gocnuxacd0, bpldj4qdzfdm1n739atcadbmc, b8tw9d3b8tgnfezy68vadwnx0, 3avg1grraylzm6xjt5kt18is4, 55qsxtqivxajkxmpdeyccus5w, 21bafxfg7hy0agd0upyqxw0a2, 7l7f98nn8gohmdacsdb2labkk",5290092593,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5290092597,130,17,5290199833,194,5z7y55t2o577r8ki3i5855as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789231,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-10-18T17:00:43.159Z,2024-10-18T17:00:45Z,,,,,5290220473,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789229,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-10-18T17:00:43.159Z,2024-10-18T17:00:43Z,,,,,5290220471,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789259,3,1,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,50.0,50.0,2024-10-18T17:00:43.160Z,2024-10-18T17:00:47Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5290220593,213,3.08,5290220587,140,25.0,5290220585,56,Back,5290220589,141,52.4,5290220595,279,S,5290220591,212,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789307,4,1,1,0,3,b8oqgvx1ijeyn6y1cn6929ix4,0,26.1,51.9,2024-10-18T17:00:46.903Z,2024-10-18T17:00:51Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5290220837,213,5.71,5290220833,141,0.0,5290220839,1,,5290220835,212,67.7,5290220831,140,80.4,5290220829,56,Right,5290220827,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789363,3,5,1,0,8,aqtkb4mgrz8c6iqfufj6qjbv9,1,22.8,102.0,2024-10-18T17:00:51.411Z,2024-10-18T19:14:16Z,5z7y55t2o577r8ki3i5855as,J. Witt,,,5290221153,347,,5290221151,56,Back,5290221177,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789309,5,5,1,0,8,b8oqgvx1ijeyn6y1cn6929ix4,0,77.2,-2.0,2024-10-18T17:00:51.411Z,2024-10-18T19:14:17Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5290220849,56,Right,5290221203,233,3,5290220851,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789459,4,1,1,0,26,aqtkb4mgrz8c6iqfufj6qjbv9,0,30.0,100.0,2024-10-18T17:01:09.469Z,2024-10-18T17:01:11Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,,5290221637,56,Left,5290221645,213,5.83,5290221641,141,85.9,5290221635,107,,5290221643,212,24.8,5290221639,140,51.2,5290221647,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789477,6,1,1,0,28,b8oqgvx1ijeyn6y1cn6929ix4,0,47.4,11.1,2024-10-18T17:01:11.903Z,2024-10-18T17:01:12Z,4uuqid6t4nspn0wspyltz3bx0,J. Musbaudeen,,,5290221707,3,,5290221709,56,Right,5290221717,213,0.43,5290221713,141,20.9,5290221715,212,16.0,5290221711,140,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
