id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/15/value,qualifier/10/value
2724208477,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-09-22T12:06:55.383Z,2024-09-22T12:59:07Z,,,,,5232204017,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5232204027,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5232204031,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5232204025,130,4,5232204023,59,"16, 20, 2, 6, 4, 29, 8, 18, 30, 10, 11, 1, 5, 7, 14, 19, 23, 24, 26, 28",5232204029,194,4clmd8g8jogdfvauhijd7n55h,5232469863,197,4604,5232204013,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, e9o7q10wnhex4e8eo47mobbvt, dqtarwrqvkopmzbt2ovp2dln9, ev2s21ogvpjtata4fndi868ve, 97xbmht3t4t1p9iu6598oq7l5, 2z8u8kyv91shp0la8alkn6kus, 80s55a7uw8kypoikefwhtdm5m, 5wmik73cqursg7sv3w14ue5pm, 1b32j0lqi7ggcabdra4tygxzo, 2g019dl7zougqjo7usig0rf11, eq15hjcxpdrl5vca2q7s4tr3e, wha77a8wm7jyn32743y0w79x, 2uw6m0yavlvkkiob73hoywb56, rbk7g9mpasw3edltliscyzv8, 15jhbyn4wsbd865fd9djcwaok, 19wdr5lrjw3aqm0ap9nklwefo, ewh6t7yo6clfewu89uznll9uc, wrckom9vy4352nos44600ydw",,,,,,,,,,,,,,,,,,,,,,,,,,,
2724215793,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-09-22T12:13:35.538Z,2024-09-22T12:57:45Z,,,,,5232243317,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5232478495,194,bwozpgcm48s08t1glxfgjajmd,5232243323,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5232243325,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5232243321,130,8,5232243319,59,"1, 2, 3, 6, 5, 4, 10, 23, 27, 18, 15, 8, 11, 12, 14, 16, 17, 22, 25, 26",5232478497,197,24385,5232243315,30,"8r9iqig43yjty7l1oq6yg73mc, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, bwozpgcm48s08t1glxfgjajmd, 4brcvdxviy9f03iwcavxll80l, 81c40rn7lrb39qu0sam8kv6dw, 7h02v4ymnko5fh01iylbh34es, 6zhj070huc77sl5o5bx6ey5g4, d106tu53y5q02yu36iojbou8k, cf6zq49y8v1ekw07e7yi3uac, m031ocyfq011rual3olkegdm, 4lac0f1ev5usxpka7gaev3hii, 1el3mu4rgcx8tebrawgfvynf8, 35og29e19w0ykeqcvudhpgr8, 4rhxehi019n7z1z1m7a39w1sk, emakjdiju8z2peey3ytjahz6y, 6bkuzenpse2kzirt9q7qeisd0, 65f1ckijc2btnprgz3s593dw4, e0nkqbugb4xkpluu5e42zf2ms, g2cgdv428rmpmb0om40ldses",,,,,,,,,,,,,,,,,,,,,,,,,,,
2724263359,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-09-22T13:02:29.409Z,2024-09-22T13:02:29Z,,,,,5232502453,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724263379,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-09-22T13:02:29.409Z,2024-09-22T13:02:30Z,,,,,5232502583,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724263459,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,50.2,50.0,2024-09-22T13:02:29.410Z,2024-09-22T13:02:33Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5232502997,212,28.3,5232503001,279,S,5232502989,56,Back,5232502999,213,2.64,5232502993,140,26.5,5232502995,141,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724263583,4,1,1,0,4,bd4qakf7j0wwie8wke9km7uj8,1,27.1,69.9,2024-09-22T13:02:33.713Z,2024-09-22T13:02:40Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5232503629,141,11.3,5232503637,1,,5232503625,56,Right,5232503623,157,,5232503627,140,68.0,5232503631,212,58.6,5232503633,213,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724263597,5,1,1,0,10,bd4qakf7j0wwie8wke9km7uj8,0,68.0,11.3,2024-09-22T13:02:39.856Z,2024-09-22T13:04:50Z,d106tu53y5q02yu36iojbou8k,A. Jensen,,,5232503687,56,Right,5232503693,212,12.8,5232503695,213,0.21,5232503691,141,15.2,5232503689,140,79.9,5232503685,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724263651,3,1,1,0,11,dbl7ir1qugqz8nvp1vzn8im50,0,11.4,87.1,2024-09-22T13:02:40.549Z,2024-09-22T13:02:42Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5232504009,141,100.0,5232504003,157,,5232504005,56,Back,5232504011,212,30.1,5232504015,1,,5232504013,213,0.34,5232504007,140,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724263653,4,5,1,0,13,dbl7ir1qugqz8nvp1vzn8im50,0,42.9,101.7,2024-09-22T13:02:42.680Z,2024-09-22T15:14:31Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5232506675,233,6,5232504023,56,Back,5232504025,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724264119,6,5,1,0,13,bd4qakf7j0wwie8wke9km7uj8,1,57.1,-1.7000000000000002,2024-09-22T13:02:42.680Z,2024-09-22T15:14:30Z,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,,,5232506583,347,,5232506629,233,4,5232506581,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
