id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/15/value
2735171575,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-10-19T10:09:53.574Z,2024-10-19T10:09:54Z,,,,,5292292687,59,"1, 2, 5, 15, 25, 3, 12, 8, 7, 14, 19, 4, 6, 9, 10, 11, 16, 17, 26, 27",5292292691,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5292292689,130,10,5292292685,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5292292693,194,eas91my7qw7etoha5plxfk9yi,5292292683,30,"7fkc01xxyl1trj3uav134ehyi, eas91my7qw7etoha5plxfk9yi, bmkwmf5f2ssnw2cq7uga7yd5g, c7buy99bjqmkmno8w5t0189d6, 839pm7rmjp6q1bt52f7ek9vys, aqc0qritba195wf770gyd1149, ate1ymumg2iwzn8uyyf3ts222, 15yli690oxmbr4dl1ksti2p9m, 6hmsrr08cllpl4iumu92zskbt, 4jve632xnmqujh4ioaxpaovai, auv81snxkpk2ybxzi8giy5azt, 37mo55lynu3blqnb8k9ln8k16, efh8bbfaqg4riyedthbbviuad, bdxcd38y99nrbv72uh2v4fhg4, 7wo1hk736v1xhovvu2t2trw89, 6m4anciafmzc24s44xszymbc9, 45bcgucg627rhrdgt8tn9hd9m, 9n2nm6smh0txgv2482qbwhixg, 98mkoolgahktzky97y0khdq1g, 418pvntm5e5kcoeyjjnzm7hg4",5292292695,197,4652,5292292697,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,
2735171897,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-10-19T10:11:03.081Z,2024-10-19T13:37:48Z,,,,,5292294511,59,"90, 14, 17, 6, 4, 5, 13, 8, 16, 97, 7, 1, 2, 3, 18, 19, 20, 21, 98",5292294513,130,4,5292294509,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5292294507,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 4bojyjyvkdgm1lss6n37q2t5g, 7rt4wpc0qphwnvhn8jeazesfe, b1kyjkhaaiw32cb4bubbpm7tg, 3od63zrf6cay4d6ync9i2iuqc, 7ztdirfvd9d0x2yw1v051xzbo, 6wfu6s6xo5zjeke21fgbouql0, 9jqox80arzpytv1b136jobhpm, y4dl1rer075c9wz6zhx7skbt, ayxi2m0g0pm6rl1ba5pto66z9, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, dgcbjg2ymgi70yv1n8ugkv02c, ei3xmwfz8dah5e4lcbu4w98t1, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck, 23sc7wc7my7wes6cuaxw1v0no, 289rctmvd5ppy9zqn98jbe4et",5292294519,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5292358551,197,11563,5292294517,194,3od63zrf6cay4d6ync9i2iuqc,5292294515,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,
2735184991,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-10-19T11:01:59.899Z,2024-10-19T11:02:00Z,,,,,5292364487,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2735184999,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-10-19T11:01:59.899Z,2024-10-19T11:02:02Z,,,,,5292364509,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2735185019,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,50.1,50.1,2024-10-19T11:01:59.900Z,2024-10-19T11:02:03Z,15yli690oxmbr4dl1ksti2p9m,M. Maden,,,5292364609,213,2.73,5292364605,212,30.3,5292364603,141,67.8,5292364599,56,Back,5292364613,279,S,5292364601,140,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2735185031,4,1,1,0,3,f1h34qp5zbfl489q8vnkhiq9s,0,23.6,67.8,2024-10-19T11:02:03.470Z,2024-10-19T11:03:20Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5292364671,140,66.1,5292364673,141,26.9,5292364669,56,Center,5292364667,157,,5292364675,212,52.6,5292364679,1,,5292364677,213,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
2735185045,3,1,1,0,5,6wwwud48qahpwrfxs20334qk5,0,34.6,71.5,2024-10-19T11:02:05.771Z,2024-10-19T11:04:24Z,6wfu6s6xo5zjeke21fgbouql0,J. Jessen,,,5292364767,213,0.08,5292364765,212,26.9,5292364761,140,60.1,5292364763,141,74.8,5292364757,3,,5292364759,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2735185089,5,1,1,0,8,f1h34qp5zbfl489q8vnkhiq9s,0,37.5,19.6,2024-10-19T11:02:08.446Z,2024-10-19T11:02:12Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5292364993,141,33.4,5292364989,56,Center,5292364991,140,64.7,5292364987,155,,5292364995,212,30.1,5292364997,213,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2735185113,4,44,1,0,11,6wwwud48qahpwrfxs20334qk5,1,34.6,68.0,2024-10-19T11:02:11.133Z,2024-10-19T11:02:15Z,7rt4wpc0qphwnvhn8jeazesfe,F. Winther,,,5292365149,233,6,5292365097,56,Back,5292365099,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2735185093,6,44,1,0,11,f1h34qp5zbfl489q8vnkhiq9s,0,66.2,30.6,2024-10-19T11:02:11.134Z,2024-10-19T11:02:14Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5292365013,286,,5292365195,233,4,5292365011,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
