id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/18/value
2817812535,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-05-22T16:08:42.237Z,2025-05-23T10:01:01Z,,,,,5744100373,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744100369,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744100371,194,3mcj3wypzq3lno1ehc0vif1sl,5744100365,59,"1, 10, 21, 4, 23, 3, 17, 6, 26, 28, 20, 7, 11, 14, 16, 22, 29, 30, 31, 32",5744100367,130,11,5744100363,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5744100469,197,9535,5744100361,30,"dqqswfn9s1tdxjoslts8ks6xg, 74m58jsznzu8l89b8h7rkh1bd, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 7al9w77ailhli8g487tkl32tw, 4m7gr5z6b40dj02yrmlwgeluc, 6orujbbswf771s9rv0dcd8kd0, 11ngumxajbizagbzpm5kompxx, 3mcj3wypzq3lno1ehc0vif1sl, 3mgrufy83uhzs9liw8pwxi784, d2ukggo2v5jsw4pctznmaijo4, 619s1phj5bkgkug3aszc1y9cl, abhfq12njxxutqjtb9zvcusyc, egxik3guom123v43rthy89c7o, 67p0s4o54xcmiustgy8k5gljo, 5nved2kta2hk8103hkyhq33hm, bwxxfcjd31gykfbpomwr1od90, 5jv4a1295xd5oonpj9w9fy61g, k43cten7yb6p59yo0firhb84, 6k9ri9m1ha4sfqrfccl7ieyvo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817814205,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-05-22T16:17:47.810Z,2025-05-23T09:46:39Z,,,,,5744110491,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744110485,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5744133795,197,18945,5744110493,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5744110483,30,"9yxhg70gpwi3e9s84c8qwg0yx, ea2x4o6ufsqoz2zz7tqcnvo16, 8q8yol44e42o9hwttlopznvh0, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, 3sog1gsk11bwwrf7l7wm2j7dg, 9xub4z9b3bog8wqhn5yfihecp, e0rgqk3gxzs005m9ok9hvp1ck, 4qyfoq5fjiochtj89w426lm21, 8gqvlydur0v4cpmz1ozqkejh0, dwuxps3jv2852642q000wep6, dxv40hh07gxq4hn0i6dwb2l4a, 4dmz3u7j1eoz4ofr1o8tbxedw, b0yv1pcxifawqx6r1cfqq3otm, 5jyv1dctfxa6335l1mlifwavo, ao1wnwvf7m3swnt85cs5w3sb8, beu3ypladd5dexnm9x946kjkk, izewe5fthjad6hv14xgpm3v8, 2f0p63eeg2yc4jsyotle88q38, amvm93zs602wkpm7i74qfkmj8",5744133793,194,cflwegqpzch8y30pb3dhigqnd,5744110487,59,"25, 27, 22, 12, 18, 5, 8, 26, 9, 23, 10, 1, 16, 17, 40, 42, 43, 47, 49, 50",5744110489,130,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822047,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-05-22T17:00:40.925Z,2025-05-22T17:00:42Z,,,,,5744156649,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822045,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-05-22T17:00:40.925Z,2025-05-23T16:14:10Z,,,,,5744156631,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822053,3,1,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,49.7,49.7,2025-05-22T17:00:40.926Z,2025-05-22T17:00:43Z,dwuxps3jv2852642q000wep6,V. Rasmussen,,,5744156681,141,44.6,5744156687,279,S,5744156677,56,Back,5744156683,212,19.1,5744156685,213,3.32,5744156679,140,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822059,4,1,1,0,2,b2vft81kyjurzbmekvgrqwr64,0,31.1,44.0,2025-05-22T17:00:42.956Z,2025-05-22T17:00:46Z,cflwegqpzch8y30pb3dhigqnd,E. Søgaard,,,5744156715,56,Center,5744156725,1,,5744156719,141,69.1,5744156713,157,,5744156723,213,0.33,5744156717,140,79.3,5744156721,212,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822071,4,1,1,0,9,8cfkisxf1fkxdqtt6tx1tup48,1,30.3,20.9,2025-05-22T17:00:50.287Z,2025-05-23T09:49:31Z,74m58jsznzu8l89b8h7rkh1bd,C. Jensen,,,5744156769,141,5.2,5744156773,213,5.62,5744156765,56,Back,5744156771,212,17.2,5744156767,140,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822073,5,61,1,0,10,8cfkisxf1fkxdqtt6tx1tup48,0,42.0,22.1,2025-05-22T17:00:51.903Z,2025-05-22T17:00:52Z,6orujbbswf771s9rv0dcd8kd0,B. Alkhoudari,,,5744156777,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822097,5,61,1,0,13,b2vft81kyjurzbmekvgrqwr64,0,63.0,93.3,2025-05-22T17:00:54.300Z,2025-05-22T19:12:15Z,8q8yol44e42o9hwttlopznvh0,M. Nielsen,,,5744156877,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817822135,6,5,1,0,14,8cfkisxf1fkxdqtt6tx1tup48,1,35.4,-1.8,2025-05-22T17:00:55.598Z,2025-05-22T19:05:20Z,6orujbbswf771s9rv0dcd8kd0,B. Alkhoudari,,,5744159583,233,6,5744156949,56,Back,5744156951,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
