id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2754021227,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-12-01T13:14:01.855Z,2024-12-01T13:57:49Z,,,,,5395247635,197,25972,5395043703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5395043691,30,"b2gkyjq8emj9pywryc3rycogl, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, 5u9zrgsm6wycfcbk04m64wd1w, 15nwvne76hmc6vgtju60bl7md, 6dki65mdd3letfjjj51i0w3c9, 8viazilbghyogmhd7w3lg2six, ezbixgm2km8iapnsl57bn4wkp, 8i0o1b8rjsab9se3v6vteqmfo, 86mx27krl6c613x6e3t9g3cic, kqj7nh6pqmqbt0abyyu0fcpg, 9y3vs6l0mjj38z0kw062jlh3p, 5mmgppapbchmcj9zdtyw0w5xw, 9213debwtuph6cjborx73sx78, e8vt8711wb40afht2v13omket, 85qlnet6ehpowwtbubzbw3qqc, dja68kdmhtsm9x5zqzgtpqas4, egnjbmbxkceiygmp2jty4b47o, ab3nxxoj7bxlnhot9htoex1xw, 8xe0fufxfgf5cuwgysz3r2j85",5395043697,59,"13, 2, 3, 6, 4, 20, 29, 8, 11, 18, 22, 1, 9, 12, 14, 15, 16, 17, 21, 28",5395213589,194,ezbixgm2km8iapnsl57bn4wkp,5395043699,130,8,5395043695,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5395043701,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754024449,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-12-01T13:18:50.086Z,2024-12-01T17:38:48Z,,,,,5395060555,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5395060561,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5395252543,194,4clmd8g8jogdfvauhijd7n55h,5395060559,130,21,5395060557,59,"16, 20, 2, 7, 28, 29, 14, 18, 10, 17, 30, 1, 4, 11, 13, 15, 21, 23, 26, 24",5395250169,197,4604,5395060563,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5395060553,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, wha77a8wm7jyn32743y0w79x, wrckom9vy4352nos44600ydw, ev2s21ogvpjtata4fndi868ve, 2uw6m0yavlvkkiob73hoywb56, 2z8u8kyv91shp0la8alkn6kus, 5wmik73cqursg7sv3w14ue5pm, axyrfq1u8nwcj2ss5498u8qhg, 80s55a7uw8kypoikefwhtdm5m, 2g019dl7zougqjo7usig0rf11, dqtarwrqvkopmzbt2ovp2dln9, 1b32j0lqi7ggcabdra4tygxzo, 4n002w0ii1wqwx8t5xc1bzf2s, 8f1mw21tbkct0slelpdznf7dg, 6eg3kxxg5aneckolraz03xzpw, 15jhbyn4wsbd865fd9djcwaok, ewh6t7yo6clfewu89uznll9uc, 19wdr5lrjw3aqm0ap9nklwefo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754064257,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-12-01T14:02:57.603Z,2024-12-01T14:02:57Z,,,,,5395271601,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754064267,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2024-12-01T14:02:57.603Z,2024-12-01T14:03:00Z,,,,,5395271621,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754064303,3,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.0,50.0,2024-12-01T14:02:57.604Z,2024-12-01T14:03:00Z,2uw6m0yavlvkkiob73hoywb56,G. Grubbe,,,5395271795,140,29.8,5395271799,212,21.2,5395271803,279,S,5395271797,141,51.8,5395271801,213,3.08,5395271793,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754064563,4,1,1,0,2,dbl7ir1qugqz8nvp1vzn8im50,1,29.8,51.8,2024-12-01T14:03:00.107Z,2024-12-01T14:03:13Z,wrckom9vy4352nos44600ydw,T. Slotsager,,,5395273139,213,0.29,5395273135,141,71.7,5395273129,157,,5395273137,212,47.9,5395273131,56,Center,5395273141,1,,5395273133,140,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754064567,5,4,1,0,6,dbl7ir1qugqz8nvp1vzn8im50,1,68.0,79.5,2024-12-01T14:03:03.819Z,2024-12-01T14:58:14Z,80s55a7uw8kypoikefwhtdm5m,M. Fenger,,,5395273215,286,,5395273211,152,,5395273209,56,Left,5395273207,13,,5395273931,294,,5395274525,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754064381,3,4,1,0,6,ajtb177oqwawkdwbqhldmq6mx,0,32.0,20.5,2024-12-01T14:03:03.820Z,2024-12-01T14:58:15Z,15nwvne76hmc6vgtju60bl7md,J. Okore,,,5395272153,56,Back,5395274599,233,5,5395273795,152,,5395272155,285,,5395273791,13,,5395273793,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754065161,6,1,1,0,45,dbl7ir1qugqz8nvp1vzn8im50,0,67.5,73.6,2024-12-01T14:03:43.315Z,2024-12-01T14:03:47Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5395276341,5,,5395276347,56,Center,5395276351,141,50.0,5395276357,213,5.80,5395276361,1,,5395276349,140,96.7,5395276345,152,,5395276353,212,34.6,5395276343,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754065245,5,1,1,0,52,ajtb177oqwawkdwbqhldmq6mx,0,13.3,53.6,2024-12-01T14:03:50.051Z,2024-12-01T14:03:52Z,b2gkyjq8emj9pywryc3rycogl,M. Falkesgaard,,,5395276879,1,,5395276869,56,Center,5395276875,212,58.4,5395276867,199,,5395276877,213,0.10,5395276871,140,68.6,5395276873,141,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
