id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2785180859,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-03-08T13:03:02.708Z,2025-03-08T16:42:06Z,,,,,5564720097,197,4604,5564524643,59,"16, 2, 3, 7, 13, 5, 20, 18, 17, 11, 26, 1, 4, 14, 15, 23, 24, 29, 42",5564707849,194,4clmd8g8jogdfvauhijd7n55h,5564524649,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5564524647,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5564524639,30,"4clmd8g8jogdfvauhijd7n55h, 1mml4inucvyomv1dcog3c1pt5, bxamae8lo647u6k3kruigir8q, wha77a8wm7jyn32743y0w79x, 4n002w0ii1wqwx8t5xc1bzf2s, eq15hjcxpdrl5vca2q7s4tr3e, e42jh6bbwn4aybdnysonrvutx, 2z8u8kyv91shp0la8alkn6kus, axyrfq1u8nwcj2ss5498u8qhg, 1b32j0lqi7ggcabdra4tygxzo, ewh6t7yo6clfewu89uznll9uc, 2g019dl7zougqjo7usig0rf11, dqtarwrqvkopmzbt2ovp2dln9, 2uw6m0yavlvkkiob73hoywb56, 8f1mw21tbkct0slelpdznf7dg, 15jhbyn4wsbd865fd9djcwaok, 19wdr5lrjw3aqm0ap9nklwefo, ev2s21ogvpjtata4fndi868ve, 3ukx6q0q54uzz78gl7k10o2dw",5564524641,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5564524645,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785186923,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-03-08T13:10:02.501Z,2025-03-08T13:56:39Z,,,,,5564555327,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5564555333,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5564555325,30,"6sdv4s8oz558wfhx72vwlpvu2, ekx0wotp433tuaw4g93nybjmc, 4zpmxlmdfa5wx79cr0q14pfx1, 8ewvm6ux4yvpwgrzjkc1chqwa, b55jtl3ixolidn6cvc4t90efo, 3xz0h3d6r2qgmv9egms8yaz56, 5u9zrgsm6wycfcbk04m64wd1w, 423hv4unq5vvnp7kecv6wp3is, 9ircna8pbskreztmy1wiqwx9m, 9fvf8z6p8ok0n5vu999ysfywa, e3546n3qj447qgmizao50zx1w, 7xde75gwrng67wvjkugv9xih, 44gqeji9twbkdtrcr2ias4efo, 9618hk1lq7i6see347k7plkyy, f1ba9g771s0zeel0titcj3omi, bq76t7rh2vynmvwx9mtvnl9g4, 8h3cyhuw5049gcxrsld3rw1ec, 5moycfv7blzfnjqiruao7dv6c, 9delpquqv81o7ftrgefb0wpp0, e2aqcawslcbpp88nia8eko2y1",5564735473,197,12588,5564555331,130,17,5564555329,59,"99, 7, 10, 3, 2, 4, 23, 20, 17, 24, 12, 1, 8, 9, 11, 16, 18, 19, 30, 15",5564555337,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5564555335,194,3xz0h3d6r2qgmv9egms8yaz56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785224217,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-03-08T14:00:15.988Z,2025-03-08T14:00:16Z,,,,,5564744071,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785224229,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2025-03-08T14:00:15.988Z,2025-03-08T14:00:17Z,,,,,5564744129,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785224237,3,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.0,50.0,2025-03-08T14:00:15.989Z,2025-03-08T14:00:18Z,ewh6t7yo6clfewu89uznll9uc,E. Hansborg-Sørensen,,,5564744183,140,27.7,5564744189,213,2.80,5564744191,279,S,5564744181,56,Back,5564744187,212,24.9,5564744185,141,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785224303,4,1,1,0,2,dbl7ir1qugqz8nvp1vzn8im50,0,27.7,62.4,2025-03-08T14:00:18.252Z,2025-03-08T14:00:26Z,eq15hjcxpdrl5vca2q7s4tr3e,M. Ivančević,,,5564744505,140,70.2,5564744513,1,,5564744501,157,,5564744507,141,19.5,5564744511,213,5.70,5564744503,56,Right,5564744509,212,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785224283,3,44,1,0,6,b8oqgvx1ijeyn6y1cn6929ix4,1,29.0,81.1,2025-03-08T14:00:22.554Z,2025-03-08T15:01:32Z,4zpmxlmdfa5wx79cr0q14pfx1,M. Olsen,,,5564744607,233,5,5564744389,285,,5564744387,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785224307,5,44,1,0,6,dbl7ir1qugqz8nvp1vzn8im50,0,71.0,18.9,2025-03-08T14:00:22.555Z,2025-03-08T15:01:33Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5564744529,286,,5564744527,56,Right,5564744615,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785224287,4,1,1,0,6,b8oqgvx1ijeyn6y1cn6929ix4,0,27.8,82.1,2025-03-08T14:00:22.960Z,2025-03-08T14:50:34Z,4zpmxlmdfa5wx79cr0q14pfx1,M. Olsen,,,5564744405,213,0.82,5564744395,3,,5564744401,141,93.2,5564744397,56,Back,5564744403,212,10.3,5564744399,140,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785271301,453,44,1,0,9,b8oqgvx1ijeyn6y1cn6929ix4,1,19.5,66.2,2025-03-08T14:00:25.987Z,2025-03-08T15:01:34Z,b55jtl3ixolidn6cvc4t90efo,J. Vadstrup,,,5564991379,285,,5564991377,56,Back,5564991411,233,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
