id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/16/value
2711312299,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-08-20T15:10:24.328Z,2024-08-20T19:34:34Z,,,,,5161613169,197,17324,5161590899,30,"8r9iqig43yjty7l1oq6yg73mc, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, bwozpgcm48s08t1glxfgjajmd, 99tm7b6ux9s4qocz0y4pcahas, 81c40rn7lrb39qu0sam8kv6dw, 7h02v4ymnko5fh01iylbh34es, 4rhxehi019n7z1z1m7a39w1sk, 7pnxa8wzxx5qxevcckxdd62tx, cf6zq49y8v1ekw07e7yi3uac, m031ocyfq011rual3olkegdm, 1el3mu4rgcx8tebrawgfvynf8, 4lac0f1ev5usxpka7gaev3hii, 4brcvdxviy9f03iwcavxll80l, 35og29e19w0ykeqcvudhpgr8, emakjdiju8z2peey3ytjahz6y, 6bkuzenpse2kzirt9q7qeisd0, 65f1ckijc2btnprgz3s593dw4, g2cgdv428rmpmb0om40ldses",5161590907,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5161590911,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5161590903,59,"1, 2, 3, 6, 19, 4, 10, 14, 7, 18, 15, 11, 8, 5, 12, 16, 17, 22, 26",5161590905,130,8,5161590901,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5161590909,194,bwozpgcm48s08t1glxfgjajmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711312559,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-08-20T15:14:47.337Z,2024-08-20T19:42:03Z,,,,,5161592563,59,"1, 25, 12, 17, 4, 33, 15, 10, 11, 9, 14, 6, 7, 8, 18, 21, 24, 31, 34, 45",5161592569,194,8uhv14rin2znrr0wqgvcc2f2t,5161592561,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5161592565,130,23,5161592571,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5161592559,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, bdz03qovxerzrv12lgljae1p0, 9dh7cnu4uzbraeck0t5iqlj4k, 5lu7bn7uec3zjqpoi1x81gbu1, 61vr9xr91fr4g6ayzga5vn9w5, cl4xl80n4gew1ox03r3ooshrd, 81w1fqi66z0ibawynhraybaxg, 3epwf56ozg73hueacwmckk0r9, a48bpdpt0siemxqtr3rubwbu, eso2tbbpnxu9qvx6zy07m5jx0, 4m3slt6iikaxklqd12i719rl5, 4mxciw9jsj9l437fd7bv78p91, cphvg2nexeks2vwd2ezb4zuok, 5w0giylttgiapseaw6qky0mxg, cqsc3mj8klukkgutdrpegybdg, 4lxxyqy78jkglhv2w6crzcnsa, 2h94np282g0qtzal1czznequi, 4i0jiisff5k1efcgf27skpqfo, 4m9sp9mxlsjk6fv7v218yqfv9",5161612421,197,21756,5161592567,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316077,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-08-20T16:00:05.381Z,2024-08-20T16:00:05Z,,,,,5161615641,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316081,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-08-20T16:00:05.381Z,2024-08-20T16:00:07Z,,,,,5161615643,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316085,3,1,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,50.2,50.1,2024-08-20T16:00:05.382Z,2024-08-20T16:00:46Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5161615683,212,17.2,5161615679,140,34.0,5161615685,213,3.28,5161615681,141,46.6,5161615677,56,Back,5161615687,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316087,4,1,1,0,3,a9vw7ikerpr4cuweeeka5aneg,0,33.6,46.3,2024-08-20T16:00:09.178Z,2024-08-20T16:00:11Z,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,,,5161615705,213,5.73,5161615701,141,13.7,5161615699,140,67.8,5161615695,155,,5161615703,212,42.2,5161615707,1,,5161615697,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316089,3,1,1,0,6,bd4qakf7j0wwie8wke9km7uj8,0,32.5,87.2,2024-08-20T16:00:11.881Z,2024-08-20T18:06:39Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5161615713,56,Back,5161615721,213,5.66,5161615715,140,41.0,5161615711,3,,5161615719,212,11.0,5161615717,141,77.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316097,5,1,1,0,8,a9vw7ikerpr4cuweeeka5aneg,1,62.4,21.9,2024-08-20T16:00:14.225Z,2024-08-20T16:00:16Z,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,,,5161615777,140,57.9,5161615773,157,,5161615785,1,,5161615781,212,7.3,5161615779,141,30.0,5161615783,213,2.28,5161615775,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316105,6,1,1,0,11,a9vw7ikerpr4cuweeeka5aneg,1,57.9,30.0,2024-08-20T16:00:16.458Z,2024-08-20T16:00:19Z,61vr9xr91fr4g6ayzga5vn9w5,A. Ludwig,,,5161615823,212,28.7,5161615817,56,Back,5161615825,213,2.32,5161615821,141,60.9,5161615819,140,39.3,5161615815,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711316117,7,1,1,0,13,a9vw7ikerpr4cuweeeka5aneg,1,39.3,60.9,2024-08-20T16:00:18.890Z,2024-08-20T16:00:22Z,bdz03qovxerzrv12lgljae1p0,C. Tapé,,,5161615877,212,14.5,5161615869,3,,5161615879,213,5.87,5161615871,56,Center,5161615875,141,52.4,5161615873,140,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
