id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2792604093,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-03-29T14:02:36.443Z,2025-03-29T15:05:37Z,,,,,5605173205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5605173203,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5605173195,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 67p0s4o54xcmiustgy8k5gljo, 7al9w77ailhli8g487tkl32tw, 619s1phj5bkgkug3aszc1y9cl, 11ngumxajbizagbzpm5kompxx, 3mcj3wypzq3lno1ehc0vif1sl, abhfq12njxxutqjtb9zvcusyc, 1icurh5jrnw1e6jdgqxjnhdnu, 74m58jsznzu8l89b8h7rkh1bd, 6orujbbswf771s9rv0dcd8kd0, d2ukggo2v5jsw4pctznmaijo4, eu574m78nqv6a5638b44oquqc, 3mgrufy83uhzs9liw8pwxi784, bwxxfcjd31gykfbpomwr1od90, egxik3guom123v43rthy89c7o, 444n8m1tirk6lp739iigw42c5, k43cten7yb6p59yo0firhb84",5605495275,194,619s1phj5bkgkug3aszc1y9cl,5605173197,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5605496655,197,26351,5605173201,130,13,5605173199,59,"1, 3, 21, 4, 16, 23, 7, 6, 26, 11, 5, 10, 17, 20, 24, 28, 29, 14, 8, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792604455,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-03-29T14:03:00.116Z,2025-03-29T19:04:33Z,,,,,5605175185,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5605175197,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5605175201,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5605175195,130,4,5605628705,197,19798,5605175189,59,"1, 2, 3, 6, 28, 20, 18, 8, 11, 29, 10, 7, 15, 16, 17, 21, 24, 30, 31",5605193139,194,ezbixgm2km8iapnsl57bn4wkp,5605175181,30,"9y3vs6l0mjj38z0kw062jlh3p, 6g671k5lvgoo2bgub2516q1w4, eyvv6b94feknnp1uew6n0ytat, e8vt8711wb40afht2v13omket, 8xe0fufxfgf5cuwgysz3r2j85, 6dki65mdd3letfjjj51i0w3c9, 86mx27krl6c613x6e3t9g3cic, ezbixgm2km8iapnsl57bn4wkp, 8i0o1b8rjsab9se3v6vteqmfo, 8viazilbghyogmhd7w3lg2six, kqj7nh6pqmqbt0abyyu0fcpg, 6otr0cifkk9jbmxc2ew2spka, x3ad9hfxts6jpfugy3kvq9d5, dja68kdmhtsm9x5zqzgtpqas4, egnjbmbxkceiygmp2jty4b47o, ab3nxxoj7bxlnhot9htoex1xw, 2k5289tevc2gxo04i83io5a3u, e3n8xatusmgu7ttqpfdjanp3p, 7k2c7wgoywy7boesjer5578q1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792669003,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-03-29T15:01:09.197Z,2025-03-29T15:01:10Z,,,,,5605513137,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792668963,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-03-29T15:01:09.197Z,2025-03-29T21:48:01Z,,,,,5605512951,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792669175,3,1,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,50.2,49.7,2025-03-29T15:01:09.198Z,2025-03-29T15:01:14Z,8i0o1b8rjsab9se3v6vteqmfo,E. Nnamani,,,5605513895,212,28.9,5605513887,140,23.3,5605513891,141,58.5,5605513885,56,Back,5605513899,279,S,5605513897,213,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792669289,4,1,1,0,5,ajtb177oqwawkdwbqhldmq6mx,0,30.2,39.2,2025-03-29T15:01:14.632Z,2025-03-29T15:01:18Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,,5605514355,140,70.4,5605514361,213,5.78,5605514349,157,,5605514363,1,,5605514357,141,5.3,5605514353,56,Right,5605514359,212,48.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792669381,3,1,1,0,9,8cfkisxf1fkxdqtt6tx1tup48,0,24.7,89.2,2025-03-29T15:01:18.684Z,2025-03-29T15:01:20Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5605514753,157,,5605514771,213,5.88,5605514755,56,Center,5605514765,212,39.3,5605514775,1,,5605514757,140,59.1,5605514761,141,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792669433,5,1,1,0,11,ajtb177oqwawkdwbqhldmq6mx,0,33.5,10.7,2025-03-29T15:01:21.152Z,2025-03-29T15:01:21Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,,5605515011,3,,5605515025,1,,5605515023,213,0.00,5605515017,140,68.2,5605515019,141,10.7,5605515021,212,36.4,5605515015,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792669539,4,1,1,0,13,8cfkisxf1fkxdqtt6tx1tup48,1,29.1,71.1,2025-03-29T15:01:22.691Z,2025-03-29T15:01:24Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,,5605515527,213,0.97,5605515513,3,,5605515521,141,87.1,5605515517,56,Back,5605515519,140,36.2,5605515525,212,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792669669,5,1,1,0,14,8cfkisxf1fkxdqtt6tx1tup48,1,36.2,87.1,2025-03-29T15:01:24.035Z,2025-03-29T15:01:28Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5605516273,141,73.3,5605516277,213,3.70,5605516275,212,17.6,5605516269,56,Back,5605516271,140,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792669785,7,1,1,0,19,8cfkisxf1fkxdqtt6tx1tup48,1,22.0,73.3,2025-03-29T15:01:28.692Z,2025-03-29T15:58:59Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,,5605516777,140,5.1,5605516779,141,62.4,5605516781,212,19.2,5605516775,56,Back,5605516783,213,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792669821,8,1,1,0,20,8cfkisxf1fkxdqtt6tx1tup48,0,5.1,62.4,2025-03-29T15:01:29.563Z,2025-03-29T17:04:54Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5605516911,213,6.09,5605516899,157,,5605516909,212,54.4,5605516907,141,47.1,5605516903,56,Center,5605516913,1,,5605516905,140,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792669747,6,1,1,0,21,ajtb177oqwawkdwbqhldmq6mx,0,26.6,36.1,2025-03-29T15:01:30.415Z,2025-03-29T15:01:30Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,,5605516643,1,,5605516639,212,38.6,5605516637,141,31.0,5605516627,157,,5605516631,56,Center,5605516641,213,6.19,5605516635,140,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792669873,9,1,1,0,24,8cfkisxf1fkxdqtt6tx1tup48,0,31.1,49.3,2025-03-29T15:01:33.739Z,2025-03-29T15:01:34Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5605517133,1,,5605517125,212,37.2,5605517105,3,,5605517121,141,30.7,5605517109,56,Center,5605517115,140,64.4,5605517129,213,5.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792670461,10,5,1,0,27,8cfkisxf1fkxdqtt6tx1tup48,0,68.0,-1.0,2025-03-29T15:01:36.771Z,2025-03-29T17:04:38Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5606124873,233,7,5605519909,56,Right,5605519911,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792670009,7,5,1,0,27,ajtb177oqwawkdwbqhldmq6mx,1,32.0,101.0,2025-03-29T15:01:36.935Z,2025-03-29T17:04:39Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5606124839,233,10,5605517781,56,Back,5605517783,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792670203,8,1,1,0,28,ajtb177oqwawkdwbqhldmq6mx,1,25.4,100.0,2025-03-29T15:01:37.840Z,2025-03-29T15:01:43Z,eyvv6b94feknnp1uew6n0ytat,N. Mouritsen,,,5605518789,213,4.27,5605518787,212,14.3,5605518781,56,Back,5605518783,140,19.5,5605518785,141,82.0,5605518779,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
