id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/14/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2732365885,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-10-07T16:00:00.590Z,2024-10-07T20:50:07Z,,,,5276829025,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5276874119,197,26410,5276829023,130,7,5276829017,30,"d9hh01mit4geyadol3gmzco9, 615e0bjcd0tyge047sy43y5sl, 6dzg820946z4848whaa6ny2nd, 6uwvbagahvoavs630k8uksxjp, dshwz1df0rbe0fztksawvd0wl, a30gduuv9d1s4pkthgu2jhyol, dncrhma6gwcn6pxiu7hfc6qz8, 9r07ooissj5mz15g87x5rmbx1, 9tt9eo9bsff7dp7aqjal1obo4, dm6xpphbyyooqriwaambi7njd, 2cup1vjw8n43kbzzxfflnmplg, 1cumsropo1r0msfzxxteml1w, dwpns7gcg4s1c35df5td9ow7o, 7ymn0ytcqi6l43nqraxt9s1zo, 37rzipex1y0nhv8o2dr7h2bys, 21i8eq6dgpzydeyrame6xp05w, 3pk6hii2s8tbv2zux8mvbapec, 4qz1pnlx3d0m5wkhpocl0euj8, 45dqseup0cmujyl4nprr29y0a, 630daj1ef34rczbhng0eoncvd",5276874117,194,a30gduuv9d1s4pkthgu2jhyol,5276829021,59,"1, 10, 23, 11, 5, 2, 22, 14, 9, 88, 7, 16, 17, 19, 21, 27, 28, 29, 30, 25",5276829027,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5276829019,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732367793,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-10-07T16:12:24.118Z,2024-10-07T20:44:54Z,,,,5276839853,30,"52vwj2s29n7wngablotd7pboq, 9618hk1lq7i6see347k7plkyy, ekx0wotp433tuaw4g93nybjmc, dqssvdpt2iwg8qn9wto3miind, 3xz0h3d6r2qgmv9egms8yaz56, 2qedb8t85t1ieeed9613c9crt, 4uuqid6t4nspn0wspyltz3bx0, f58yr2jmfp8kpgprfxbokt1t6, 6bajck5osvj7trnwt2a5mc3dg, 9ircna8pbskreztmy1wiqwx9m, 8h3cyhuw5049gcxrsld3rw1ec, f1ba9g771s0zeel0titcj3omi, e3546n3qj447qgmizao50zx1w, dyzzo6n83rg4fpvmqqa69moes, 5moycfv7blzfnjqiruao7dv6c, 1u46uhxe7outj2f8tsga2nx0p, 9fvf8z6p8ok0n5vu999ysfywa, ae86fel4p9nioy219v3lg62hg, 3ywgt5v070xudujs9f7cuqm7d, cqgmx6eiriomccxfhykh31r10",5276874379,197,12588,5276839861,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5276839855,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5276839859,130,19,5276874377,194,3xz0h3d6r2qgmv9egms8yaz56,5276839863,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5276839857,59,"1, 9, 29, 5, 4, 15, 33, 8, 22, 17, 18, 11, 12, 16, 19, 21, 24, 27, 32, 23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732373481,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-10-07T17:00:30.365Z,2024-10-07T17:00:32Z,,,,5276875201,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732373479,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-10-07T17:00:30.365Z,2024-10-07T17:02:01Z,,,,5276875197,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732373485,3,1,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,50.0,50.0,2024-10-07T17:00:30.366Z,2024-10-07T17:02:01Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,5276875223,140,34.4,5276875233,213,3.04,5276875225,141,52.5,5276875229,212,16.5,5276875221,56,Back,5276875237,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732373501,4,1,1,0,4,b8oqgvx1ijeyn6y1cn6929ix4,0,32.8,50.6,2024-10-07T17:00:34.718Z,2024-10-07T17:02:00Z,2qedb8t85t1ieeed9613c9crt,C. Enemark,,5276875321,213,5.69,5276875313,56,Right,5276875315,140,74.1,5276875319,212,52.2,5276875317,141,8.0,5276875311,157,,5276875323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732373497,3,44,1,0,7,8gxd9ry2580pu1b1dd5ny9ymy,1,24.7,86.2,2024-10-07T17:00:38.004Z,2024-10-07T20:00:23Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,5276875295,285,,5276875293,56,Back,5276875337,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732373503,5,44,1,0,7,b8oqgvx1ijeyn6y1cn6929ix4,0,75.3,13.8,2024-10-07T17:00:38.005Z,2024-10-07T20:00:24Z,6bajck5osvj7trnwt2a5mc3dg,I. Tånnander,,5276875351,233,3,5276875355,286,,5276875331,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732373499,4,1,1,0,7,8gxd9ry2580pu1b1dd5ny9ymy,0,22.7,76.6,2024-10-07T17:00:38.225Z,2024-10-07T17:01:50Z,6dzg820946z4848whaa6ny2nd,N. Clausen,,5276875309,213,5.64,5276875307,212,5.2,5276875301,56,Back,5276875305,141,72.0,5276875299,3,,5276875303,140,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732373505,6,1,1,0,8,b8oqgvx1ijeyn6y1cn6929ix4,0,65.0,23.6,2024-10-07T17:00:39.359Z,2024-10-07T19:36:58Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,5276880737,155,,5276875343,140,70.8,5276875345,141,15.3,5276875347,212,8.3,5276875341,56,Right,5276875349,213,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
