id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2803825093,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-04-20T12:12:44.799Z,2025-04-20T20:31:24Z,,,,,5666818795,130,2,5666818789,30,"64vlnkuqfh7rnymg8qku8amwa, duahzgqspyuy2gu31u3s8ky96, bvw5oc4c040ey5dt5wn0choiy, egwhlgopjtjkop7ozy7ltk1cl, a7eramyy1bd8msxmg84ctc8ut, oywgthoxa153nf48la1j8v10, 11cna826ls27ahux2w0ckapqt, 5hr1cb6e6xb3eyjnau7w4825l, 9gr9rdahnavv0irjauh5xim8k, ju24rgwcctj5yizl54o91gfe, bh06w40pwo6dy3cjrw3r2i0ru, abrdu87vmuqj50ebgalr3c7op, 139g7ilwvcpl519v3scnweg2d, 9l89n30nejpn2u22ygvchwnze, 9nafz0c0x2qvmo5ldm0djmcq1, ag1psg17osvgbq5fz9xo7kmj8, 8rn42gm9xm3yunk883yan9vdg, 6t6k24gn6zwxz1g6c3n4ph0q, 1655gyu9bjnslw7vfloe40h2i, 9vbxe5gvruap8h546efz3nx1w",5666818799,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5667031799,197,23642,5667036699,194,a7eramyy1bd8msxmg84ctc8ut,5666818797,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5666818793,59,"1, 4, 2, 6, 8, 73, 17, 22, 47, 49, 20, 5, 7, 9, 10, 18, 19, 27, 30, 31",5666818791,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2803830081,1,34,16,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-04-20T12:17:40.529Z,2025-04-20T16:04:11Z,,,,,5667030699,197,25972,5666844715,194,ezbixgm2km8iapnsl57bn4wkp,5666844707,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5666844711,130,8,5666844709,59,"1, 2, 21, 8, 28, 20, 29, 27, 11, 18, 10, 3, 4, 5, 13, 15, 16, 30, 32",5666844717,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5666844705,30,"9y3vs6l0mjj38z0kw062jlh3p, 6g671k5lvgoo2bgub2516q1w4, ab3nxxoj7bxlnhot9htoex1xw, ezbixgm2km8iapnsl57bn4wkp, 8xe0fufxfgf5cuwgysz3r2j85, 6dki65mdd3letfjjj51i0w3c9, 8viazilbghyogmhd7w3lg2six, 4a0jmv6qmwn01iuqp1mhnyzth, 8i0o1b8rjsab9se3v6vteqmfo, 86mx27krl6c613x6e3t9g3cic, kqj7nh6pqmqbt0abyyu0fcpg, eyvv6b94feknnp1uew6n0ytat, 9213debwtuph6cjborx73sx78, 2uellcocrvapu7o70g5zdcmad, b2gkyjq8emj9pywryc3rycogl, x3ad9hfxts6jpfugy3kvq9d5, dja68kdmhtsm9x5zqzgtpqas4, e3n8xatusmgu7ttqpfdjanp3p, 52xeb867n93p1wftf42wxu1w4",5666844713,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2803867249,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-04-20T12:59:29.485Z,2025-04-20T12:59:29Z,,,,,5667040267,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803867265,2,32,1,0,0,ajtb177oqwawkdwbqhldmq6mx,1,0.0,0.0,2025-04-20T12:59:29.485Z,2025-04-20T12:59:32Z,,,,,5667040337,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803867295,3,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,50.3,50.0,2025-04-20T12:59:29.486Z,2025-04-20T12:59:33Z,ju24rgwcctj5yizl54o91gfe,S. Borgelin,,,5667040477,140,37.8,5667040481,212,14.2,5667040483,213,3.54,5667040475,56,Back,5667040485,279,S,5667040479,141,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803867403,4,1,1,0,3,7gkglopz9cjsysn2u6sbhuvc5,0,37.8,41.9,2025-04-20T12:59:32.862Z,2025-04-20T12:59:38Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,,5667040923,212,37.5,5667040927,1,,5667040921,141,53.4,5667040917,56,Center,5667040919,140,72.7,5667040925,213,0.21,5667040915,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803867369,3,44,1,0,5,ajtb177oqwawkdwbqhldmq6mx,1,28.4,44.6,2025-04-20T12:59:35.289Z,2025-04-20T15:18:39Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,,5667040757,285,,5667040755,56,Back,5667041039,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803867407,5,44,1,0,5,7gkglopz9cjsysn2u6sbhuvc5,0,71.6,55.4,2025-04-20T12:59:35.290Z,2025-04-20T15:18:39Z,bh06w40pwo6dy3cjrw3r2i0ru,I. Nikolov,,,5667041063,233,3,5667040945,286,,5667040943,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803867391,4,1,1,0,6,ajtb177oqwawkdwbqhldmq6mx,0,30.1,41.3,2025-04-20T12:59:35.711Z,2025-04-20T12:59:37Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,,5667040857,56,Back,5667040865,213,0.34,5667040861,141,46.3,5667040859,140,39.3,5667040855,3,,5667040863,212,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803867435,6,1,1,0,9,7gkglopz9cjsysn2u6sbhuvc5,0,68.2,59.3,2025-04-20T12:59:39.157Z,2025-04-20T12:59:40Z,9gr9rdahnavv0irjauh5xim8k,M. Munck,,,5667041089,213,5.31,5667041075,56,Center,5667041085,212,10.4,5667041077,140,73.8,5667041081,141,46.7,5667041071,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
