id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2780071693,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-02-23T13:11:20.072Z,2025-02-23T17:52:01Z,,,,,5536400661,59,"23, 25, 14, 18, 13, 24, 22, 17, 11, 9, 10, 1, 15, 16, 20, 21, 26, 28, 33, 34",5536400671,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536400655,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5536608933,197,6601,5536400651,30,"d9hh01mit4geyadol3gmzco9, a6ymx4wkrn260rtpb360nsiqd, eso2tbbpnxu9qvx6zy07m5jx0, 5w0giylttgiapseaw6qky0mxg, 77zrjzfkfp7hozuj05ktwhtqt, 4lxxyqy78jkglhv2w6crzcnsa, 6k7khwtkxpem9z17bl5rrf2p6, 9dh7cnu4uzbraeck0t5iqlj4k, 3epwf56ozg73hueacwmckk0r9, a48bpdpt0siemxqtr3rubwbu, 81w1fqi66z0ibawynhraybaxg, 8uhv14rin2znrr0wqgvcc2f2t, cl4xl80n4gew1ox03r3ooshrd, 51ymbnikkta369rn3exb1g7bo, dfxs5u8rdcxhzp33aks3acdn8, cqsc3mj8klukkgutdrpegybdg, c2x3pewqx6d9q3c5dup0udxw, 7353ysa16qgg30b9z5qiagys4, 61vr9xr91fr4g6ayzga5vn9w5, 4i0jiisff5k1efcgf27skpqfo",5536400669,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536400665,130,2,5536608929,194,5w0giylttgiapseaw6qky0mxg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780073753,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-02-23T13:14:21.056Z,2025-02-23T14:10:45Z,,,,,5536605057,197,17324,5536411069,30,"c4esrbgbv6v715768v2cb676d, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, 81c40rn7lrb39qu0sam8kv6dw, 4rhxehi019n7z1z1m7a39w1sk, g2cgdv428rmpmb0om40ldses, cf6zq49y8v1ekw07e7yi3uac, bwozpgcm48s08t1glxfgjajmd, m031ocyfq011rual3olkegdm, d1qyvtgj16160ufegxkspgb9w, 7h02v4ymnko5fh01iylbh34es, 7pnxa8wzxx5qxevcckxdd62tx, 4lac0f1ev5usxpka7gaev3hii, 35og29e19w0ykeqcvudhpgr8, emakjdiju8z2peey3ytjahz6y, e0nkqbugb4xkpluu5e42zf2ms, d106tu53y5q02yu36iojbou8k, em0yawcqyqwf53hbj0zlz4duc, 3wx08y3aabvejd8phcglis3dg",5536605055,194,bwozpgcm48s08t1glxfgjajmd,5536411079,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5536411077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5536411075,130,13,5536411071,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5536411073,59,"1, 2, 3, 4, 14, 26, 18, 6, 15, 9, 10, 7, 8, 12, 16, 25, 27, 34, 22",,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112851,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-02-23T14:01:16.385Z,2025-02-23T14:01:16Z,,,,,5536619395,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112867,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-02-23T14:01:16.385Z,2025-02-23T14:01:17Z,,,,,5536619497,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112905,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,50.0,50.0,2025-02-23T14:01:16.386Z,2025-02-23T14:01:19Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5536619711,212,19.9,5536619705,140,32.3,5536619709,141,60.3,5536619701,56,Back,5536619719,279,S,5536619715,213,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780112961,4,1,1,0,3,bd4qakf7j0wwie8wke9km7uj8,1,32.3,62.0,2025-02-23T14:01:19.650Z,2025-02-23T14:01:22Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5536620011,212,54.9,5536620005,56,Right,5536620007,140,70.2,5536620013,213,5.52,5536620009,141,6.4,5536620003,157,,5536620015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780113007,5,1,1,0,6,bd4qakf7j0wwie8wke9km7uj8,1,70.2,6.4,2025-02-23T14:01:22.547Z,2025-02-23T14:02:14Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5536620195,140,82.9,5536620197,141,12.5,5536620199,212,14.0,5536620193,56,Right,5536620201,213,0.30,5536620191,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780113021,6,61,1,0,9,bd4qakf7j0wwie8wke9km7uj8,0,82.3,12.5,2025-02-23T14:01:25.546Z,2025-02-23T14:01:26Z,d1qyvtgj16160ufegxkspgb9w,M. Uhd,,,5536620257,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780113067,3,56,1,0,10,a9vw7ikerpr4cuweeeka5aneg,1,9.0,94.4,2025-02-23T14:01:26.791Z,2025-02-24T06:45:16Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5536620437,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2780113315,4,5,1,0,11,a9vw7ikerpr4cuweeeka5aneg,1,7.7,101.6,2025-02-23T14:01:28.107Z,2025-02-23T18:01:10Z,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,,,5536621713,347,,5536621785,233,7,5536621711,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
