id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/16/value
2743580073,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-11-03T13:07:58.216Z,2024-11-03T16:59:10Z,,,,,5338404033,197,4604,5338096381,130,4,5338096387,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5338096369,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 2uw6m0yavlvkkiob73hoywb56, wha77a8wm7jyn32743y0w79x, dqtarwrqvkopmzbt2ovp2dln9, eq15hjcxpdrl5vca2q7s4tr3e, e9o7q10wnhex4e8eo47mobbvt, 97xbmht3t4t1p9iu6598oq7l5, 2z8u8kyv91shp0la8alkn6kus, 5wmik73cqursg7sv3w14ue5pm, axyrfq1u8nwcj2ss5498u8qhg, 2g019dl7zougqjo7usig0rf11, 4n002w0ii1wqwx8t5xc1bzf2s, 8f1mw21tbkct0slelpdznf7dg, 6eg3kxxg5aneckolraz03xzpw, ewh6t7yo6clfewu89uznll9uc, ev2s21ogvpjtata4fndi868ve, 80s55a7uw8kypoikefwhtdm5m, 15jhbyn4wsbd865fd9djcwaok, 3ukx6q0q54uzz78gl7k10o2dw",5338096373,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5338096377,59,"16, 20, 14, 7, 4, 5, 6, 8, 18, 10, 17, 1, 13, 15, 21, 26, 29, 30, 23, 42",5338096385,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5338404031,194,4clmd8g8jogdfvauhijd7n55h,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743581307,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-11-03T13:08:50.950Z,2024-11-03T13:59:42Z,,,,,5338102795,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5338102807,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5338102801,59,"90, 14, 17, 6, 4, 5, 13, 21, 16, 97, 7, 1, 2, 3, 8, 18, 19, 20, 98",5338102791,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 4bojyjyvkdgm1lss6n37q2t5g, 7rt4wpc0qphwnvhn8jeazesfe, b1kyjkhaaiw32cb4bubbpm7tg, 3od63zrf6cay4d6ync9i2iuqc, 7ztdirfvd9d0x2yw1v051xzbo, 23sc7wc7my7wes6cuaxw1v0no, 9jqox80arzpytv1b136jobhpm, y4dl1rer075c9wz6zhx7skbt, ayxi2m0g0pm6rl1ba5pto66z9, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, dgcbjg2ymgi70yv1n8ugkv02c, 6wfu6s6xo5zjeke21fgbouql0, ei3xmwfz8dah5e4lcbu4w98t1, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck, 289rctmvd5ppy9zqn98jbe4et",5338102805,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5338231577,194,3od63zrf6cay4d6ync9i2iuqc,5338409665,197,11563,5338102803,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743639637,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-11-03T14:00:25.017Z,2024-11-03T14:00:26Z,,,,,5338412573,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743639647,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-11-03T14:00:25.017Z,2024-11-03T14:00:28Z,,,,,5338412587,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743639663,3,1,1,0,1,6wwwud48qahpwrfxs20334qk5,1,49.9,49.7,2024-11-03T14:00:26.138Z,2024-11-03T14:01:40Z,9jqox80arzpytv1b136jobhpm,A. Bøndergaard,,,5338412653,212,6.9,5338412647,140,43.3,5338412645,56,Back,5338412731,278,,5338412655,213,3.07,5338412651,141,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743639723,4,1,1,0,2,6wwwud48qahpwrfxs20334qk5,1,43.8,50.3,2024-11-03T14:00:27.592Z,2024-11-03T14:53:36Z,7rt4wpc0qphwnvhn8jeazesfe,F. Winther,,,5338412913,56,Back,5338412919,212,26.1,5338412915,140,32.9,5338412921,213,2.02,5338412917,141,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743639747,5,1,1,0,5,6wwwud48qahpwrfxs20334qk5,1,32.2,88.0,2024-11-03T14:00:30.372Z,2024-11-03T14:00:32Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,,5338413043,212,13.5,5338413035,56,Back,5338413047,213,4.24,5338413041,141,70.3,5338413039,140,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743639773,6,1,1,0,6,6wwwud48qahpwrfxs20334qk5,1,26.3,70.3,2024-11-03T14:00:31.848Z,2024-11-03T14:00:33Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5338413201,212,15.2,5338413195,56,Back,5338413199,141,89.3,5338413203,213,1.02,5338413197,140,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743639801,7,1,1,0,8,6wwwud48qahpwrfxs20334qk5,1,34.7,91.8,2024-11-03T14:00:33.380Z,2024-11-03T14:00:35Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,,5338413315,212,20.7,5338413313,141,65.5,5338413311,140,24.7,5338413317,213,4.18,5338413309,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743639829,8,1,1,0,9,6wwwud48qahpwrfxs20334qk5,1,24.7,65.4,2024-11-03T14:00:35.008Z,2024-11-03T14:00:37Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5338413485,56,Back,5338413491,212,13.1,5338413487,140,34.8,5338413493,213,5.65,5338413489,141,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
