id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2703391689,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-07-26T16:04:27.754Z,2024-07-26T20:30:19Z,,,,5117891487,194,a30gduuv9d1s4pkthgu2jhyol,5117828163,59,"1, 15, 12, 14, 25, 2, 6, 8, 7, 16, 22, 5, 17, 21, 23, 27, 28, 29, 30, 9",5117891501,197,11501,5117828165,130,4,5117828161,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5117828167,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117828159,30,"d9hh01mit4geyadol3gmzco9, bfvdr7ckiersz26ya2kq9f1g4, g2cgdv428rmpmb0om40ldses, 9r07ooissj5mz15g87x5rmbx1, 630daj1ef34rczbhng0eoncvd, a30gduuv9d1s4pkthgu2jhyol, 4oxf446ya7jwulq6hxlp8r36d, d4w0nytrfhhtw8xqh7rofq6z9, 3ejggtt1du1cui3wc1f8oqx62, 1cumsropo1r0msfzxxteml1w, dncrhma6gwcn6pxiu7hfc6qz8, dshwz1df0rbe0fztksawvd0wl, dwpns7gcg4s1c35df5td9ow7o, 37rzipex1y0nhv8o2dr7h2bys, 6dzg820946z4848whaa6ny2nd, 21i8eq6dgpzydeyrame6xp05w, 3pk6hii2s8tbv2zux8mvbapec, 4qz1pnlx3d0m5wkhpocl0euj8, 45dqseup0cmujyl4nprr29y0a, 9tt9eo9bsff7dp7aqjal1obo4",5117828169,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703392339,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-07-26T16:06:44.888Z,2024-07-28T22:37:06Z,,,,5117831837,30,"6sdv4s8oz558wfhx72vwlpvu2, 6bajck5osvj7trnwt2a5mc3dg, f1ba9g771s0zeel0titcj3omi, 8ewvm6ux4yvpwgrzjkc1chqwa, dqssvdpt2iwg8qn9wto3miind, 3xz0h3d6r2qgmv9egms8yaz56, 8h3cyhuw5049gcxrsld3rw1ec, f58yr2jmfp8kpgprfxbokt1t6, b6l4m6bmqgil9bjjov4tnuivo, dyzzo6n83rg4fpvmqqa69moes, 9fvf8z6p8ok0n5vu999ysfywa, 9ircna8pbskreztmy1wiqwx9m, b55jtl3ixolidn6cvc4t90efo, e3546n3qj447qgmizao50zx1w, 2qedb8t85t1ieeed9613c9crt, 7165hb1x2ygl2j5weox7hy6i2, dvnd5025v01tme7xzayw6jhn8, ae86fel4p9nioy219v3lg62hg, ekx0wotp433tuaw4g93nybjmc, zjklvm2eeuit947oxvxc2o0k",5117831847,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117831839,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5117891529,197,12587,5117831843,130,17,5117831845,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5117891527,194,3xz0h3d6r2qgmv9egms8yaz56,5117831841,59,"99, 22, 11, 3, 5, 4, 18, 8, 14, 16, 24, 17, 2, 12, 15, 21, 25, 27, 29, 23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402907,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-07-26T17:00:43.511Z,2024-07-26T17:00:44Z,,,,5117892365,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402903,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-07-26T17:00:43.511Z,2024-07-28T16:19:34Z,,,,5117892351,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402917,3,1,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,50.0,50.0,2024-07-26T17:00:43.512Z,2024-07-26T19:38:19Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,5117892409,279,S,5117892401,140,31.7,5117892399,56,Back,5117892407,213,3.25,5117892403,141,46.9,5117892405,212,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402923,4,1,1,0,6,b8oqgvx1ijeyn6y1cn6929ix4,0,31.7,46.9,2024-07-26T17:00:50Z,2024-07-28T21:21:55Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,5117892433,140,88.3,5117892437,212,60.5,5117892435,141,30.0,5117892429,157,,5117892439,213,6.09,5117892431,56,Center,5117892441,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402919,3,44,1,0,7,8gxd9ry2580pu1b1dd5ny9ymy,1,15.0,72.2,2024-07-26T17:00:51.292Z,2024-07-26T19:59:40Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5117892415,285,,5117892465,233,5,5117892413,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402925,5,44,1,0,7,b8oqgvx1ijeyn6y1cn6929ix4,0,85.0,27.8,2024-07-26T17:00:51.293Z,2024-07-26T17:01:59Z,6bajck5osvj7trnwt2a5mc3dg,I. Tånnander,,5117892469,233,3,5117892447,286,,5117892445,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402921,4,12,1,0,8,8gxd9ry2580pu1b1dd5ny9ymy,1,18.4,74.4,2024-07-26T17:00:51.762Z,2024-07-26T20:00:23Z,a30gduuv9d1s4pkthgu2jhyol,D. Stenderup,,5117892427,15,,5117892419,140,24.4,5117892425,213,0.32,5117892423,212,6.6,5117892421,141,77.5,5117892417,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402935,6,1,1,0,11,8gxd9ry2580pu1b1dd5ny9ymy,1,24.7,79.6,2024-07-26T17:00:55.332Z,2024-07-26T20:00:22Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,5117892505,141,95.3,5117892503,140,19.9,5117892507,212,11.8,5117892501,56,Back,5117892509,213,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703402947,7,1,1,0,12,8gxd9ry2580pu1b1dd5ny9ymy,0,19.9,95.3,2024-07-26T17:00:56.235Z,2024-07-26T20:00:19Z,g2cgdv428rmpmb0om40ldses,M. Lysholm,,5117892571,141,89.0,5117892575,213,6.14,5117892573,212,29.2,5117892569,140,47.4,5117910415,1,,5117910413,157,,5117892567,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
