id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2716165159,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-09-01T10:12:00.612Z,2024-09-01T14:14:04Z,,,,,5188186629,59,"1, 3, 5, 7, 2, 4, 33, 6, 26, 28, 11, 8, 9, 10, 12, 14, 21, 22, 24, 30",5188186633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5188186631,130,8,5188186637,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5188186627,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5188186635,194,619s1phj5bkgkug3aszc1y9cl,5188264547,197,9535,5188186625,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 1icurh5jrnw1e6jdgqxjnhdnu, 619s1phj5bkgkug3aszc1y9cl, am3509ake84cde1xhb9264i22, 2pm5oqzyonn0dysa5nszgq3xm, d2ukggo2v5jsw4pctznmaijo4, 11ngumxajbizagbzpm5kompxx, 3mcj3wypzq3lno1ehc0vif1sl, 3mgrufy83uhzs9liw8pwxi784, e2aqcawslcbpp88nia8eko2y1, 69h930ebovyl7rut5dz4r2iok, 98zlz2sscsf6vb7d52ici074k, 74m58jsznzu8l89b8h7rkh1bd, 2lc9bt5639t572il73e9y044, 45b72f8szmqnv8tz06j7mj1wq, 4ti8pdx03j8dh4mdb626ltmvo, 5nved2kta2hk8103hkyhq33hm, eu574m78nqv6a5638b44oquqc, e0u730to91qqtvvx16uhajz10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716170419,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-09-01T10:28:17.758Z,2024-09-01T14:13:27Z,,,,,5188213887,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5188213885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5188213877,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 4bojyjyvkdgm1lss6n37q2t5g, 7ztdirfvd9d0x2yw1v051xzbo, 3od63zrf6cay4d6ync9i2iuqc, ei3xmwfz8dah5e4lcbu4w98t1, 23sc7wc7my7wes6cuaxw1v0no, 6wfu6s6xo5zjeke21fgbouql0, 9jqox80arzpytv1b136jobhpm, ayxi2m0g0pm6rl1ba5pto66z9, 289rctmvd5ppy9zqn98jbe4et, bvc80w5ai425plu54nhgx5fxl, b1kyjkhaaiw32cb4bubbpm7tg, 6lb4k3g75nzgi8bp1y1mzxkru, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck, c8btmt9x3j3yhm8sa4tgch34k, y4dl1rer075c9wz6zhx7skbt, dgcbjg2ymgi70yv1n8ugkv02c",5188213883,130,4,5188213879,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5188213881,59,"90, 14, 17, 13, 5, 18, 21, 8, 16, 7, 98, 2, 4, 9, 19, 20, 23, 97, 3",5188241617,194,ei3xmwfz8dah5e4lcbu4w98t1,5188264441,197,11563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716179797,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-09-01T11:01:34.227Z,2024-09-01T11:01:34Z,,,,,5188268939,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716179801,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-09-01T11:01:34.227Z,2024-09-01T11:01:36Z,,,,,5188268951,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716179805,3,1,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,49.9,50.0,2024-09-01T11:01:34.228Z,2024-09-01T11:01:37Z,3mgrufy83uhzs9liw8pwxi784,G. Larsen,,,5188268973,140,24.9,5188268981,279,S,5188268977,212,27.2,5188268979,213,2.88,5188268975,141,60.2,5188268971,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716179825,4,1,1,0,3,8cfkisxf1fkxdqtt6tx1tup48,0,23.7,59.9,2024-09-01T11:01:37.396Z,2024-09-01T11:01:41Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5188269055,140,64.8,5188269057,141,95.1,5188269061,213,0.51,5188269051,157,,5188269053,56,Left,5188269063,1,,5188269059,212,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716179841,3,61,1,0,6,6wwwud48qahpwrfxs20334qk5,1,34.8,9.2,2024-09-01T11:01:40.707Z,2024-09-01T11:02:42Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5188269113,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716179847,5,1,1,0,7,8cfkisxf1fkxdqtt6tx1tup48,1,68.3,84.8,2024-09-01T11:01:42.075Z,2024-09-01T11:03:25Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5188269141,212,7.4,5188269135,56,Left,5188271937,3,,5188269143,213,2.99,5188269139,141,86.5,5188269137,140,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716179855,6,1,1,0,10,8cfkisxf1fkxdqtt6tx1tup48,1,61.3,86.5,2024-09-01T11:01:44.324Z,2024-09-01T14:30:08Z,e2aqcawslcbpp88nia8eko2y1,J. Rothmann,,,5188269185,141,87.7,5188269187,212,14.6,5188269181,56,Back,5188269183,140,47.4,5188269189,213,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716179881,7,1,1,0,10,8cfkisxf1fkxdqtt6tx1tup48,1,47.4,87.7,2024-09-01T11:01:45.099Z,2024-09-01T11:01:49Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5188269273,213,3.40,5188269267,140,30.1,5188269269,141,80.6,5188269265,56,Back,5188269271,212,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
