id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
2742570491,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-11-02T13:03:29.611Z,2024-11-02T16:53:31Z,,,,,5332744741,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5332979887,197,23642,5332744745,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5332744743,194,a7eramyy1bd8msxmg84ctc8ut,5332744739,130,13,5332744733,30,"64vlnkuqfh7rnymg8qku8amwa, duahzgqspyuy2gu31u3s8ky96, 7ar33yy0wd5ah5o8om1l12pgq, oywgthoxa153nf48la1j8v10, 18vvlxsaoloypja4fdddj687o, a7eramyy1bd8msxmg84ctc8ut, 7j35sfip0xb51mpa91wzikrh0, 5hr1cb6e6xb3eyjnau7w4825l, egwhlgopjtjkop7ozy7ltk1cl, 11cna826ls27ahux2w0ckapqt, 9nafz0c0x2qvmo5ldm0djmcq1, bvw5oc4c040ey5dt5wn0choiy, 6gi9kejni27hjp7b43djczz6d, ef7l91pb4w6yk7lijxjxlievp, 139g7ilwvcpl519v3scnweg2d, 9l89n30nejpn2u22ygvchwnze, dy7tdtffhczukm4vrkgp1ctn8, 8rn42gm9xm3yunk883yan9vdg, 4csz412vb3lquessbnf999ct0, 78iynnu6cnznv6fxpo4br4mlm",5332744737,59,"1, 4, 11, 73, 34, 8, 20, 22, 6, 17, 10, 2, 3, 5, 7, 9, 16, 19, 23, 29",5332744735,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,
2742576647,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-11-02T13:09:57.505Z,2024-11-02T16:52:55Z,,,,,5332979781,197,9535,5332776721,130,13,5332776725,194,am3509ake84cde1xhb9264i22,5332776727,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5332776723,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5332776717,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5332776715,30,"dqqswfn9s1tdxjoslts8ks6xg, 67p0s4o54xcmiustgy8k5gljo, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 5nved2kta2hk8103hkyhq33hm, am3509ake84cde1xhb9264i22, 3mgrufy83uhzs9liw8pwxi784, 11ngumxajbizagbzpm5kompxx, 3mcj3wypzq3lno1ehc0vif1sl, 74m58jsznzu8l89b8h7rkh1bd, 1icurh5jrnw1e6jdgqxjnhdnu, 98zlz2sscsf6vb7d52ici074k, e2aqcawslcbpp88nia8eko2y1, bwxxfcjd31gykfbpomwr1od90, 45b72f8szmqnv8tz06j7mj1wq, c8exa9vh1xxpieov380g8r3hm, e0u730to91qqtvvx16uhajz10, d2ukggo2v5jsw4pctznmaijo4, 69h930ebovyl7rut5dz4r2iok",5332776719,59,"1, 16, 21, 4, 22, 2, 28, 6, 26, 10, 5, 9, 11, 12, 14, 27, 30, 33, 8",,,,,,,,,,,,,,,,,,,,,,,,
2742616843,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2024-11-02T13:59:56.651Z,2024-11-02T13:59:59Z,,,,,5332984449,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742616835,3,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-11-02T13:59:56.651Z,2024-11-02T13:59:56Z,,,,,5332984411,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742616873,4,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,49.9,50.1,2024-11-02T13:59:56.652Z,2024-11-02T14:00:01Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5332984617,56,Back,5332984619,140,31.2,5332984621,141,62.9,5332984625,213,2.72,5332984627,279,S,5332984623,212,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742616905,5,1,1,0,4,7gkglopz9cjsysn2u6sbhuvc5,1,31.2,62.9,2024-11-02T14:00:01.246Z,2024-11-02T14:01:21Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,,5332984759,155,,5332984769,213,5.45,5332984761,56,Right,5332984763,140,59.3,5332984771,1,,5332984767,212,43.8,5332984765,141,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742616913,6,1,1,0,7,7gkglopz9cjsysn2u6sbhuvc5,0,59.3,15.2,2024-11-02T14:00:04.251Z,2024-11-02T14:01:28Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5332984789,212,20.0,5332984781,155,,5332984785,140,77.9,5332984791,213,0.21,5332984783,56,Center,5332984787,141,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742616931,3,1,1,0,8,8cfkisxf1fkxdqtt6tx1tup48,1,22.7,71.2,2024-11-02T14:00:05.630Z,2024-11-02T14:00:07Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5332984895,140,10.8,5332984891,56,Back,5332984885,3,,5332984907,212,14.6,5332984909,213,3.68,5332984901,141,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742616947,5,1,1,0,13,8cfkisxf1fkxdqtt6tx1tup48,1,11.8,64.6,2024-11-02T14:00:10.158Z,2024-11-02T14:00:15Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5332984997,56,Back,5332984995,123,,5332984999,140,21.9,5332985125,1,,5332985005,213,4.98,5332985003,212,39.4,5332985009,287,,5332985001,141,8.8,,,,,,,,,,,,,,,,,,,,,,,,
2742616979,6,1,1,0,18,8cfkisxf1fkxdqtt6tx1tup48,0,26.7,9.4,2024-11-02T14:00:15.293Z,2024-11-02T14:00:16Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,,5332985167,56,Center,5332985171,141,31.8,5332985175,213,0.55,5332985169,140,50.6,5332985173,212,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742616985,7,8,1,0,20,7gkglopz9cjsysn2u6sbhuvc5,1,55.4,69.1,2024-11-02T14:00:17.028Z,2024-11-02T14:00:17Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5332985203,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617025,9,1,1,0,23,7gkglopz9cjsysn2u6sbhuvc5,1,74.3,68.5,2024-11-02T14:00:19.955Z,2024-11-02T14:00:23Z,7ar33yy0wd5ah5o8om1l12pgq,M. Hannesbo,,,5332985385,140,73.6,5332985391,213,4.64,5332985383,56,Center,5332985387,141,52.7,5332985389,212,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2742617041,10,1,1,0,26,7gkglopz9cjsysn2u6sbhuvc5,0,75.9,63.1,2024-11-02T14:00:23.403Z,2024-11-02T14:00:27Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5332985495,141,65.8,5332985493,140,96.3,5332985497,212,21.5,5332985499,213,0.09,5332985491,56,Center,5332985583,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
