id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2746771559,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-11-10T12:01:35.229Z,2024-11-10T20:36:16Z,,,,,5355514383,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5355514373,30,"7fkc01xxyl1trj3uav134ehyi, eas91my7qw7etoha5plxfk9yi, 1se7wkenvs4elrapvdw9mdnje, bmkwmf5f2ssnw2cq7uga7yd5g, aqc0qritba195wf770gyd1149, 839pm7rmjp6q1bt52f7ek9vys, 6hmsrr08cllpl4iumu92zskbt, 7wo1hk736v1xhovvu2t2trw89, 4jve632xnmqujh4ioaxpaovai, 9n2nm6smh0txgv2482qbwhixg, ate1ymumg2iwzn8uyyf3ts222, 37mo55lynu3blqnb8k9ln8k16, efh8bbfaqg4riyedthbbviuad, bdxcd38y99nrbv72uh2v4fhg4, 6m4anciafmzc24s44xszymbc9, 45bcgucg627rhrdgt8tn9hd9m, auv81snxkpk2ybxzi8giy5azt, 98mkoolgahktzky97y0khdq1g, 418pvntm5e5kcoeyjjnzm7hg4, 46nx0rm8sod6bbo4a3d7g6jv8",5355514377,59,"1, 2, 21, 5, 3, 25, 7, 10, 14, 17, 12, 4, 6, 9, 11, 16, 19, 26, 27, 39",5355514381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5355724513,197,4652,5355514379,130,8,5355724511,194,eas91my7qw7etoha5plxfk9yi,5355514375,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746780701,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-11-10T12:16:54.398Z,2024-11-10T13:00:44Z,,,,,5355561643,30,"8r9iqig43yjty7l1oq6yg73mc, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, 35og29e19w0ykeqcvudhpgr8, 81c40rn7lrb39qu0sam8kv6dw, g2cgdv428rmpmb0om40ldses, 6zhj070huc77sl5o5bx6ey5g4, bwozpgcm48s08t1glxfgjajmd, cf6zq49y8v1ekw07e7yi3uac, 7pnxa8wzxx5qxevcckxdd62tx, 7h02v4ymnko5fh01iylbh34es, 4lac0f1ev5usxpka7gaev3hii, 1el3mu4rgcx8tebrawgfvynf8, m031ocyfq011rual3olkegdm, emakjdiju8z2peey3ytjahz6y, 6bkuzenpse2kzirt9q7qeisd0, 65f1ckijc2btnprgz3s593dw4, e0nkqbugb4xkpluu5e42zf2ms, d106tu53y5q02yu36iojbou8k, 4olk8vflmyc2wo0uq37qbi9zo",5355561647,59,"1, 2, 3, 12, 4, 26, 23, 6, 18, 7, 10, 8, 11, 15, 16, 17, 22, 25, 27, 33",5355718461,194,bwozpgcm48s08t1glxfgjajmd,5355561649,130,17,5355561653,197,24385,5355561645,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5355561651,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5355561655,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813855,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-11-10T13:01:51.641Z,2024-11-10T13:01:52Z,,,,,5355733997,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813867,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-11-10T13:01:51.641Z,2024-11-10T13:01:54Z,,,,,5355734069,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813881,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,49.7,50.3,2024-11-10T13:01:51.642Z,2024-11-10T13:01:56Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5355734131,213,3.49,5355734125,140,30.8,5355734129,212,21.1,5355734133,279,S,5355734127,141,39.8,5355734123,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813947,4,1,1,0,5,f1h34qp5zbfl489q8vnkhiq9s,0,30.8,39.8,2024-11-10T13:01:56.724Z,2024-11-10T13:24:27Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5355734567,213,0.70,5355734563,212,65.4,5355734553,157,,5355734557,140,78.4,5355734569,1,,5355734559,141,100.0,5355734555,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814019,3,5,1,0,7,bd4qakf7j0wwie8wke9km7uj8,1,23.1,-1.9,2024-11-10T13:01:59.365Z,2024-11-10T21:19:21Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5355734939,347,,5355734935,56,Back,5355734981,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746813959,5,5,1,0,7,f1h34qp5zbfl489q8vnkhiq9s,0,76.9,101.9,2024-11-10T13:01:59.365Z,2024-11-10T21:19:22Z,eas91my7qw7etoha5plxfk9yi,J. Mortensen,,,5355735027,233,3,5355734615,56,Left,5355734617,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814173,4,1,1,0,19,bd4qakf7j0wwie8wke9km7uj8,1,17.9,0.0,2024-11-10T13:02:11.407Z,2024-11-10T13:02:14Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5355735719,213,2.51,5355735715,141,7.7,5355735717,212,11.1,5355735709,107,,5355735713,140,9.4,5355735711,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746814189,5,1,1,0,21,bd4qakf7j0wwie8wke9km7uj8,0,9.4,7.7,2024-11-10T13:02:13.403Z,2024-11-10T21:02:56Z,35og29e19w0ykeqcvudhpgr8,N. Vesterbæk,,,5355735801,212,31.4,5355735795,56,Back,5355735805,1,,5355735799,141,0.0,5355735797,140,38.8,5355735793,157,,5355735803,213,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
