id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2726337565,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-09-27T16:00:56.505Z,2024-09-27T20:09:00Z,,,,,5244021531,197,12587,5244021523,59,"1, 9, 22, 15, 32, 4, 33, 8, 18, 16, 17, 2, 12, 13, 19, 21, 23, 25, 27, 29",5244021527,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5244021521,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5244021533,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5244021525,130,18,5244021529,194,3xz0h3d6r2qgmv9egms8yaz56,5244021519,30,"52vwj2s29n7wngablotd7pboq, 9618hk1lq7i6see347k7plkyy, 6bajck5osvj7trnwt2a5mc3dg, 2qedb8t85t1ieeed9613c9crt, 3ywgt5v070xudujs9f7cuqm7d, 3xz0h3d6r2qgmv9egms8yaz56, 4uuqid6t4nspn0wspyltz3bx0, f58yr2jmfp8kpgprfxbokt1t6, 8h3cyhuw5049gcxrsld3rw1ec, dyzzo6n83rg4fpvmqqa69moes, 9ircna8pbskreztmy1wiqwx9m, b55jtl3ixolidn6cvc4t90efo, e3546n3qj447qgmizao50zx1w, aszp26w7k6ycpwmcpvfteov84, 5moycfv7blzfnjqiruao7dv6c, 1u46uhxe7outj2f8tsga2nx0p, zjklvm2eeuit947oxvxc2o0k, cqgmx6eiriomccxfhykh31r10, ae86fel4p9nioy219v3lg62hg, ekx0wotp433tuaw4g93nybjmc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726341019,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-09-27T16:12:57.190Z,2024-09-27T20:01:30Z,,,,,5244148059,197,24396,5244041959,59,"16, 20, 2, 8, 4, 29, 6, 18, 30, 10, 23, 1, 5, 7, 13, 14, 19, 21, 26, 28",5244041965,194,e9o7q10wnhex4e8eo47mobbvt,5244041961,130,4,5244041955,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, 97xbmht3t4t1p9iu6598oq7l5, dqtarwrqvkopmzbt2ovp2dln9, ev2s21ogvpjtata4fndi868ve, e9o7q10wnhex4e8eo47mobbvt, 2z8u8kyv91shp0la8alkn6kus, 80s55a7uw8kypoikefwhtdm5m, 5wmik73cqursg7sv3w14ue5pm, 15jhbyn4wsbd865fd9djcwaok, 2g019dl7zougqjo7usig0rf11, eq15hjcxpdrl5vca2q7s4tr3e, wha77a8wm7jyn32743y0w79x, 4n002w0ii1wqwx8t5xc1bzf2s, 2uw6m0yavlvkkiob73hoywb56, rbk7g9mpasw3edltliscyzv8, 6eg3kxxg5aneckolraz03xzpw, ewh6t7yo6clfewu89uznll9uc, wrckom9vy4352nos44600ydw",5244041957,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5244041967,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5244041963,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361359,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-09-27T17:00:54.528Z,2024-09-27T17:00:54Z,,,,,5244151841,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361369,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-09-27T17:00:54.528Z,2024-09-27T17:00:56Z,,,,,5244151875,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361393,3,1,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,50.1,50.0,2024-09-27T17:00:54.529Z,2024-09-27T17:00:57Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5244151991,212,16.6,5244151995,279,S,5244151987,140,34.3,5244151993,213,3.09,5244151985,56,Back,5244151989,141,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361461,4,1,1,0,2,b8oqgvx1ijeyn6y1cn6929ix4,1,34.3,56.1,2024-09-27T17:00:56.897Z,2024-09-27T17:01:02Z,3ywgt5v070xudujs9f7cuqm7d,J. Vetter,,,5244152267,140,73.4,5244152273,213,0.51,5244152263,155,,5244152275,1,,5244152271,212,47.2,5244152269,141,90.2,5244152265,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361471,5,44,1,0,6,b8oqgvx1ijeyn6y1cn6929ix4,1,76.6,86.2,2024-09-27T17:01:00.614Z,2024-09-27T19:17:49Z,6bajck5osvj7trnwt2a5mc3dg,I. Tånnander,,,5244152321,286,,5244152319,56,Left,5244152323,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361439,3,44,1,0,6,dbl7ir1qugqz8nvp1vzn8im50,0,23.4,13.8,2024-09-27T17:01:00.615Z,2024-09-27T19:17:49Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5244152189,56,Back,5244152337,233,5,5244152191,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361483,6,1,1,0,6,b8oqgvx1ijeyn6y1cn6929ix4,0,73.4,90.2,2024-09-27T17:01:00.817Z,2024-09-27T19:05:59Z,6bajck5osvj7trnwt2a5mc3dg,I. Tånnander,,,5244152485,168,,5244152403,141,84.2,5244152397,3,,5244152407,213,6.14,5244152399,56,Left,5244152401,140,100.0,5244152405,212,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361573,4,5,1,0,10,dbl7ir1qugqz8nvp1vzn8im50,1,-1.0,24.4,2024-09-27T17:01:04.771Z,2024-09-27T19:19:42Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5244152869,56,Back,5244152885,233,7,5244152871,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361489,7,5,1,0,10,b8oqgvx1ijeyn6y1cn6929ix4,0,101.0,75.6,2024-09-27T17:01:04.771Z,2024-09-27T19:19:42Z,dyzzo6n83rg4fpvmqqa69moes,A. Beck,,,5244152427,56,Center,5244152929,233,4,5244152429,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361601,5,1,1,0,19,dbl7ir1qugqz8nvp1vzn8im50,1,4.8,42.1,2024-09-27T17:01:14.437Z,2024-09-27T17:01:17Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5244153011,212,6.9,5244153003,124,,5244153007,140,4.6,5244153013,213,1.60,5244153005,56,Back,5244153009,141,52.2,5244153017,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361633,6,1,1,0,22,dbl7ir1qugqz8nvp1vzn8im50,1,4.6,52.2,2024-09-27T17:01:17.516Z,2024-09-27T17:01:21Z,4clmd8g8jogdfvauhijd7n55h,V. Myhra,,,5244153195,56,Back,5244153199,141,74.1,5244153201,212,16.0,5244153197,140,10.3,5244153203,213,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361661,7,1,1,0,26,dbl7ir1qugqz8nvp1vzn8im50,0,11.4,80.9,2024-09-27T17:01:21.406Z,2024-09-27T17:01:24Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5244153347,141,61.4,5244153351,213,5.95,5244153343,56,Back,5244153353,1,,5244153341,155,,5244153349,212,41.0,5244153345,140,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361701,8,1,1,0,30,b8oqgvx1ijeyn6y1cn6929ix4,1,39.9,26.7,2024-09-27T17:01:25Z,2024-09-27T17:01:27Z,3ywgt5v070xudujs9f7cuqm7d,J. Vetter,,,5244153525,56,Center,5244153533,213,0.23,5244153529,141,35.2,5244153527,140,63.0,5244153531,212,24.9,5244153523,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361721,10,1,1,0,33,b8oqgvx1ijeyn6y1cn6929ix4,1,63.0,35.2,2024-09-27T17:01:27.536Z,2024-09-27T17:01:28Z,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,,,5244153637,212,8.0,5244153629,140,55.4,5244153633,141,34.8,5244153625,56,Center,5244153639,213,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361747,11,1,1,0,33,b8oqgvx1ijeyn6y1cn6929ix4,1,55.4,34.8,2024-09-27T17:01:28.081Z,2024-09-27T17:01:30Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5244153751,140,70.3,5244153755,212,16.7,5244153749,56,Center,5244153757,213,0.35,5244153753,141,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361751,12,1,1,0,35,b8oqgvx1ijeyn6y1cn6929ix4,0,72.9,38.5,2024-09-27T17:01:30.272Z,2024-09-27T19:06:01Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5244163149,212,10.9,5244153779,56,Center,5244163151,213,4.47,5244163147,141,22.9,5244163143,140,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361791,9,1,1,0,36,dbl7ir1qugqz8nvp1vzn8im50,1,21.1,71.4,2024-09-27T17:01:31.001Z,2024-09-27T17:01:33Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5244153943,212,10.1,5244153947,213,0.32,5244153939,141,76.0,5244153935,140,30.2,5244153931,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361799,10,61,1,0,38,dbl7ir1qugqz8nvp1vzn8im50,0,30.2,76.0,2024-09-27T17:01:32.995Z,2024-09-27T17:01:37Z,15jhbyn4wsbd865fd9djcwaok,W. Martin,,,5244153999,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361835,14,1,1,0,40,b8oqgvx1ijeyn6y1cn6929ix4,0,60.4,8.6,2024-09-27T17:01:34.873Z,2024-09-27T17:01:36Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5244154153,140,84.9,5244154157,212,26.7,5244154159,213,6.01,5244154155,141,0.0,5244154151,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361943,11,5,1,0,41,dbl7ir1qugqz8nvp1vzn8im50,1,15.5,101.7,2024-09-27T17:01:35.875Z,2024-09-27T19:19:42Z,15jhbyn4wsbd865fd9djcwaok,W. Martin,,,5244154725,56,Back,5244154727,347,,5244154739,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361841,15,5,1,0,41,b8oqgvx1ijeyn6y1cn6929ix4,0,84.5,-1.7000000000000002,2024-09-27T17:01:35.875Z,2024-09-27T19:19:43Z,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,,,5244154171,347,,5244154169,56,Right,5244154759,233,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726361961,12,1,1,0,49,dbl7ir1qugqz8nvp1vzn8im50,0,17.2,100.0,2024-09-27T17:01:44.411Z,2024-09-27T17:01:46Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5244154813,141,88.3,5244154809,56,Back,5244154817,213,5.85,5244154811,140,36.2,5244154819,1,,5244154815,212,22.0,5244154807,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362001,16,1,1,0,52,b8oqgvx1ijeyn6y1cn6929ix4,1,62.4,6.5,2024-09-27T17:01:46.905Z,2024-09-27T17:01:49Z,4uuqid6t4nspn0wspyltz3bx0,J. Musbaudeen,,,5244154985,56,Right,5244154989,141,7.0,5244154993,213,0.05,5244154983,3,,5244154991,212,6.2,5244154987,140,68.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362021,17,1,1,0,55,b8oqgvx1ijeyn6y1cn6929ix4,1,68.6,6.2,2024-09-27T17:01:49.617Z,2024-09-27T17:01:51Z,9618hk1lq7i6see347k7plkyy,M. Sarr,,,5244155105,212,13.8,5244155103,141,5.2,5244155107,213,6.23,5244155095,56,Right,5244155099,140,81.7,5244155091,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362027,18,1,1,0,56,b8oqgvx1ijeyn6y1cn6929ix4,0,81.7,5.2,2024-09-27T17:01:50.880Z,2024-09-27T19:06:05Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,,5244155147,3,,5244155155,212,6.3,5244155151,140,75.9,5244155149,56,Right,5244155157,213,3.40,5244155153,141,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726362057,13,1,1,0,57,dbl7ir1qugqz8nvp1vzn8im50,0,22.0,87.8,2024-09-27T17:01:52.444Z,2024-09-27T17:01:54Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5244155327,140,36.2,5244155323,157,,5244155335,1,,5244155331,212,15.2,5244155329,141,83.6,5244155333,213,6.09,5244155325,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
