id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2719358481,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-09-13T16:05:05.057Z,2024-09-13T17:08:38Z,,,,,5205947121,197,17324,5205858443,130,8,5205858441,59,"1, 2, 3, 6, 5, 4, 10, 23, 7, 18, 15, 11, 8, 12, 14, 16, 17, 22, 25, 27",5205858437,30,"8r9iqig43yjty7l1oq6yg73mc, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, bwozpgcm48s08t1glxfgjajmd, 4brcvdxviy9f03iwcavxll80l, 81c40rn7lrb39qu0sam8kv6dw, 7h02v4ymnko5fh01iylbh34es, 6zhj070huc77sl5o5bx6ey5g4, 7pnxa8wzxx5qxevcckxdd62tx, cf6zq49y8v1ekw07e7yi3uac, m031ocyfq011rual3olkegdm, 1el3mu4rgcx8tebrawgfvynf8, 4lac0f1ev5usxpka7gaev3hii, 35og29e19w0ykeqcvudhpgr8, 4rhxehi019n7z1z1m7a39w1sk, emakjdiju8z2peey3ytjahz6y, 6bkuzenpse2kzirt9q7qeisd0, 65f1ckijc2btnprgz3s593dw4, e0nkqbugb4xkpluu5e42zf2ms, d106tu53y5q02yu36iojbou8k",5205858447,194,bwozpgcm48s08t1glxfgjajmd,5205858445,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5205858439,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5205858449,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719358847,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-09-13T16:07:58.787Z,2024-09-13T20:25:00Z,,,,,5205860707,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5205860705,130,8,5205860709,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5205860699,30,"d9hh01mit4geyadol3gmzco9, 45dqseup0cmujyl4nprr29y0a, 6dzg820946z4848whaa6ny2nd, dshwz1df0rbe0fztksawvd0wl, 630daj1ef34rczbhng0eoncvd, a30gduuv9d1s4pkthgu2jhyol, dncrhma6gwcn6pxiu7hfc6qz8, 6uwvbagahvoavs630k8uksxjp, 9tt9eo9bsff7dp7aqjal1obo4, 9r07ooissj5mz15g87x5rmbx1, 2cup1vjw8n43kbzzxfflnmplg, 615e0bjcd0tyge047sy43y5sl, bfvdr7ckiersz26ya2kq9f1g4, 1cumsropo1r0msfzxxteml1w, dwpns7gcg4s1c35df5td9ow7o, 37rzipex1y0nhv8o2dr7h2bys, 21i8eq6dgpzydeyrame6xp05w, 3pk6hii2s8tbv2zux8mvbapec, 4qz1pnlx3d0m5wkhpocl0euj8, 7ymn0ytcqi6l43nqraxt9s1zo",5205860703,59,"1, 30, 23, 5, 25, 2, 22, 11, 9, 14, 7, 10, 15, 16, 17, 21, 27, 28, 29, 19",5205860701,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5205946083,194,a30gduuv9d1s4pkthgu2jhyol,5205946085,197,19945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719376989,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-09-13T17:02:13.919Z,2024-09-13T17:02:14Z,,,,,5205955001,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719376995,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-09-13T17:02:13.919Z,2024-09-13T17:02:16Z,,,,,5205955023,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377031,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,49.9,50.0,2024-09-13T17:02:13.920Z,2024-09-13T17:02:17Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5205955203,140,37.6,5205955201,56,Back,5205955211,279,S,5205955205,141,49.7,5205955209,213,3.16,5205955207,212,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377051,4,1,1,0,3,bd4qakf7j0wwie8wke9km7uj8,0,37.6,49.7,2024-09-13T17:02:17.688Z,2024-09-13T17:02:20Z,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,,,5205955293,141,77.6,5205955291,140,71.9,5205955295,212,40.7,5205955287,155,,5205955299,1,,5205955297,213,0.48,5205955289,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377045,3,44,1,0,4,8gxd9ry2580pu1b1dd5ny9ymy,1,27.9,29.1,2024-09-13T17:02:18.343Z,2024-09-13T17:02:45Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5205955405,233,5,5205955269,285,,5205955267,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377057,5,44,1,0,4,bd4qakf7j0wwie8wke9km7uj8,0,72.1,70.9,2024-09-13T17:02:18.344Z,2024-09-13T17:02:21Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5205955409,233,3,5205955331,286,,5205955329,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377053,4,1,1,0,5,8gxd9ry2580pu1b1dd5ny9ymy,0,29.6,34.8,2024-09-13T17:02:19.149Z,2024-09-13T17:02:20Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,,5205955305,56,Back,5205955309,141,36.1,5205955307,140,44.4,5205955303,3,,5205955311,212,15.6,5205955313,213,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719377071,6,1,1,0,7,bd4qakf7j0wwie8wke9km7uj8,0,69.0,79.8,2024-09-13T17:02:21.776Z,2024-09-13T19:25:27Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5205955417,140,75.2,5205955419,141,72.6,5205955415,56,Center,5205955423,213,5.64,5205961101,155,,5205955421,212,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
