id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2804406635,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-04-21T12:09:36.240Z,2025-04-21T12:57:47Z,,,,,5669952277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669952271,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5669952273,59,"25, 22, 27, 13, 12, 18, 7, 8, 19, 23, 26, 1, 4, 5, 9, 16, 17, 43, 47, 49",5670074255,197,18945,5669952269,30,"9yxhg70gpwi3e9s84c8qwg0yx, 8q8yol44e42o9hwttlopznvh0, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, e19g5bz7s9wqcvj8mttztxi0a, 9xub4z9b3bog8wqhn5yfihecp, efubck8twu1elbhlomltnjjtg, 8gqvlydur0v4cpmz1ozqkejh0, e0rgqk3gxzs005m9ok9hvp1ck, dxv40hh07gxq4hn0i6dwb2l4a, ayhdul772mr22qoly04psb3f8, 3sog1gsk11bwwrf7l7wm2j7dg, 4qyfoq5fjiochtj89w426lm21, 4dmz3u7j1eoz4ofr1o8tbxedw, b0yv1pcxifawqx6r1cfqq3otm, beu3ypladd5dexnm9x946kjkk, izewe5fthjad6hv14xgpm3v8, 2f0p63eeg2yc4jsyotle88q38",5669952279,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669952275,130,10,5670074253,194,cflwegqpzch8y30pb3dhigqnd,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804409851,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-04-21T12:15:23.382Z,2025-04-21T16:42:08Z,,,,,5669971339,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5669971335,59,"1, 3, 21, 4, 16, 23, 7, 28, 20, 11, 5, 6, 8, 10, 17, 24, 29, 33",5669971341,194,619s1phj5bkgkug3aszc1y9cl,5669971343,197,9535,5669971333,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5669971337,130,13,5669971345,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5669971331,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 67p0s4o54xcmiustgy8k5gljo, 7al9w77ailhli8g487tkl32tw, 619s1phj5bkgkug3aszc1y9cl, 3mgrufy83uhzs9liw8pwxi784, d2ukggo2v5jsw4pctznmaijo4, abhfq12njxxutqjtb9zvcusyc, 1icurh5jrnw1e6jdgqxjnhdnu, 11ngumxajbizagbzpm5kompxx, 444n8m1tirk6lp739iigw42c5, 74m58jsznzu8l89b8h7rkh1bd, 6orujbbswf771s9rv0dcd8kd0, eu574m78nqv6a5638b44oquqc, bwxxfcjd31gykfbpomwr1od90, 5jv4a1295xd5oonpj9w9fy61g",,,,,,,,,,,,,,,,,,,,,,,,,,,
2804428131,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-04-21T12:59:51.193Z,2025-04-21T12:59:51Z,,,,,5670077341,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804428133,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-04-21T12:59:51.193Z,2025-04-21T12:59:53Z,,,,,5670077351,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804428143,3,1,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,50.0,50.0,2025-04-21T12:59:51.194Z,2025-04-21T12:59:55Z,efubck8twu1elbhlomltnjjtg,R. Gyamfi,,,5670077391,56,Back,5670077403,212,24.1,5670077407,213,2.69,5670077399,141,65.5,5670077395,140,29.4,5670077409,279,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804428147,4,1,1,0,3,b2vft81kyjurzbmekvgrqwr64,0,29.4,65.5,2025-04-21T12:59:54.787Z,2025-04-21T14:01:25Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5670077445,141,23.6,5670077451,1,,5670077449,213,5.69,5670077439,157,,5670077443,140,69.7,5670077447,212,51.0,5670077441,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804428145,3,44,1,0,5,8cfkisxf1fkxdqtt6tx1tup48,1,27.8,73.4,2025-04-21T12:59:56.767Z,2025-04-21T15:19:18Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5670077427,285,,5670077425,56,Back,5670077487,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804428151,5,44,1,0,5,b2vft81kyjurzbmekvgrqwr64,0,72.2,26.6,2025-04-21T12:59:56.768Z,2025-04-21T15:19:19Z,8gqvlydur0v4cpmz1ozqkejh0,M. Bruhn,,,5670077491,233,3,5670077469,286,,5670077467,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804428149,4,1,1,0,5,8cfkisxf1fkxdqtt6tx1tup48,0,23.1,75.2,2025-04-21T12:59:57.191Z,2025-04-21T13:01:05Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5670077465,213,0.19,5670077455,3,,5670077463,212,4.1,5670077461,141,76.3,5670077457,56,Back,5670077459,140,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2804428159,6,1,1,0,7,b2vft81kyjurzbmekvgrqwr64,1,67.2,8.2,2025-04-21T12:59:58.869Z,2025-04-21T13:00:01Z,8q8yol44e42o9hwttlopznvh0,M. Nielsen,,,5670077517,141,13.7,5670077513,56,Right,5670077521,213,2.86,5670077519,212,13.4,5670077515,140,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
