id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2802137603,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-04-17T11:01:06.494Z,2025-04-17T15:12:50Z,,,,,5657604897,30,"dqqswfn9s1tdxjoslts8ks6xg, 74m58jsznzu8l89b8h7rkh1bd, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 67p0s4o54xcmiustgy8k5gljo, 4m7gr5z6b40dj02yrmlwgeluc, 619s1phj5bkgkug3aszc1y9cl, 11ngumxajbizagbzpm5kompxx, d2ukggo2v5jsw4pctznmaijo4, abhfq12njxxutqjtb9zvcusyc, 1icurh5jrnw1e6jdgqxjnhdnu, 444n8m1tirk6lp739iigw42c5, egxik3guom123v43rthy89c7o, 6orujbbswf771s9rv0dcd8kd0, eu574m78nqv6a5638b44oquqc, 3mgrufy83uhzs9liw8pwxi784, bwxxfcjd31gykfbpomwr1od90, k43cten7yb6p59yo0firhb84, 6k9ri9m1ha4sfqrfccl7ieyvo, 5jv4a1295xd5oonpj9w9fy61g",5657604901,59,"1, 10, 21, 4, 16, 3, 7, 6, 20, 11, 5, 8, 14, 17, 24, 28, 29, 31, 32, 33",5657644167,197,26351,5657604907,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657604899,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5657604903,130,13,5657604905,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657644283,194,619s1phj5bkgkug3aszc1y9cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802138543,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-04-17T11:07:12.480Z,2025-04-17T15:32:13Z,,,,,5657610449,30,"c4esrbgbv6v715768v2cb676d, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, 81c40rn7lrb39qu0sam8kv6dw, 4rhxehi019n7z1z1m7a39w1sk, g2cgdv428rmpmb0om40ldses, cf6zq49y8v1ekw07e7yi3uac, bwozpgcm48s08t1glxfgjajmd, d106tu53y5q02yu36iojbou8k, 1el3mu4rgcx8tebrawgfvynf8, 7h02v4ymnko5fh01iylbh34es, 4lac0f1ev5usxpka7gaev3hii, d1qyvtgj16160ufegxkspgb9w, 35og29e19w0ykeqcvudhpgr8, emakjdiju8z2peey3ytjahz6y, 3wx08y3aabvejd8phcglis3dg, 4olk8vflmyc2wo0uq37qbi9zo, 8rdndyl03uhh1u5id0qf3ymms, e0nkqbugb4xkpluu5e42zf2ms, em0yawcqyqwf53hbj0zlz4duc",5657610451,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5657610459,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657610457,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5657610453,59,"1, 2, 3, 4, 14, 26, 18, 6, 27, 11, 10, 8, 9, 12, 16, 22, 23, 24, 25, 34",5657644443,197,17324,5657610455,130,17,5657644441,194,bwozpgcm48s08t1glxfgjajmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144641,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-04-17T12:00:58.105Z,2025-04-17T12:01:00Z,,,,,5657646035,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144637,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-04-17T12:00:58.105Z,2025-04-18T08:34:06Z,,,,,5657646027,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144647,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,50.0,50.0,2025-04-17T12:00:58.106Z,2025-04-17T15:58:37Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5657646051,56,Back,5657646059,213,4.41,5657646057,212,11.0,5657646053,140,46.9,5657646061,279,S,5657646055,141,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144651,4,1,1,0,2,bd4qakf7j0wwie8wke9km7uj8,1,50.7,33.8,2025-04-17T12:01:00.400Z,2025-04-18T13:15:37Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5657646073,141,56.0,5657646069,56,Back,5657646071,140,29.8,5657646079,213,2.54,5657646075,212,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144659,5,1,1,0,5,bd4qakf7j0wwie8wke9km7uj8,1,31.3,56.1,2025-04-17T12:01:03.424Z,2025-04-17T12:01:07Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5657646115,212,14.9,5657646113,141,34.3,5657646117,213,4.60,5657646109,56,Back,5657646111,140,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144673,6,1,1,0,8,bd4qakf7j0wwie8wke9km7uj8,1,30.9,31.3,2025-04-17T12:01:06.952Z,2025-04-17T12:01:12Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5657646181,141,8.5,5657646177,56,Right,5657646187,1,,5657646183,212,47.3,5657646179,140,73.5,5657646185,213,5.95,5657646175,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144677,7,1,1,0,10,bd4qakf7j0wwie8wke9km7uj8,0,66.0,18.0,2025-04-17T12:01:08.160Z,2025-04-18T13:16:02Z,d106tu53y5q02yu36iojbou8k,A. Jensen,,,5658947279,140,73.6,5658947283,212,8.0,5658947281,141,18.2,5658947277,168,,5657646203,56,Right,5658947345,3,,5658947285,213,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144681,3,1,1,0,13,8cfkisxf1fkxdqtt6tx1tup48,1,28.6,89.3,2025-04-17T12:01:11.747Z,2025-04-17T12:01:14Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5657646243,212,15.0,5657646237,56,Back,5657646239,140,20.5,5657646235,3,,5657646245,213,4.11,5657646241,141,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144685,4,1,1,0,15,8cfkisxf1fkxdqtt6tx1tup48,0,23.9,75.1,2025-04-17T12:01:14.027Z,2025-04-17T12:20:03Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,,5657646277,1,,5657646273,212,52.2,5657646265,157,,5657646269,140,73.3,5657646271,141,83.9,5657646267,56,Left,5657646275,213,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144693,8,1,1,0,19,bd4qakf7j0wwie8wke9km7uj8,1,32.6,21.6,2025-04-17T12:01:17.623Z,2025-04-17T12:01:21Z,g2cgdv428rmpmb0om40ldses,M. Lysholm,,,5657646317,1,,5657646307,56,Back,5657646313,212,32.7,5657646311,141,53.1,5657646309,140,9.1,5657646315,213,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144701,9,1,1,0,23,bd4qakf7j0wwie8wke9km7uj8,1,12.1,53.6,2025-04-17T12:01:21.488Z,2025-04-17T12:01:25Z,c4esrbgbv6v715768v2cb676d,F. Schram,,,5657646361,1,,5657646355,141,43.0,5657646357,212,33.7,5657646353,140,43.5,5657646351,56,Back,5657646349,157,,5657646359,213,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144705,10,44,1,0,25,bd4qakf7j0wwie8wke9km7uj8,1,43.4,44.2,2025-04-17T12:01:24.049Z,2025-04-17T13:11:49Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5657646369,56,Back,5657646399,233,5,5657646371,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144699,5,44,1,0,25,8cfkisxf1fkxdqtt6tx1tup48,0,56.6,55.8,2025-04-17T12:01:24.050Z,2025-04-17T13:11:50Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,,5657646423,233,10,5657646345,56,Center,5657646347,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144713,11,1,1,0,26,bd4qakf7j0wwie8wke9km7uj8,0,43.5,43.0,2025-04-17T12:01:24.848Z,2025-04-17T12:05:42Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5657646441,213,6.21,5657646431,3,,5657646439,212,17.5,5657646435,140,60.1,5657646437,141,41.0,5657646433,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144715,7,1,1,0,28,8cfkisxf1fkxdqtt6tx1tup48,1,46.0,57.5,2025-04-17T12:01:26.562Z,2025-04-17T12:22:26Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,,5657646455,141,38.6,5657646451,56,Center,5657646449,155,,5657646459,213,5.62,5657646457,212,20.8,5657646453,140,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144717,8,1,1,0,29,8cfkisxf1fkxdqtt6tx1tup48,0,62.4,37.3,2025-04-17T12:01:27.835Z,2025-04-17T12:22:43Z,abhfq12njxxutqjtb9zvcusyc,Mohamad Al Naser,,,5657646465,56,Center,5657646467,140,60.6,5657646471,212,5.4,5657646463,3,,5657646469,141,29.8,5657646473,213,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144721,12,1,1,0,30,bd4qakf7j0wwie8wke9km7uj8,0,36.7,60.9,2025-04-17T12:01:28.911Z,2025-04-17T12:52:58Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5657646487,213,0.17,5657646483,141,68.5,5657646479,56,Center,5657646477,157,,5657646481,140,65.2,5657646489,1,,5657646485,212,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144735,9,1,1,0,33,8cfkisxf1fkxdqtt6tx1tup48,1,41.1,30.4,2025-04-17T12:01:31.259Z,2025-04-17T12:01:35Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5657646573,213,0.20,5657646569,141,37.6,5657646563,157,,5657646567,140,64.6,5657646571,212,25.2,5657646565,56,Center,5657646575,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802369911,938,83,1,0,35,bd4qakf7j0wwie8wke9km7uj8,1,31.1,53.3,2025-04-17T12:01:33.608Z,2025-04-18T13:18:38Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5658951633,399,abhfq12njxxutqjtb9zvcusyc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144739,11,50,1,0,36,8cfkisxf1fkxdqtt6tx1tup48,1,67.6,39.8,2025-04-17T12:01:34.447Z,2025-04-18T13:25:55Z,abhfq12njxxutqjtb9zvcusyc,Mohamad Al Naser,,,5658951737,286,,5657646579,56,Center,5658963441,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144731,13,7,1,0,36,bd4qakf7j0wwie8wke9km7uj8,1,32.4,60.2,2025-04-17T12:01:34.448Z,2025-04-18T13:25:55Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5658963437,233,11,5658951697,285,,5658951865,178,,5658951863,384,,5658951695,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144737,10,43,1,0,37,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-04-17T12:01:35.434Z,2025-04-17T12:01:38Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5657646615,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144741,14,1,1,0,38,bd4qakf7j0wwie8wke9km7uj8,0,25.5,61.2,2025-04-17T12:01:36.631Z,2025-04-17T12:53:24Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5657646587,56,Back,5657646593,212,44.1,5657646597,1,,5657646595,213,5.23,5657646585,157,,5657646591,141,4.7,5657646589,140,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802144747,12,43,1,0,42,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-04-17T12:01:40.145Z,2025-04-18T13:19:18Z,4ti8pdx03j8dh4mdb626ltmvo,N. Jakobsen,,,5658952731,144,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
