id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2714922523,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-08-30T16:11:41.933Z,2024-08-30T20:10:25Z,,,,,5181512781,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181526635,194,1n4eldqa7h9jvcx1693zqu06i,5181512779,130,8,5181657565,197,16110,5181512777,59,"1, 3, 5, 34, 21, 2, 8, 6, 9, 14, 17, 4, 7, 11, 12, 18, 20, 23, 26, 27",5181512775,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5181512783,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181512773,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, elsygne5tjybbxrqgehtovnro, 7l7f98nn8gohmdacsdb2labkk, khqldwfq14b7giakss24l9t5, 9350utk4onh2hv5jznxqpkd7t, 1n4eldqa7h9jvcx1693zqu06i, 2tcdx5rp7vujnlid4oqqxdogk, 1fjkjzsei9slx2t4zhsqdkve1, 3rok7i8nrt4yzx2melj4qiuqc, uiyol728wan4mxco2foplknp, 5i6n6yne6fh410vk7p7kkokmi, 5z7y55t2o577r8ki3i5855as, 8gqvlydur0v4cpmz1ozqkejh0, 5dlh0fa9yo6z283w9p58xmnoq, 9lsylzgf7e3i5zb0fshnxo6xg, bpldj4qdzfdm1n739atcadbmc, 3avg1grraylzm6xjt5kt18is4, 55qsxtqivxajkxmpdeyccus5w, 85a9bmnu6fqvhlff28qm0e0a1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714923015,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-30T16:15:53.952Z,2024-08-30T20:30:34Z,,,,,5181515873,59,"1, 9, 11, 5, 4, 3, 24, 8, 17, 7, 18, 12, 15, 16, 19, 25, 27, 29, 32, 33",5181515883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181515875,130,19,5181515877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5181515879,194,1nn1wc14k9zd3wtu73loj7kes,5181515869,30,"52vwj2s29n7wngablotd7pboq, 9618hk1lq7i6see347k7plkyy, f1ba9g771s0zeel0titcj3omi, dqssvdpt2iwg8qn9wto3miind, 3xz0h3d6r2qgmv9egms8yaz56, 8ewvm6ux4yvpwgrzjkc1chqwa, 9fvf8z6p8ok0n5vu999ysfywa, f58yr2jmfp8kpgprfxbokt1t6, 9ircna8pbskreztmy1wiqwx9m, 1nn1wc14k9zd3wtu73loj7kes, 8h3cyhuw5049gcxrsld3rw1ec, e3546n3qj447qgmizao50zx1w, 2qedb8t85t1ieeed9613c9crt, dyzzo6n83rg4fpvmqqa69moes, 5moycfv7blzfnjqiruao7dv6c, cqgmx6eiriomccxfhykh31r10, ae86fel4p9nioy219v3lg62hg, ekx0wotp433tuaw4g93nybjmc, 3ywgt5v070xudujs9f7cuqm7d, 4uuqid6t4nspn0wspyltz3bx0",5181515871,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5181515881,197,12587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714961223,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2024-08-30T18:01:46.327Z,2024-08-30T18:01:48Z,,,,,5181716617,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714961209,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-08-30T18:01:46.327Z,2024-08-30T18:01:46Z,,,,,5181716537,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714961235,3,1,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,49.9,50.1,2024-08-30T18:01:46.527Z,2024-08-30T18:01:48Z,1fjkjzsei9slx2t4zhsqdkve1,M. Etim,,,5181716661,213,3.45,5181716657,141,43.3,5181716653,56,Back,5181716663,279,S,5181716655,140,36.1,5181716659,212,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714961303,4,1,1,0,1,aqtkb4mgrz8c6iqfufj6qjbv9,1,36.1,43.3,2024-08-30T18:01:47.655Z,2024-08-30T18:01:51Z,2tcdx5rp7vujnlid4oqqxdogk,M. Due Grandt,,,5181717055,213,1.95,5181717049,140,28.6,5181717053,212,21.0,5181717051,141,72.0,5181717047,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714961327,5,1,1,0,4,aqtkb4mgrz8c6iqfufj6qjbv9,1,28.0,71.7,2024-08-30T18:01:50.864Z,2024-08-30T18:01:52Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,,5181717191,213,0.95,5181717189,212,15.2,5181717183,56,Back,5181717185,140,36.4,5181717187,141,89.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714961371,6,1,1,0,5,aqtkb4mgrz8c6iqfufj6qjbv9,1,36.4,90.0,2024-08-30T18:01:51.975Z,2024-08-30T18:01:54Z,elsygne5tjybbxrqgehtovnro,L. Bøje-Larsen,,,5181717445,213,4.46,5181717443,212,10.2,5181717437,56,Back,5181717441,141,75.4,5181717439,140,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714961403,7,1,1,0,8,aqtkb4mgrz8c6iqfufj6qjbv9,1,34.3,75.3,2024-08-30T18:01:54.504Z,2024-08-30T18:01:56Z,7l7f98nn8gohmdacsdb2labkk,A. Alicino,,,5181717605,140,28.1,5181717603,56,Back,5181717607,141,62.6,5181717611,213,4.07,5181717609,212,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714961443,8,1,1,0,9,aqtkb4mgrz8c6iqfufj6qjbv9,1,28.1,62.6,2024-08-30T18:01:55.935Z,2024-08-30T18:01:58Z,9350utk4onh2hv5jznxqpkd7t,R. Møller,,,5181717895,213,4.87,5181717893,212,20.1,5181717891,141,33.4,5181717889,140,31.1,5181717885,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
