id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId
2709504513,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-08-17T10:04:05.033Z,2024-08-17T13:45:15Z,,,,5151592743,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5151592739,130,8,5151708021,197,11501,5151592741,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5151630301,194,a30gduuv9d1s4pkthgu2jhyol,5151592733,30,"d9hh01mit4geyadol3gmzco9, bfvdr7ckiersz26ya2kq9f1g4, 6dzg820946z4848whaa6ny2nd, 6uwvbagahvoavs630k8uksxjp, dshwz1df0rbe0fztksawvd0wl, a30gduuv9d1s4pkthgu2jhyol, 1cumsropo1r0msfzxxteml1w, 4oxf446ya7jwulq6hxlp8r36d, 9tt9eo9bsff7dp7aqjal1obo4, 9r07ooissj5mz15g87x5rmbx1, dncrhma6gwcn6pxiu7hfc6qz8, 615e0bjcd0tyge047sy43y5sl, 37rzipex1y0nhv8o2dr7h2bys, 5e5fuj7mbkpvf0bug32ixxc5x, 21i8eq6dgpzydeyrame6xp05w, 4qz1pnlx3d0m5wkhpocl0euj8, 45dqseup0cmujyl4nprr29y0a, 3njsc9nturnshsiofmiy19gr8, 2cup1vjw8n43kbzzxfflnmplg",5151592737,59,"1, 15, 23, 11, 5, 2, 16, 6, 9, 14, 22, 10, 21, 24, 27, 29, 30, 32, 7",5151592735,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709504923,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-08-17T10:04:59.030Z,2024-08-17T10:58:51Z,,,,5151594621,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5151707585,197,18945,5151594623,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5151594619,130,12,5151594617,59,"1, 7, 27, 13, 3, 18, 11, 10, 14, 9, 17, 4, 12, 16, 20, 22, 24, 25, 26, 30",5151594615,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5151708543,194,lu9bber07etravimh00k745x,5151594613,30,"dxv40hh07gxq4hn0i6dwb2l4a, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, lu9bber07etravimh00k745x, cflwegqpzch8y30pb3dhigqnd, bp232fgjrfyok2471ec7u1tcl, dwuxps3jv2852642q000wep6, 8gdfn7j6xac9p4jh94hk40jdg, 9b89pmcjk6re94bjp0ixeatjo, b0yv1pcxifawqx6r1cfqq3otm, ayhdul772mr22qoly04psb3f8, 6bv0j0ezhh9u5u5hqz64p790q, 4dmz3u7j1eoz4ofr1o8tbxedw, az9x5coo3hl4qkt16x24pp5re, 8q8yol44e42o9hwttlopznvh0, 1f510mbuc4i1mmshqlgim5u6s, 9yxhg70gpwi3e9s84c8qwg0yx, e0rgqk3gxzs005m9ok9hvp1ck, 6xhxqcmi0g6h61y2pl9v89xjo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526027,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-08-17T11:00:19.235Z,2024-08-17T11:00:19Z,,,,5151710039,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526035,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2024-08-17T11:00:19.235Z,2024-08-17T11:00:21Z,,,,5151710071,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526037,3,1,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,49.9,50.1,2024-08-17T11:00:19.236Z,2024-08-17T13:52:28Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,5151710081,213,3.37,5151710079,212,13.2,5151710083,279,S,5151710075,140,37.7,5151710077,141,45.7,5151710073,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526051,4,1,1,0,2,8gxd9ry2580pu1b1dd5ny9ymy,1,35.8,44.9,2024-08-17T11:00:22.123Z,2024-08-17T11:00:45Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,5151710183,141,27.1,5151710179,56,Back,5151710187,213,4.03,5151710185,212,15.6,5151710181,140,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526079,5,1,1,0,4,8gxd9ry2580pu1b1dd5ny9ymy,1,26.0,27.3,2024-08-17T11:00:24.179Z,2024-08-17T11:00:27Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,5151710283,140,28.1,5151710289,213,4.88,5151710285,141,8.0,5151710287,212,13.3,5151710281,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526091,6,1,1,0,7,8gxd9ry2580pu1b1dd5ny9ymy,1,28.8,11.7,2024-08-17T11:00:27.108Z,2024-08-17T11:00:30Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,5151710365,140,23.7,5151710367,141,30.3,5151710363,56,Back,5151710371,213,1.97,5151710369,212,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526101,7,1,1,0,11,8gxd9ry2580pu1b1dd5ny9ymy,1,20.2,30.7,2024-08-17T11:00:30.451Z,2024-08-17T11:00:31Z,dshwz1df0rbe0fztksawvd0wl,M. Olsen,,5151710407,56,Back,5151710411,140,32.6,5151710417,213,0.33,5151710415,212,13.8,5151710413,141,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526105,8,1,1,0,12,8gxd9ry2580pu1b1dd5ny9ymy,1,30.8,35.8,2024-08-17T11:00:31.755Z,2024-08-17T11:00:33Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,5151710433,212,17.8,5151710453,156,,5151710435,213,4.05,5151710431,141,15.2,5151710427,56,Back,5151710429,140,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526121,9,1,1,0,14,8gxd9ry2580pu1b1dd5ny9ymy,0,22.4,9.7,2024-08-17T11:00:33.746Z,2024-08-17T11:00:35Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,5151710483,141,8.9,5151710479,56,Back,5151710481,140,25.9,5151710485,212,3.7,5151710507,236,,5151710487,213,6.14,5151710509,233,3,5151710513,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526123,3,74,1,0,14,b2vft81kyjurzbmekvgrqwr64,1,65.3,90.9,2024-08-17T11:00:33.747Z,2024-08-17T13:18:35Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,5151710489,56,Left,5151710515,233,9,5151710491,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526131,10,1,1,0,15,8gxd9ry2580pu1b1dd5ny9ymy,1,29.3,23.9,2024-08-17T11:00:35.163Z,2024-08-17T11:00:36Z,bfvdr7ckiersz26ya2kq9f1g4,A. Iljazovski,,5151710549,212,13.3,5151710551,213,0.48,5151710543,56,Back,5151710547,141,33.0,5151710545,140,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526143,11,1,1,0,17,8gxd9ry2580pu1b1dd5ny9ymy,0,47.2,30.4,2024-08-17T11:00:36.419Z,2024-08-17T11:04:21Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,5151710613,141,10.3,5151710615,212,19.8,5151710617,213,5.52,5151710611,140,60.9,5151710609,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526169,4,1,1,0,20,b2vft81kyjurzbmekvgrqwr64,0,31.6,86.2,2024-08-17T11:00:40.116Z,2024-08-17T11:00:44Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,5151710767,1,,5151710765,213,0.32,5151710761,141,92.1,5151710763,212,12.7,5151710755,157,,5151710757,56,Back,5151710759,140,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709527199,40,61,1,0,21,8gxd9ry2580pu1b1dd5ny9ymy,1,54.3,3.7,2024-08-17T11:00:40.756Z,2024-08-17T11:04:18Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,5151717259,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526187,5,5,1,0,22,b2vft81kyjurzbmekvgrqwr64,1,47.4,101.4,2024-08-17T11:00:41.243Z,2024-08-17T13:24:59Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,5151717019,233,12,5151710811,347,,5151710809,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526159,12,5,1,0,22,8gxd9ry2580pu1b1dd5ny9ymy,0,52.6,-1.4,2024-08-17T11:00:41.243Z,2024-08-17T13:25:00Z,9r07ooissj5mz15g87x5rmbx1,C. Jakobsen,,5151710699,56,Right,5151717027,233,5,5151710701,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709526207,6,1,1,0,27,b2vft81kyjurzbmekvgrqwr64,1,56.1,100.0,2024-08-17T11:00:47.067Z,2024-08-17T11:00:51Z,ea2x4o6ufsqoz2zz7tqcnvo16,L. Klitten,,5151710933,141,89.7,5151710935,212,17.8,5151710937,213,5.80,5151710931,140,71.1,5151710927,107,,5151710929,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
