id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/10/value,qualifier/14/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2799093371,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-04-11T16:10:13.349Z,2025-04-11T16:57:40Z,,,,,5640915741,130,4,5640915747,197,24396,5640915745,194,wha77a8wm7jyn32743y0w79x,5640915739,59,"1, 2, 3, 7, 4, 25, 14, 18, 17, 10, 31, 11, 13, 15, 23, 24, 26, 29, 32, 40",5640915743,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5640915749,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5640915737,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5640915735,30,"2g019dl7zougqjo7usig0rf11, 1mml4inucvyomv1dcog3c1pt5, bxamae8lo647u6k3kruigir8q, wha77a8wm7jyn32743y0w79x, dqtarwrqvkopmzbt2ovp2dln9, auk14ut8cwaqop549u2zmfgt1, 2uw6m0yavlvkkiob73hoywb56, 2z8u8kyv91shp0la8alkn6kus, axyrfq1u8nwcj2ss5498u8qhg, 5wmik73cqursg7sv3w14ue5pm, 5vwzliaibdlhfm38g8v5z0r8p, 1b32j0lqi7ggcabdra4tygxzo, 4n002w0ii1wqwx8t5xc1bzf2s, 8f1mw21tbkct0slelpdznf7dg, 15jhbyn4wsbd865fd9djcwaok, 19wdr5lrjw3aqm0ap9nklwefo, ewh6t7yo6clfewu89uznll9uc, ev2s21ogvpjtata4fndi868ve, 1vfh2k9yurk6t5s1vmgmlmfpw, 3ukx6q0q54uzz78gl7k10o2dw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799098045,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-04-11T16:18:32.563Z,2025-04-11T20:42:22Z,,,,,5640943321,59,"1, 4, 21, 5, 3, 15, 10, 17, 14, 9, 12, 6, 7, 8, 16, 19, 25, 27, 32, 38",5641076445,197,4652,5640943327,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5640943325,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5640943317,30,"7fkc01xxyl1trj3uav134ehyi, 37mo55lynu3blqnb8k9ln8k16, 1se7wkenvs4elrapvdw9mdnje, bmkwmf5f2ssnw2cq7uga7yd5g, aqc0qritba195wf770gyd1149, c7buy99bjqmkmno8w5t0189d6, 7wo1hk736v1xhovvu2t2trw89, 9n2nm6smh0txgv2482qbwhixg, 4jve632xnmqujh4ioaxpaovai, 4mxciw9jsj9l437fd7bv78p91, ate1ymumg2iwzn8uyyf3ts222, 8k4wwchytdstpn0yhrxd5nbv9, 6hmsrr08cllpl4iumu92zskbt, 15yli690oxmbr4dl1ksti2p9m, 45bcgucg627rhrdgt8tn9hd9m, cqgmx6eiriomccxfhykh31r10, 839pm7rmjp6q1bt52f7ek9vys, 418pvntm5e5kcoeyjjnzm7hg4, ayjuukbjjzrldkn4d4shfnggk, 5sha6xhovfmuzd7rolx1om39w",5641076443,194,1se7wkenvs4elrapvdw9mdnje,5640943323,130,9,5640943319,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124275,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-04-11T17:01:29.129Z,2025-04-11T17:01:31Z,,,,,5641086825,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124269,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-04-11T17:01:29.129Z,2025-04-11T17:01:29Z,,,,,5641086799,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124281,3,1,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,50.1,50.1,2025-04-11T17:01:29.263Z,2025-04-11T17:01:31Z,2uw6m0yavlvkkiob73hoywb56,G. Grubbe,,,5641086853,141,47.5,5641086859,279,S,5641086849,56,Back,5641086855,212,17.5,5641086857,213,3.24,5641086851,140,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124345,4,1,1,0,2,dbl7ir1qugqz8nvp1vzn8im50,1,33.5,47.5,2025-04-11T17:01:31.208Z,2025-04-11T17:01:34Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5641087203,1,,5641087185,56,Left,5641087199,212,46.2,5641087193,141,81.7,5641087191,140,71.5,5641087183,157,,5641087201,213,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124355,5,44,1,0,4,dbl7ir1qugqz8nvp1vzn8im50,1,64.6,75.0,2025-04-11T17:01:34.106Z,2025-04-11T17:01:39Z,5vwzliaibdlhfm38g8v5z0r8p,J. Grot,,,5641087229,56,Center,5641087263,233,3,5641087231,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124343,3,44,1,0,4,f1h34qp5zbfl489q8vnkhiq9s,0,35.4,25.0,2025-04-11T17:01:34.107Z,2025-04-11T17:04:47Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5641087293,233,5,5641087173,56,Back,5641087177,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124429,6,1,1,0,5,dbl7ir1qugqz8nvp1vzn8im50,0,71.5,81.7,2025-04-11T17:01:34.536Z,2025-04-11T17:01:39Z,5vwzliaibdlhfm38g8v5z0r8p,J. Grot,,,5641087759,141,85.9,5641087753,168,,5641087763,213,0.56,5641087755,56,Left,5641087757,140,75.8,5641087751,3,,5641087761,212,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799124387,4,1,1,0,6,f1h34qp5zbfl489q8vnkhiq9s,0,31.9,29.5,2025-04-11T17:01:36.097Z,2025-04-11T17:01:36Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5641087469,141,25.2,5641087463,3,,5641087473,213,5.96,5641087471,212,9.2,5641087465,56,Back,5641087467,140,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
