id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value
2793512771,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-03-30T11:11:42.811Z,2025-03-30T19:37:44Z,,,,,5610038589,197,18945,5610038591,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610038579,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610038585,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610038577,30,"9yxhg70gpwi3e9s84c8qwg0yx, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, ayhdul772mr22qoly04psb3f8, cflwegqpzch8y30pb3dhigqnd, 9xub4z9b3bog8wqhn5yfihecp, b0yv1pcxifawqx6r1cfqq3otm, 4qyfoq5fjiochtj89w426lm21, efubck8twu1elbhlomltnjjtg, dwuxps3jv2852642q000wep6, dxv40hh07gxq4hn0i6dwb2l4a, 3sog1gsk11bwwrf7l7wm2j7dg, 4dmz3u7j1eoz4ofr1o8tbxedw, 8q8yol44e42o9hwttlopznvh0, 8gqvlydur0v4cpmz1ozqkejh0, e0rgqk3gxzs005m9ok9hvp1ck, bpoqmt2dwwsm57vdfrm9stvro, 5jyv1dctfxa6335l1mlifwavo, 2f0p63eeg2yc4jsyotle88q38",5610038587,194,cflwegqpzch8y30pb3dhigqnd,5610038583,130,10,5610038581,59,"25, 7, 27, 13, 4, 18, 8, 17, 9, 19, 10, 1, 5, 16, 22, 23, 26, 29, 40, 49",,,,,,,,,,,,,,,,,,,,,,,,
2793514053,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-03-30T11:15:02.578Z,2025-03-30T12:07:23Z,,,,,5610045473,130,13,5610045471,59,"1, 26, 3, 4, 14, 34, 18, 6, 15, 7, 10, 8, 9, 11, 12, 16, 20, 22, 25, 27",5610045469,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5610049157,194,bwozpgcm48s08t1glxfgjajmd,5610045477,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610045475,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5610045467,30,"c4esrbgbv6v715768v2cb676d, g2cgdv428rmpmb0om40ldses, aejgqvdw1jftxaa538kaa15w4, 81c40rn7lrb39qu0sam8kv6dw, 4rhxehi019n7z1z1m7a39w1sk, em0yawcqyqwf53hbj0zlz4duc, cf6zq49y8v1ekw07e7yi3uac, bwozpgcm48s08t1glxfgjajmd, m031ocyfq011rual3olkegdm, 7pnxa8wzxx5qxevcckxdd62tx, 7h02v4ymnko5fh01iylbh34es, 4lac0f1ev5usxpka7gaev3hii, d1qyvtgj16160ufegxkspgb9w, 1el3mu4rgcx8tebrawgfvynf8, 35og29e19w0ykeqcvudhpgr8, emakjdiju8z2peey3ytjahz6y, ass2un9by50uzrp6i9njn7nkk, 3wx08y3aabvejd8phcglis3dg, e0nkqbugb4xkpluu5e42zf2ms, d106tu53y5q02yu36iojbou8k",5610172631,197,17324,,,,,,,,,,,,,,,,,,,,,,,,
2793541247,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-03-30T12:02:38.844Z,2025-03-30T12:02:39Z,,,,,5610183727,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541257,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-03-30T12:02:38.844Z,2025-03-30T12:02:41Z,,,,,5610183765,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541313,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,50.0,50.0,2025-03-30T12:02:38.845Z,2025-03-30T12:02:41Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5610184129,56,Back,5610184137,213,2.81,5610184131,140,35.6,5610184133,141,57.6,5610184139,279,S,5610184135,212,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541327,4,1,1,0,1,bd4qakf7j0wwie8wke9km7uj8,1,35.6,57.6,2025-03-30T12:02:40.261Z,2025-03-30T12:02:43Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5610184211,56,Back,5610184213,140,30.2,5610184215,141,80.6,5610184217,212,16.6,5610184219,213,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541359,5,1,1,0,4,bd4qakf7j0wwie8wke9km7uj8,1,30.3,79.4,2025-03-30T12:02:43.102Z,2025-03-30T12:08:48Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5610184383,212,16.7,5610184385,213,4.81,5610184381,141,54.9,5610184375,56,Back,5610184379,140,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541411,6,1,1,0,7,bd4qakf7j0wwie8wke9km7uj8,1,32.0,53.1,2025-03-30T12:02:46.406Z,2025-03-30T12:07:53Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5610184667,141,16.5,5610184669,212,24.9,5610184671,213,4.78,5610184665,140,33.5,5610184663,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541439,7,1,1,0,9,bd4qakf7j0wwie8wke9km7uj8,1,33.5,16.5,2025-03-30T12:02:47.846Z,2025-03-30T12:07:43Z,em0yawcqyqwf53hbj0zlz4duc,A. Halsgaard,,,5610184855,1,,5610184845,56,Back,5610184849,141,44.0,5610184853,213,2.54,5610184851,212,33.2,5610184847,140,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2793541475,8,1,1,0,10,bd4qakf7j0wwie8wke9km7uj8,0,7.4,44.0,2025-03-30T12:02:49.694Z,2025-03-30T12:02:53Z,c4esrbgbv6v715768v2cb676d,F. Schram,,,5610185097,1,,5610185093,212,42.7,5610185091,141,47.5,5610185079,157,,5610185083,56,Back,5610185095,213,0.06,5610185087,140,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
