id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/14/value
2801938259,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-04-16T15:44:19.918Z,2025-04-16T18:43:56Z,,,,5656476483,59,"90, 14, 12, 17, 4, 5, 8, 6, 9, 11, 7, 1, 2, 3, 10, 19, 20, 21, 97, 98",5656487547,197,11644,5656476479,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 1ai0gvdx68lxclbj6m255w72t, 4bojyjyvkdgm1lss6n37q2t5g, b1kyjkhaaiw32cb4bubbpm7tg, 3od63zrf6cay4d6ync9i2iuqc, 6wfu6s6xo5zjeke21fgbouql0, 7rt4wpc0qphwnvhn8jeazesfe, 6lb4k3g75nzgi8bp1y1mzxkru, 4m3slt6iikaxklqd12i719rl5, ayxi2m0g0pm6rl1ba5pto66z9, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, dgcbjg2ymgi70yv1n8ugkv02c, 45ssaw51hm80y1tfalyesap9m, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck, 23sc7wc7my7wes6cuaxw1v0no, y4dl1rer075c9wz6zhx7skbt, 289rctmvd5ppy9zqn98jbe4et",5656476489,194,3od63zrf6cay4d6ync9i2iuqc,5656476491,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5656476481,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5656476485,130,8,5656476487,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801938401,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-04-16T15:47:21.020Z,2025-04-16T19:51:47Z,,,,5656477647,130,7,5656477641,30,"bl9em2c9quspd4afzwqn81xxw, 45dqseup0cmujyl4nprr29y0a, 615e0bjcd0tyge047sy43y5sl, 4oxf446ya7jwulq6hxlp8r36d, 630daj1ef34rczbhng0eoncvd, 3pk6hii2s8tbv2zux8mvbapec, dncrhma6gwcn6pxiu7hfc6qz8, dm6xpphbyyooqriwaambi7njd, 5e5fuj7mbkpvf0bug32ixxc5x, aajgld24isoem1ycoysyxxp1w, 9r07ooissj5mz15g87x5rmbx1, 4qz1pnlx3d0m5wkhpocl0euj8, 9tt9eo9bsff7dp7aqjal1obo4, 6uwvbagahvoavs630k8uksxjp, 7ymn0ytcqi6l43nqraxt9s1zo, 1basznqpux0hkrrd06eaxodsl, 37rzipex1y0nhv8o2dr7h2bys, 1cumsropo1r0msfzxxteml1w, 3njsc9nturnshsiofmiy19gr8, 21i8eq6dgpzydeyrame6xp05w",5656477645,59,"1, 30, 10, 6, 25, 28, 22, 8, 24, 4, 14, 29, 9, 11, 19, 18, 21, 16, 26, 27",5656488131,197,11501,5656477649,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5656488355,194,615e0bjcd0tyge047sy43y5sl,5656477651,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5656477643,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801939743,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-04-16T16:31:15.919Z,2025-04-17T14:25:39Z,,,,5656488497,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801939747,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2025-04-16T16:31:15.919Z,2025-04-16T16:31:22Z,,,,5656488511,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801939749,3,1,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,50.4,50.1,2025-04-16T16:31:16.750Z,2025-04-16T18:45:39Z,aajgld24isoem1ycoysyxxp1w,Z. Aliji,,5656488521,213,3.55,5656488513,56,Back,5656488519,212,20.8,5656488523,279,S,5656488515,140,32.2,5656488517,141,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801939765,4,43,1,0,1,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-04-16T16:31:08.725Z,2025-04-16T16:32:07Z,dm6xpphbyyooqriwaambi7njd,F. Krogstad,,5656488631,141,45.1,5656488635,213,0.24,5656488629,140,51.4,5656488633,212,21.0,5656489137,144,1,5656488627,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801939787,5,1,1,0,2,8gxd9ry2580pu1b1dd5ny9ymy,1,37.6,53.0,2025-04-16T16:31:18.582Z,2025-04-16T16:34:14Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,5656490151,212,23.2,5656490149,141,86.9,5656490153,213,1.68,5656490145,56,Back,5656490147,140,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801939789,6,1,1,0,3,8gxd9ry2580pu1b1dd5ny9ymy,0,36.8,90.6,2025-04-16T16:31:19.709Z,2025-04-17T14:26:56Z,615e0bjcd0tyge047sy43y5sl,M. Spelmann,,5656490479,56,Center,5656490631,1,,5657827645,155,,5656490483,141,70.9,5656490487,213,6.04,5656490485,212,55.2,5656490481,140,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801939777,4,1,1,0,11,6wwwud48qahpwrfxs20334qk5,1,33.6,29.4,2025-04-16T16:31:26.949Z,2025-04-16T16:31:27Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,5656488665,140,30.5,5656488671,213,4.43,5656488667,141,12.9,5656488663,56,Back,5656488669,212,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801939781,5,1,1,0,11,6wwwud48qahpwrfxs20334qk5,1,30.5,12.9,2025-04-16T16:31:27.455Z,2025-04-16T16:31:29Z,7rt4wpc0qphwnvhn8jeazesfe,F. Winther,,5656488687,212,18.0,5656488681,56,Back,5656488685,141,24.9,5656488689,213,2.67,5656488683,140,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801939793,6,1,1,0,13,6wwwud48qahpwrfxs20334qk5,1,15.2,24.9,2025-04-16T16:31:29.559Z,2025-04-16T16:31:32Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,5656488709,140,6.6,5656488715,213,2.07,5656488707,56,Back,5656488713,212,18.9,5656488711,141,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801939805,7,1,1,0,16,6wwwud48qahpwrfxs20334qk5,1,6.7,49.4,2025-04-16T16:31:32.079Z,2025-04-16T16:31:36Z,eiy7fhqxdx3ypg4dq4454hpbe,V. Birksø,,5656488753,56,Back,5656488761,213,5.62,5656488759,212,37.7,5656488751,155,,5656488755,140,35.0,5656488763,1,,5656488757,141,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801939811,8,1,1,0,20,6wwwud48qahpwrfxs20334qk5,1,46.6,24.3,2025-04-16T16:31:36.007Z,2025-04-16T16:31:38Z,7rt4wpc0qphwnvhn8jeazesfe,F. Winther,,5656488799,141,73.8,5656488803,213,1.11,5656488801,212,37.5,5656488797,140,62.4,5656488805,1,,5656488795,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2801939817,9,1,1,0,22,6wwwud48qahpwrfxs20334qk5,1,63.3,74.2,2025-04-16T16:31:38.752Z,2025-04-16T16:31:42Z,1ai0gvdx68lxclbj6m255w72t,S. Crone,,5656488833,141,83.0,5656488835,212,7.0,5656488831,140,66.7,5656488837,213,1.03,5656488829,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
