id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/15/value
2786025837,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-03-09T12:08:10.070Z,2025-03-09T16:04:05Z,,,,,5568993665,59,"1, 4, 2, 6, 9, 73, 10, 47, 49, 17, 8, 7, 13, 18, 19, 20, 22, 23, 27, 5",5568993669,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5569136801,194,a7eramyy1bd8msxmg84ctc8ut,5568993661,30,"64vlnkuqfh7rnymg8qku8amwa, duahzgqspyuy2gu31u3s8ky96, bvw5oc4c040ey5dt5wn0choiy, egwhlgopjtjkop7ozy7ltk1cl, 9l89n30nejpn2u22ygvchwnze, oywgthoxa153nf48la1j8v10, 9nafz0c0x2qvmo5ldm0djmcq1, 9gr9rdahnavv0irjauh5xim8k, ju24rgwcctj5yizl54o91gfe, 11cna826ls27ahux2w0ckapqt, a7eramyy1bd8msxmg84ctc8ut, 139g7ilwvcpl519v3scnweg2d, cah3jvfqu1p9qqqrmncy5d4pg, ag1psg17osvgbq5fz9xo7kmj8, 8rn42gm9xm3yunk883yan9vdg, bh06w40pwo6dy3cjrw3r2i0ru, 5hr1cb6e6xb3eyjnau7w4825l, 4csz412vb3lquessbnf999ct0, 6t6k24gn6zwxz1g6c3n4ph0q, abrdu87vmuqj50ebgalr3c7op",5568993671,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5568993667,130,4,5568993663,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5569136045,197,28107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786028431,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-03-09T12:13:31.902Z,2025-03-09T16:09:46Z,,,,,5569007297,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5569007295,130,13,5569007289,30,"c4esrbgbv6v715768v2cb676d, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, 81c40rn7lrb39qu0sam8kv6dw, 4rhxehi019n7z1z1m7a39w1sk, g2cgdv428rmpmb0om40ldses, cf6zq49y8v1ekw07e7yi3uac, bwozpgcm48s08t1glxfgjajmd, d106tu53y5q02yu36iojbou8k, 7pnxa8wzxx5qxevcckxdd62tx, m031ocyfq011rual3olkegdm, 4lac0f1ev5usxpka7gaev3hii, d1qyvtgj16160ufegxkspgb9w, 7h02v4ymnko5fh01iylbh34es, 35og29e19w0ykeqcvudhpgr8, emakjdiju8z2peey3ytjahz6y, ass2un9by50uzrp6i9njn7nkk, 3wx08y3aabvejd8phcglis3dg, e0nkqbugb4xkpluu5e42zf2ms, em0yawcqyqwf53hbj0zlz4duc",5569007291,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5569135303,197,17324,5569049261,194,bwozpgcm48s08t1glxfgjajmd,5569007299,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5569007293,59,"1, 2, 3, 4, 14, 26, 18, 6, 27, 7, 15, 8, 9, 10, 12, 16, 20, 22, 25, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786053717,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-03-09T13:00:13.705Z,2025-03-09T13:00:14Z,,,,,5569139189,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786053713,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-03-09T13:00:13.705Z,2025-03-09T13:00:15Z,,,,,5569139171,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786053725,3,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,50.0,50.0,2025-03-09T13:00:13.735Z,2025-03-09T13:00:17Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5569139259,141,55.4,5569139265,279,S,5569139255,56,Back,5569139263,213,2.92,5569139257,140,34.3,5569139261,212,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786053781,4,1,1,0,3,7gkglopz9cjsysn2u6sbhuvc5,0,34.3,55.4,2025-03-09T13:00:17.190Z,2025-03-09T13:00:20Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,,5569139591,212,45.4,5569139583,157,,5569139593,213,5.47,5569139587,140,63.9,5569139589,141,6.7,5569139595,1,,5569139585,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786053797,3,44,1,0,7,bd4qakf7j0wwie8wke9km7uj8,1,37.6,79.1,2025-03-09T13:00:21.498Z,2025-03-09T15:03:33Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5569154835,233,27,5569139657,285,,5569139655,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786056745,27,44,1,0,7,7gkglopz9cjsysn2u6sbhuvc5,0,62.4,20.9,2025-03-09T13:00:21.499Z,2025-03-09T15:03:33Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5569154805,286,,5569154803,56,Right,5569154839,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786053813,4,1,1,0,8,bd4qakf7j0wwie8wke9km7uj8,0,38.4,86.8,2025-03-09T13:00:21.833Z,2025-03-09T13:00:22Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5569139739,56,Back,5569139743,141,82.0,5569139741,140,39.8,5569139737,3,,5569139747,213,5.14,5569139745,212,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786053821,5,1,1,0,9,7gkglopz9cjsysn2u6sbhuvc5,0,64.4,12.6,2025-03-09T13:00:22.823Z,2025-03-09T13:00:23Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5569139777,140,68.3,5569139775,56,Center,5569139781,212,8.8,5569139779,141,24.0,5569139783,213,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786056729,25,61,1,0,9,bd4qakf7j0wwie8wke9km7uj8,1,35.4,87.1,2025-03-09T13:00:23.013Z,2025-03-09T13:03:41Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5569154741,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786053917,5,1,1,0,11,bd4qakf7j0wwie8wke9km7uj8,0,31.8,66.6,2025-03-09T13:00:25.217Z,2025-03-09T15:10:36Z,4rhxehi019n7z1z1m7a39w1sk,K. Nyegaard,,,5569140227,157,,5569140233,141,67.2,5569140239,1,,5569140231,140,79.9,5569140229,56,Center,5569140235,212,50.5,5569140237,213,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054015,6,1,1,0,15,7gkglopz9cjsysn2u6sbhuvc5,1,26.6,40.0,2025-03-09T13:00:29.527Z,2025-03-09T13:00:34Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5569140689,140,34.2,5569140693,212,17.3,5569140687,56,Back,5569140691,141,17.4,5569140697,213,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054059,7,1,1,0,21,7gkglopz9cjsysn2u6sbhuvc5,1,35.1,14.0,2025-03-09T13:00:34.718Z,2025-03-09T13:00:36Z,9l89n30nejpn2u22ygvchwnze,L. Steffensen,,,5569140915,141,30.4,5569140917,212,25.4,5569140911,56,Back,5569140921,213,2.69,5569140913,140,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054109,8,1,1,0,22,7gkglopz9cjsysn2u6sbhuvc5,0,13.4,30.4,2025-03-09T13:00:36.454Z,2025-03-09T13:00:40Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5569141155,140,40.5,5569141159,212,28.9,5569141161,213,6.12,5569141151,157,,5569141157,141,23.4,5569141153,56,Back,5569141163,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054141,6,61,1,0,27,bd4qakf7j0wwie8wke9km7uj8,0,57.9,91.2,2025-03-09T13:00:41.627Z,2025-03-09T13:00:41Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5569141291,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054181,7,5,1,0,28,bd4qakf7j0wwie8wke9km7uj8,0,58.0,101.6,2025-03-09T13:00:41.839Z,2025-03-09T15:02:32Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5569141485,56,Left,5569141487,347,,5569141775,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054229,9,5,1,0,28,7gkglopz9cjsysn2u6sbhuvc5,1,42.0,-1.6,2025-03-09T13:00:41.839Z,2025-03-09T15:02:32Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5569141715,347,,5569141755,233,7,5569141713,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054253,10,1,1,0,36,7gkglopz9cjsysn2u6sbhuvc5,0,46.6,0.0,2025-03-09T13:00:49.894Z,2025-03-09T13:00:51Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5569141797,107,,5569141805,212,21.2,5569141807,213,0.53,5569141801,140,64.0,5569141799,56,Right,5569141803,141,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054263,8,1,1,0,38,bd4qakf7j0wwie8wke9km7uj8,0,29.1,89.0,2025-03-09T13:00:52.497Z,2025-03-09T13:00:53Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5569141855,212,5.7,5569141849,56,Back,5569141859,213,6.18,5569141851,140,34.5,5569141847,3,,5569141853,141,88.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054267,11,61,1,0,39,7gkglopz9cjsysn2u6sbhuvc5,1,63.9,15.3,2025-03-09T13:00:53.275Z,2025-03-09T13:00:53Z,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,,,5569141873,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054287,12,44,1,0,40,7gkglopz9cjsysn2u6sbhuvc5,1,65.2,22.9,2025-03-09T13:00:54.456Z,2025-03-09T15:03:34Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5569141967,286,,5569142001,233,9,5569141963,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054283,9,44,1,0,40,bd4qakf7j0wwie8wke9km7uj8,0,34.8,77.1,2025-03-09T13:00:54.457Z,2025-03-09T15:03:34Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5569141941,285,,5569142013,233,12,5569141939,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054291,13,1,1,0,41,7gkglopz9cjsysn2u6sbhuvc5,0,63.6,31.3,2025-03-09T13:00:55.078Z,2025-03-09T15:09:21Z,11cna826ls27ahux2w0ckapqt,K. Kusk,,,5569141981,140,68.3,5569141987,213,6.07,5569141977,3,,5569141985,212,5.1,5569141983,141,29.7,5569141979,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054399,10,1,1,0,42,bd4qakf7j0wwie8wke9km7uj8,0,33.4,77.8,2025-03-09T13:00:56.065Z,2025-03-09T13:01:05Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5569142515,140,90.1,5569142519,212,61.8,5569142523,1,,5569142517,141,100.0,5569142511,157,,5569142521,213,0.27,5569142513,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
