id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2792067775,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-03-28T17:03:12.379Z,2025-03-28T20:40:47Z,,,,5602277657,59,"1, 4, 2, 73, 8, 9, 6, 20, 18, 22, 10, 3, 5, 17, 23, 27, 30, 31, 47, 49",5602277653,30,"64vlnkuqfh7rnymg8qku8amwa, duahzgqspyuy2gu31u3s8ky96, bvw5oc4c040ey5dt5wn0choiy, oywgthoxa153nf48la1j8v10, a7eramyy1bd8msxmg84ctc8ut, 9l89n30nejpn2u22ygvchwnze, egwhlgopjtjkop7ozy7ltk1cl, bh06w40pwo6dy3cjrw3r2i0ru, ag1psg17osvgbq5fz9xo7kmj8, 5hr1cb6e6xb3eyjnau7w4825l, 9nafz0c0x2qvmo5ldm0djmcq1, 6gi9kejni27hjp7b43djczz6d, abrdu87vmuqj50ebgalr3c7op, 11cna826ls27ahux2w0ckapqt, 4csz412vb3lquessbnf999ct0, 6t6k24gn6zwxz1g6c3n4ph0q, 1655gyu9bjnslw7vfloe40h2i, 9vbxe5gvruap8h546efz3nx1w, 9gr9rdahnavv0irjauh5xim8k, ju24rgwcctj5yizl54o91gfe",5603056585,194,a7eramyy1bd8msxmg84ctc8ut,5602277659,130,11,5602277661,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5602277655,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5602277663,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5602388379,197,23642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792068133,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-03-28T17:04:02.299Z,2025-03-28T17:59:42Z,,,,5602279505,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, akiwokthm1z7rbifshqhs24t1, 5i6n6yne6fh410vk7p7kkokmi, 5z7y55t2o577r8ki3i5855as, 559w0q3q2smb3aeotyi724s9g, 2tcdx5rp7vujnlid4oqqxdogk, 7l7f98nn8gohmdacsdb2labkk, 1fjkjzsei9slx2t4zhsqdkve1, 1n4eldqa7h9jvcx1693zqu06i, e0u730to91qqtvvx16uhajz10, 3rok7i8nrt4yzx2melj4qiuqc, f0nicq49lzng7vjxm5gcpij8, uiyol728wan4mxco2foplknp, 3avg1grraylzm6xjt5kt18is4, 74gioldvq6q6xgb3q7k1bv7dg, 85a9bmnu6fqvhlff28qm0e0a1, 21bafxfg7hy0agd0upyqxw0a2",5602279513,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5602279517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5602279511,130,17,5602279509,59,"1, 3, 11, 4, 7, 25, 6, 34, 9, 8, 22, 14, 16, 17, 23, 26, 27, 29",5602279515,194,5z7y55t2o577r8ki3i5855as,5602387347,197,16110,5602279507,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089431,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2025-03-28T18:00:17.513Z,2025-03-28T18:00:17Z,,,,5602391481,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089433,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-03-28T18:00:17.513Z,2025-03-28T18:00:19Z,,,,5602391483,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089443,3,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,50.0,50.0,2025-03-28T18:00:17.514Z,2025-03-28T18:00:21Z,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,5602391541,141,56.1,5602391539,140,27.1,5602391543,212,24.4,5602391547,279,S,5602391545,213,2.97,5602391537,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089469,4,1,1,0,3,7gkglopz9cjsysn2u6sbhuvc5,0,26.8,58.5,2025-03-28T18:00:20.886Z,2025-03-28T18:00:23Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,5602391689,213,5.76,5602391679,157,,5602391685,141,23.7,5602391691,1,,5602391687,212,47.2,5602391683,140,65.7,5602391681,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089473,3,1,1,0,6,aqtkb4mgrz8c6iqfufj6qjbv9,0,29.7,81.5,2025-03-28T18:00:24.011Z,2025-03-28T19:59:27Z,akiwokthm1z7rbifshqhs24t1,P. Larsen,,5602391725,212,53.0,5602391719,56,Center,5602391729,1,,5602391721,140,74.1,5602391717,157,,5602391727,213,5.79,5602391723,141,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089557,5,1,1,0,17,7gkglopz9cjsysn2u6sbhuvc5,1,18.7,34.2,2025-03-28T18:00:34.886Z,2025-03-28T18:01:14Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,5602392061,213,6.00,5602392059,212,35.9,5602392063,1,,5602392055,140,51.5,5602392057,141,19.4,5602392053,56,Right,5602393519,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089559,6,1,1,0,21,7gkglopz9cjsysn2u6sbhuvc5,0,51.5,19.4,2025-03-28T18:00:38.527Z,2025-03-28T20:06:02Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,5602392079,213,0.19,5602393677,168,,5602392075,141,22.4,5602392073,140,61.7,5602392077,212,10.9,5602392071,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2792089567,4,1,1,0,21,aqtkb4mgrz8c6iqfufj6qjbv9,0,30.5,78.1,2025-03-28T18:00:38.954Z,2025-03-28T19:59:28Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,5602392125,157,,5602392129,140,63.1,5602392135,213,6.22,5602392137,1,,5602392133,212,34.3,5602392127,56,Center,5602392131,141,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
