id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2752918297,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-11-29T17:07:19.808Z,2024-11-29T17:56:37Z,,,,,5389177379,59,"99, 15, 29, 3, 5, 32, 33, 8, 22, 16, 24, 1, 2, 9, 12, 13, 18, 25",5389177385,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5389268095,194,f58yr2jmfp8kpgprfxbokt1t6,5389268097,197,12587,5389177383,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5389177375,30,"6sdv4s8oz558wfhx72vwlpvu2, 2qedb8t85t1ieeed9613c9crt, ekx0wotp433tuaw4g93nybjmc, 8ewvm6ux4yvpwgrzjkc1chqwa, dqssvdpt2iwg8qn9wto3miind, 3ywgt5v070xudujs9f7cuqm7d, 4uuqid6t4nspn0wspyltz3bx0, f58yr2jmfp8kpgprfxbokt1t6, 6bajck5osvj7trnwt2a5mc3dg, dyzzo6n83rg4fpvmqqa69moes, 9fvf8z6p8ok0n5vu999ysfywa, 52vwj2s29n7wngablotd7pboq, b55jtl3ixolidn6cvc4t90efo, 9618hk1lq7i6see347k7plkyy, e3546n3qj447qgmizao50zx1w, aszp26w7k6ycpwmcpvfteov84, 8h3cyhuw5049gcxrsld3rw1ec, cqgmx6eiriomccxfhykh31r10",5389177377,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",5389177381,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752921151,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-11-29T17:17:50.238Z,2024-11-29T17:56:23Z,,,,,5389193893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5389193883,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, eso2tbbpnxu9qvx6zy07m5jx0, 5w0giylttgiapseaw6qky0mxg, 5lu7bn7uec3zjqpoi1x81gbu1, 4i0jiisff5k1efcgf27skpqfo, 6k7khwtkxpem9z17bl5rrf2p6, dfxs5u8rdcxhzp33aks3acdn8, 3epwf56ozg73hueacwmckk0r9, 9dh7cnu4uzbraeck0t5iqlj4k, cqsc3mj8klukkgutdrpegybdg, a48bpdpt0siemxqtr3rubwbu, 81w1fqi66z0ibawynhraybaxg, bdz03qovxerzrv12lgljae1p0, cl4xl80n4gew1ox03r3ooshrd, dsfbfzwy3c06mu50ee89qrbsa, 4lxxyqy78jkglhv2w6crzcnsa, 2h94np282g0qtzal1czznequi, 61vr9xr91fr4g6ayzga5vn9w5, 4m9sp9mxlsjk6fv7v218yqfv9",5389267799,194,8uhv14rin2znrr0wqgvcc2f2t,5389193887,59,"1, 25, 14, 18, 4, 34, 22, 20, 11, 17, 21, 9, 10, 12, 15, 19, 24, 31, 33, 45",5389193885,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5389193891,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5389267801,197,21756,5389193889,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936131,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-11-29T17:59:40.499Z,2024-11-29T17:59:40Z,,,,,5389271999,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936133,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-11-29T17:59:40.499Z,2024-11-29T17:59:42Z,,,,,5389272005,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936149,3,1,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,50.0,50.0,2024-11-29T17:59:40.500Z,2024-11-29T17:59:45Z,f58yr2jmfp8kpgprfxbokt1t6,M. Vestergård,,,5389272099,212,18.6,5389272097,141,48.5,5389272095,140,32.3,5389272103,279,S,5389272093,56,Back,5389272101,213,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936161,4,1,1,0,4,b8oqgvx1ijeyn6y1cn6929ix4,1,30.6,50.6,2024-11-29T17:59:44.841Z,2024-11-29T18:04:20Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,,5389272131,56,Right,5389272139,213,5.72,5389272141,1,,5389272133,140,74.4,5389272137,212,54.5,5389272135,141,7.6,5389280805,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936167,5,1,1,0,6,b8oqgvx1ijeyn6y1cn6929ix4,0,74.4,7.6,2024-11-29T17:59:47.450Z,2024-11-29T17:59:48Z,2qedb8t85t1ieeed9613c9crt,C. Enemark,,,5389272163,213,0.53,5389272153,3,,5389272157,140,79.2,5389272155,56,Right,5389272159,141,11.9,5389272161,212,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936189,3,12,1,0,9,a9vw7ikerpr4cuweeeka5aneg,1,11.8,93.2,2024-11-29T17:59:49.607Z,2024-11-29T17:59:54Z,cqsc3mj8klukkgutdrpegybdg,K. Karikari,,,5389272273,213,2.14,5389272267,140,10.2,5389272265,56,Back,5389272277,233,6,5389272275,397,,5389272269,141,97.1,5389272271,212,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936181,6,74,1,0,9,b8oqgvx1ijeyn6y1cn6929ix4,1,84.4,12.8,2024-11-29T17:59:49.608Z,2024-11-29T17:59:55Z,6bajck5osvj7trnwt2a5mc3dg,I. Tånnander,,,5389272215,56,Right,5389272217,285,,5389272295,233,3,5389272227,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752936195,4,12,1,0,10,a9vw7ikerpr4cuweeeka5aneg,1,5.7,72.3,2024-11-29T17:59:51.230Z,2024-11-29T18:01:27Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5389272301,56,Back,5389272325,167,,5389272309,213,1.53,5389272303,140,6.5,5389272305,141,100.0,5389272307,212,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
