id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/11/value,qualifier/15/value,qualifier/16/value,qualifier/13/value,qualifier/17/value
2730472845,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-10-05T12:06:26.587Z,2024-10-05T12:58:49Z,,,,,5266565101,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5266565085,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5266565091,130,4,5266869589,197,11563,5266565083,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 4bojyjyvkdgm1lss6n37q2t5g, 7ztdirfvd9d0x2yw1v051xzbo, dgcbjg2ymgi70yv1n8ugkv02c, 3od63zrf6cay4d6ync9i2iuqc, 4m3slt6iikaxklqd12i719rl5, ayxi2m0g0pm6rl1ba5pto66z9, 9jqox80arzpytv1b136jobhpm, y4dl1rer075c9wz6zhx7skbt, 289rctmvd5ppy9zqn98jbe4et, cu2l7ju3t72stqhwaurrnqbqh, bvc80w5ai425plu54nhgx5fxl, 7rt4wpc0qphwnvhn8jeazesfe, 6wfu6s6xo5zjeke21fgbouql0, 6lb4k3g75nzgi8bp1y1mzxkru, ei3xmwfz8dah5e4lcbu4w98t1, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck",5266869587,194,3od63zrf6cay4d6ync9i2iuqc,5266565087,59,"90, 14, 17, 13, 3, 5, 11, 7, 16, 97, 98, 1, 2, 6, 8, 9, 18, 19, 20",5266565097,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730493943,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-10-05T12:23:07.040Z,2024-10-05T13:33:13Z,,,,,5266676283,130,8,5266676287,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5266676281,59,"1, 25, 14, 17, 4, 24, 22, 20, 11, 21, 15, 8, 9, 10, 12, 18, 31, 33, 34, 45",5266676279,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5266676285,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5266676277,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, eso2tbbpnxu9qvx6zy07m5jx0, 9dh7cnu4uzbraeck0t5iqlj4k, 5lu7bn7uec3zjqpoi1x81gbu1, 4lxxyqy78jkglhv2w6crzcnsa, 6k7khwtkxpem9z17bl5rrf2p6, dfxs5u8rdcxhzp33aks3acdn8, 3epwf56ozg73hueacwmckk0r9, cqsc3mj8klukkgutdrpegybdg, cl4xl80n4gew1ox03r3ooshrd, cphvg2nexeks2vwd2ezb4zuok, a48bpdpt0siemxqtr3rubwbu, 81w1fqi66z0ibawynhraybaxg, bdz03qovxerzrv12lgljae1p0, 5w0giylttgiapseaw6qky0mxg, 2h94np282g0qtzal1czznequi, 61vr9xr91fr4g6ayzga5vn9w5, 4i0jiisff5k1efcgf27skpqfo, 4m9sp9mxlsjk6fv7v218yqfv9",5266873331,197,16912,5266873329,194,8uhv14rin2znrr0wqgvcc2f2t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730532295,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2024-10-05T13:01:24.587Z,2024-10-05T13:01:26Z,,,,,5266880039,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730532267,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-10-05T13:01:24.587Z,2024-10-05T13:01:24Z,,,,,5266879893,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730532319,3,1,1,0,0,6wwwud48qahpwrfxs20334qk5,1,50.2,50.0,2024-10-05T13:01:24.588Z,2024-10-05T13:01:28Z,9jqox80arzpytv1b136jobhpm,A. Bøndergaard,,,5266880163,279,S,5266880161,213,3.18,5266880155,140,33.6,5266880159,212,17.4,5266880157,141,49.0,5266880153,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730532393,4,1,1,0,3,6wwwud48qahpwrfxs20334qk5,1,35.4,57.2,2024-10-05T13:01:28.276Z,2024-10-05T13:01:33Z,7ztdirfvd9d0x2yw1v051xzbo,W. Madsen,,,5266880539,140,30.0,5266880545,213,1.85,5266880537,56,Back,5266880543,212,20.6,5266880541,141,86.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730532441,5,1,1,0,8,6wwwud48qahpwrfxs20334qk5,1,28.3,86.3,2024-10-05T13:01:32.940Z,2024-10-05T13:01:36Z,4bojyjyvkdgm1lss6n37q2t5g,D. Kristjánsson,,,5266880781,213,4.81,5266880775,140,28.6,5266880779,212,3.3,5266880777,141,81.4,5266880773,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730532491,6,1,1,0,11,6wwwud48qahpwrfxs20334qk5,0,36.7,83.3,2024-10-05T13:01:36.444Z,2024-10-05T13:01:40Z,3od63zrf6cay4d6ync9i2iuqc,F. Rieper,,,5266881075,212,35.1,5266881071,140,70.1,5266881079,1,,5266881069,56,Left,5266881077,213,0.00,5266881073,141,83.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730532515,3,59,1,0,17,a9vw7ikerpr4cuweeeka5aneg,1,26.8,23.1,2024-10-05T13:01:41.703Z,2024-10-05T13:01:42Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,,5266881227,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730532523,4,1,1,0,17,a9vw7ikerpr4cuweeeka5aneg,0,26.8,23.1,2024-10-05T13:01:42.533Z,2024-10-05T13:01:43Z,8uhv14rin2znrr0wqgvcc2f2t,M. Delač,,,5266881295,1,,5266881285,56,Back,5266881291,212,17.1,5266881289,141,37.9,5266881283,157,,5266881293,213,0.63,5266881287,140,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
