id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value
2786021933,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-03-09T11:59:36.250Z,2025-03-09T15:21:26Z,,,,,5569134219,197,11501,5568973989,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5568973983,59,"1, 30, 23, 6, 25, 2, 16, 8, 9, 14, 22, 4, 7, 10, 15, 21, 24, 26, 28, 29",5569139145,194,a30gduuv9d1s4pkthgu2jhyol,5568973981,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5568973987,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5568973979,30,"bl9em2c9quspd4afzwqn81xxw, 45dqseup0cmujyl4nprr29y0a, 6dzg820946z4848whaa6ny2nd, 4oxf446ya7jwulq6hxlp8r36d, 630daj1ef34rczbhng0eoncvd, a30gduuv9d1s4pkthgu2jhyol, 1cumsropo1r0msfzxxteml1w, dm6xpphbyyooqriwaambi7njd, 9tt9eo9bsff7dp7aqjal1obo4, 9r07ooissj5mz15g87x5rmbx1, dncrhma6gwcn6pxiu7hfc6qz8, aajgld24isoem1ycoysyxxp1w, 2cup1vjw8n43kbzzxfflnmplg, 615e0bjcd0tyge047sy43y5sl, bfvdr7ckiersz26ya2kq9f1g4, 37rzipex1y0nhv8o2dr7h2bys, 5e5fuj7mbkpvf0bug32ixxc5x, 3njsc9nturnshsiofmiy19gr8, 3pk6hii2s8tbv2zux8mvbapec, 4qz1pnlx3d0m5wkhpocl0euj8",5568973985,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2786026391,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-03-09T12:09:14.586Z,2025-03-09T12:57:37Z,,,,,5568996539,130,8,5568996543,194,1se7wkenvs4elrapvdw9mdnje,5568996537,59,"1, 2, 21, 5, 3, 15, 11, 8, 14, 17, 12, 7, 9, 16, 19, 27, 32, 38, 31",5568996545,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5569133247,197,4652,5568996533,30,"7fkc01xxyl1trj3uav134ehyi, s8c0oxnoqt6zi7pi88rwawvd, 1se7wkenvs4elrapvdw9mdnje, bmkwmf5f2ssnw2cq7uga7yd5g, aqc0qritba195wf770gyd1149, c7buy99bjqmkmno8w5t0189d6, 6m4anciafmzc24s44xszymbc9, 15yli690oxmbr4dl1ksti2p9m, 4jve632xnmqujh4ioaxpaovai, 9n2nm6smh0txgv2482qbwhixg, ate1ymumg2iwzn8uyyf3ts222, 6hmsrr08cllpl4iumu92zskbt, 4mxciw9jsj9l437fd7bv78p91, 45bcgucg627rhrdgt8tn9hd9m, cqgmx6eiriomccxfhykh31r10, 418pvntm5e5kcoeyjjnzm7hg4, ayjuukbjjzrldkn4d4shfnggk, 5sha6xhovfmuzd7rolx1om39w, eps93ehgmx8ft3kjo4zvy63o4",5568996541,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5568996535,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,
2786054251,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-03-09T13:00:50.494Z,2025-03-09T13:00:51Z,,,,,5569141795,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054243,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-03-09T13:00:50.494Z,2025-03-09T13:00:50Z,,,,,5569141771,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054279,3,1,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,50.1,50.0,2025-03-09T13:00:50.495Z,2025-03-09T13:00:54Z,9tt9eo9bsff7dp7aqjal1obo4,F. Høgh,,,5569141913,56,Back,5569141923,279,S,5569141915,140,40.2,5569141919,212,10.4,5569141917,141,49.9,5569141921,213,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054285,4,1,1,0,4,8gxd9ry2580pu1b1dd5ny9ymy,1,40.2,49.9,2025-03-09T13:00:54.734Z,2025-03-09T13:00:56Z,4oxf446ya7jwulq6hxlp8r36d,J. Gemmer,,,5569141969,213,3.73,5569141959,140,29.1,5569141957,56,Back,5569141965,212,14.0,5569141961,141,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054295,5,1,1,0,5,8gxd9ry2580pu1b1dd5ny9ymy,0,29.1,38.5,2025-03-09T13:00:56.246Z,2025-03-09T13:00:57Z,630daj1ef34rczbhng0eoncvd,M. Kiilerich,,,5569142005,56,Back,5569142007,140,35.6,5569142011,212,27.5,5569142015,213,4.96,5569142009,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054487,3,5,1,0,6,f1h34qp5zbfl489q8vnkhiq9s,1,65.2,101.0,2025-03-09T13:00:57.299Z,2025-03-09T15:53:23Z,4jve632xnmqujh4ioaxpaovai,T. Freriks,,,5569142941,347,,5569142937,56,Left,5569142985,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054299,6,5,1,0,6,8gxd9ry2580pu1b1dd5ny9ymy,0,34.8,-1.0,2025-03-09T13:00:57.299Z,2025-03-09T15:53:23Z,630daj1ef34rczbhng0eoncvd,M. Kiilerich,,,5569142025,347,,5569143023,233,3,5569142023,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2786054535,4,1,1,0,19,f1h34qp5zbfl489q8vnkhiq9s,1,68.6,100.0,2025-03-09T13:01:09.994Z,2025-03-09T13:01:13Z,1se7wkenvs4elrapvdw9mdnje,L. Montano,,,5569143199,107,,5569143201,56,Left,5569143207,212,9.8,5569143205,141,88.1,5569143209,213,5.01,5569143203,140,71.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
