id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/16/value
2817971825,1,34,16,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-05-23T16:12:46.237Z,2025-05-23T20:10:16Z,,,,5744995451,59,"29, 30, 23, 2, 25, 28, 8, 11, 9, 22, 19, 4, 6, 10, 13, 14, 15, 16, 27, 42",5744995457,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5745026103,197,11501,5744995447,30,"4qz1pnlx3d0m5wkhpocl0euj8, 45dqseup0cmujyl4nprr29y0a, 6dzg820946z4848whaa6ny2nd, a30gduuv9d1s4pkthgu2jhyol, 630daj1ef34rczbhng0eoncvd, 3pk6hii2s8tbv2zux8mvbapec, dm6xpphbyyooqriwaambi7njd, 6uwvbagahvoavs630k8uksxjp, 9tt9eo9bsff7dp7aqjal1obo4, dncrhma6gwcn6pxiu7hfc6qz8, 7ymn0ytcqi6l43nqraxt9s1zo, aajgld24isoem1ycoysyxxp1w, 4oxf446ya7jwulq6hxlp8r36d, 615e0bjcd0tyge047sy43y5sl, 3th83n9qum31wu53g68j5iwic, 9r07ooissj5mz15g87x5rmbx1, bfvdr7ckiersz26ya2kq9f1g4, 1cumsropo1r0msfzxxteml1w, 21i8eq6dgpzydeyrame6xp05w, db671oj1jx2uknf12t8b3s7x0",5745026101,194,a30gduuv9d1s4pkthgu2jhyol,5744995449,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5744995453,130,13,5744995455,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817972415,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-05-23T16:17:08.907Z,2025-05-23T20:19:45Z,,,,5744999041,130,13,5744999035,30,"8uhv14rin2znrr0wqgvcc2f2t, cl4xl80n4gew1ox03r3ooshrd, eso2tbbpnxu9qvx6zy07m5jx0, bdz03qovxerzrv12lgljae1p0, 61vr9xr91fr4g6ayzga5vn9w5, 4lxxyqy78jkglhv2w6crzcnsa, 51ymbnikkta369rn3exb1g7bo, 5w0giylttgiapseaw6qky0mxg, 3epwf56ozg73hueacwmckk0r9, 7hso2bszmf4qal560jhrg2904, c2x3pewqx6d9q3c5dup0udxw, 6qko3f8w2ap9ynbuq2g55i5n8, 81w1fqi66z0ibawynhraybaxg, 77zrjzfkfp7hozuj05ktwhtqt, 9dh7cnu4uzbraeck0t5iqlj4k, dfxs5u8rdcxhzp33aks3acdn8, cqsc3mj8klukkgutdrpegybdg, 6k7khwtkxpem9z17bl5rrf2p6, 7353ysa16qgg30b9z5qiagys4, c6op4xhctaxh6s4db41m19tec",5744999039,59,"1, 15, 14, 12, 33, 24, 16, 18, 11, 27, 26, 3, 10, 13, 17, 20, 21, 22, 28, 30",5744999045,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5745025801,197,16912,5744999037,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5744999043,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5745025799,194,8uhv14rin2znrr0wqgvcc2f2t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977067,2,32,1,0,0,8gxd9ry2580pu1b1dd5ny9ymy,1,0.0,0.0,2025-05-23T17:01:57.592Z,2025-05-23T17:01:59Z,,,,5745027401,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977065,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-05-23T17:01:57.592Z,2025-05-23T17:01:57Z,,,,5745027399,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977077,3,1,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,50.0,50.0,2025-05-23T17:01:57.593Z,2025-05-23T17:02:02Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,5745027421,212,18.2,5745027417,140,33.2,5745027425,279,S,5745027419,141,56.6,5745027415,56,Back,5745027423,213,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977081,4,1,1,0,4,a9vw7ikerpr4cuweeeka5aneg,1,32.8,54.3,2025-05-23T17:02:02.073Z,2025-05-23T17:03:19Z,61vr9xr91fr4g6ayzga5vn9w5,A. Ludwig,,5745027443,157,,5745027451,212,45.9,5745027455,1,,5745027447,140,72.1,5745027445,56,Center,5745027449,141,24.7,5745027453,213,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977085,5,44,1,0,6,a9vw7ikerpr4cuweeeka5aneg,1,69.2,27.2,2025-05-23T17:02:03.800Z,2025-05-23T17:02:08Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,5745027479,233,3,5745027465,286,,5745027463,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977083,3,44,1,0,6,8gxd9ry2580pu1b1dd5ny9ymy,0,30.8,72.8,2025-05-23T17:02:03.801Z,2025-05-23T17:02:07Z,6uwvbagahvoavs630k8uksxjp,M. Kaalund,,5745027501,233,5,5745027459,56,Back,5745027461,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977101,6,1,1,0,6,a9vw7ikerpr4cuweeeka5aneg,1,72.1,24.7,2025-05-23T17:02:04.024Z,2025-05-23T17:02:09Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,5745027545,141,17.4,5745027543,140,74.7,5745027539,3,,5745027541,56,Right,5745027547,212,5.7,5745027549,213,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2817977103,7,44,1,0,8,a9vw7ikerpr4cuweeeka5aneg,1,72.8,23.4,2025-05-23T17:02:05.903Z,2025-05-23T17:02:14Z,7hso2bszmf4qal560jhrg2904,Y. Ouorou,,5745027553,56,Center,5745027555,286,,5745027571,233,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
