id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2805748365,1,34,16,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-04-25T16:14:57.757Z,2025-04-25T19:21:37Z,,,,,5677537241,130,13,5678227345,197,16344,5677549951,194,5z7y55t2o577r8ki3i5855as,5677537239,59,"1, 3, 27, 4, 7, 25, 6, 12, 8, 9, 17, 2, 10, 11, 16, 23, 26, 29, 34",5677537235,30,"8mswl5vzza12hylodrrsq3zvu, 81gka3mi69fh8gyehyy8xo9as, 85a9bmnu6fqvhlff28qm0e0a1, 5i6n6yne6fh410vk7p7kkokmi, 5z7y55t2o577r8ki3i5855as, 559w0q3q2smb3aeotyi724s9g, 2tcdx5rp7vujnlid4oqqxdogk, 5dlh0fa9yo6z283w9p58xmnoq, 1n4eldqa7h9jvcx1693zqu06i, 1fjkjzsei9slx2t4zhsqdkve1, uiyol728wan4mxco2foplknp, 9350utk4onh2hv5jznxqpkd7t, bop31qof3lon7u6rvmb68ktzp, akiwokthm1z7rbifshqhs24t1, f0nicq49lzng7vjxm5gcpij8, 3avg1grraylzm6xjt5kt18is4, h7epk76hlpd9fi38jzyu7ac4, 21bafxfg7hy0agd0upyqxw0a2, 7l7f98nn8gohmdacsdb2labkk",5677537243,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5677537245,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5677537237,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,
2805749877,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-04-25T16:20:28.795Z,2025-04-25T20:04:43Z,,,,,5677549929,194,2pm5oqzyonn0dysa5nszgq3xm,5677546275,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 67p0s4o54xcmiustgy8k5gljo, 7al9w77ailhli8g487tkl32tw, 11ngumxajbizagbzpm5kompxx, 74m58jsznzu8l89b8h7rkh1bd, d2ukggo2v5jsw4pctznmaijo4, abhfq12njxxutqjtb9zvcusyc, 1icurh5jrnw1e6jdgqxjnhdnu, 619s1phj5bkgkug3aszc1y9cl, 444n8m1tirk6lp739iigw42c5, 6orujbbswf771s9rv0dcd8kd0, eu574m78nqv6a5638b44oquqc, bwxxfcjd31gykfbpomwr1od90, 5jv4a1295xd5oonpj9w9fy61g, k43cten7yb6p59yo0firhb84, 6k9ri9m1ha4sfqrfccl7ieyvo",5677546279,59,"1, 3, 21, 4, 16, 23, 6, 10, 20, 11, 5, 7, 8, 17, 24, 29, 30, 31, 32",5677546281,130,13,5677546277,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5677625185,197,28602,5677546283,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5677546285,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,
2805766127,2,32,1,0,0,aqtkb4mgrz8c6iqfufj6qjbv9,1,0.0,0.0,2025-04-25T17:00:47.018Z,2025-04-25T17:00:49Z,,,,,5677633151,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766113,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-04-25T17:00:47.018Z,2025-04-25T17:00:47Z,,,,,5677633103,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766147,3,1,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,50.2,50.0,2025-04-25T17:00:47.019Z,2025-04-25T17:00:50Z,d2ukggo2v5jsw4pctznmaijo4,A. Gøthler,,,5677633257,279,S,5677633253,212,16.9,5677633255,213,3.46,5677633249,140,34.9,5677633247,56,Back,5677633251,141,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766159,4,1,1,0,1,8cfkisxf1fkxdqtt6tx1tup48,1,37.1,42.1,2025-04-25T17:00:48.920Z,2025-04-25T17:00:52Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,,5677633319,56,Back,5677633323,141,24.6,5677633325,212,12.2,5677633327,213,4.49,5677633321,140,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766167,5,1,1,0,5,8cfkisxf1fkxdqtt6tx1tup48,0,33.9,21.3,2025-04-25T17:00:52.448Z,2025-04-25T17:00:53Z,7al9w77ailhli8g487tkl32tw,M. Westergren,,,5677633385,141,20.3,5677633383,140,74.7,5677633381,56,Right,5677633391,1,,5677633389,213,6.27,5677633387,212,42.8,5677633375,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766211,3,12,1,0,8,aqtkb4mgrz8c6iqfufj6qjbv9,1,34.6,77.9,2025-04-25T17:00:55.280Z,2025-04-25T17:01:01Z,5i6n6yne6fh410vk7p7kkokmi,G. Arndal-Lauritzen,,,5677633631,140,39.3,5677633629,56,Back,5677633633,141,83.0,5677633635,212,6.0,5677633637,213,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766181,6,1,1,0,8,8cfkisxf1fkxdqtt6tx1tup48,1,70.5,20.3,2025-04-25T17:00:55.832Z,2025-04-25T17:00:57Z,abhfq12njxxutqjtb9zvcusyc,Mohamad Al Naser,,,5677633481,213,1.97,5677633473,56,Center,5677633475,140,67.2,5677633477,141,32.5,5677633479,212,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2805766191,7,1,1,0,10,8cfkisxf1fkxdqtt6tx1tup48,0,63.5,21.9,2025-04-25T17:00:57.640Z,2025-04-25T17:00:59Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,,5677633541,213,0.49,5677633529,56,Center,5677633539,212,28.3,5677633535,140,87.2,5677633525,155,,5677633537,141,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
