id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/11/value,qualifier/8/value,qualifier/12/value
2740804367,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-10-28T17:23:42.444Z,2024-10-28T17:27:54Z,,,,,5322970311,59,"16, 20, 2, 8, 4, 5, 6, 7, 17, 18, 10, 1, 13, 14, 15, 21, 23, 24, 26, 30",5322970315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5322970321,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5322970313,130,8,5322970309,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5322970317,194,4clmd8g8jogdfvauhijd7n55h,5322970307,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, 97xbmht3t4t1p9iu6598oq7l5, dqtarwrqvkopmzbt2ovp2dln9, eq15hjcxpdrl5vca2q7s4tr3e, e9o7q10wnhex4e8eo47mobbvt, wha77a8wm7jyn32743y0w79x, axyrfq1u8nwcj2ss5498u8qhg, 2z8u8kyv91shp0la8alkn6kus, 5wmik73cqursg7sv3w14ue5pm, 2g019dl7zougqjo7usig0rf11, 4n002w0ii1wqwx8t5xc1bzf2s, 2uw6m0yavlvkkiob73hoywb56, 8f1mw21tbkct0slelpdznf7dg, 6eg3kxxg5aneckolraz03xzpw, 15jhbyn4wsbd865fd9djcwaok, 19wdr5lrjw3aqm0ap9nklwefo, ewh6t7yo6clfewu89uznll9uc, 80s55a7uw8kypoikefwhtdm5m",5322970319,197,4604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740805095,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-10-28T17:25:26.209Z,2024-10-28T21:25:39Z,,,,,5322974469,197,7812,5322974471,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5322974467,194,eas91my7qw7etoha5plxfk9yi,5322974463,130,4,5322974457,30,"7fkc01xxyl1trj3uav134ehyi, eas91my7qw7etoha5plxfk9yi, 1se7wkenvs4elrapvdw9mdnje, 7wo1hk736v1xhovvu2t2trw89, aqc0qritba195wf770gyd1149, 839pm7rmjp6q1bt52f7ek9vys, auv81snxkpk2ybxzi8giy5azt, 9n2nm6smh0txgv2482qbwhixg, 4jve632xnmqujh4ioaxpaovai, 6hmsrr08cllpl4iumu92zskbt, ate1ymumg2iwzn8uyyf3ts222, 37mo55lynu3blqnb8k9ln8k16, bmkwmf5f2ssnw2cq7uga7yd5g, 15yli690oxmbr4dl1ksti2p9m, bdxcd38y99nrbv72uh2v4fhg4, 6m4anciafmzc24s44xszymbc9, c7buy99bjqmkmno8w5t0189d6, 45bcgucg627rhrdgt8tn9hd9m, 98mkoolgahktzky97y0khdq1g, 418pvntm5e5kcoeyjjnzm7hg4",5322974459,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5322974465,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5322974461,59,"1, 2, 21, 10, 3, 25, 19, 17, 14, 7, 12, 4, 5, 8, 9, 11, 15, 16, 26, 27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740814443,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-10-28T17:44:16.096Z,2024-10-28T17:44:16Z,,,,,5323028207,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740814449,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-10-28T17:44:16.096Z,2024-10-29T15:16:04Z,,,,,5323028247,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740814457,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,49.6,50.1,2024-10-28T17:44:16.097Z,2024-10-28T17:44:19Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,,5323028287,279,S,5323028283,212,21.9,5323028285,213,3.20,5323028281,141,48.2,5323028277,56,Back,5323028279,140,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740814493,4,1,1,0,3,f1h34qp5zbfl489q8vnkhiq9s,0,28.8,48.2,2024-10-28T17:44:19.115Z,2024-10-29T13:47:51Z,aqc0qritba195wf770gyd1149,A. Skipper,,,5324330277,157,,5323028441,1,,5323028437,212,48.2,5323028439,213,0.37,5323028431,56,Center,5323028435,141,73.9,5323028433,140,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740814527,3,1,1,0,7,dbl7ir1qugqz8nvp1vzn8im50,0,23.3,16.3,2024-10-28T17:44:23.285Z,2024-10-28T17:45:01Z,wha77a8wm7jyn32743y0w79x,T. Trybull,,,5323028605,1,,5323028593,3,,5323028601,212,35.7,5323028603,213,6.03,5323028595,56,Right,5323028597,140,56.2,5323028599,141,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740814549,5,1,1,0,10,f1h34qp5zbfl489q8vnkhiq9s,0,43.3,83.5,2024-10-28T17:44:26.161Z,2024-10-28T17:44:27Z,839pm7rmjp6q1bt52f7ek9vys,J. Meyer,,,5323028743,140,60.1,5323028751,1,,5323028739,157,,5323028741,56,Left,5323028745,141,100.0,5323028747,212,21.5,5323028749,213,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740814635,4,5,1,0,11,dbl7ir1qugqz8nvp1vzn8im50,1,41.5,-1.5,2024-10-28T17:44:27.711Z,2024-10-28T19:18:43Z,wha77a8wm7jyn32743y0w79x,T. Trybull,,,5323029207,347,,5323029261,233,6,5323029205,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740814553,6,5,1,0,11,f1h34qp5zbfl489q8vnkhiq9s,0,58.5,101.5,2024-10-28T17:44:27.711Z,2024-10-28T19:18:43Z,839pm7rmjp6q1bt52f7ek9vys,J. Meyer,,,5323028771,56,Left,5323029267,233,4,5323028773,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
