id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2787800815,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-03-14T17:05:24.594Z,2025-03-14T17:57:43Z,,,,,5578965425,197,24385,5578870259,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5578870263,130,13,5578870267,194,bwozpgcm48s08t1glxfgjajmd,5578870257,30,"c4esrbgbv6v715768v2cb676d, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, 81c40rn7lrb39qu0sam8kv6dw, 4rhxehi019n7z1z1m7a39w1sk, g2cgdv428rmpmb0om40ldses, cf6zq49y8v1ekw07e7yi3uac, bwozpgcm48s08t1glxfgjajmd, 7h02v4ymnko5fh01iylbh34es, 7pnxa8wzxx5qxevcckxdd62tx, m031ocyfq011rual3olkegdm, 4lac0f1ev5usxpka7gaev3hii, d1qyvtgj16160ufegxkspgb9w, 35og29e19w0ykeqcvudhpgr8, ass2un9by50uzrp6i9njn7nkk, 3wx08y3aabvejd8phcglis3dg, e0nkqbugb4xkpluu5e42zf2ms, d106tu53y5q02yu36iojbou8k, 4ieyvppe24gqdkm2xv2xlaluc, em0yawcqyqwf53hbj0zlz4duc",5578870261,59,"1, 2, 3, 4, 14, 26, 18, 6, 10, 7, 15, 8, 9, 12, 20, 22, 25, 27, 30, 34",5578870265,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578870269,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2787801997,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-03-14T17:08:28.759Z,2025-03-14T22:01:34Z,,,,,5578876785,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578876777,59,"1, 3, 21, 4, 22, 23, 7, 6, 26, 5, 11, 14, 16, 17, 20, 24, 28, 29, 33, 31",5578876781,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5578876773,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 5nved2kta2hk8103hkyhq33hm, 7al9w77ailhli8g487tkl32tw, 619s1phj5bkgkug3aszc1y9cl, 11ngumxajbizagbzpm5kompxx, 3mcj3wypzq3lno1ehc0vif1sl, 1icurh5jrnw1e6jdgqxjnhdnu, abhfq12njxxutqjtb9zvcusyc, egxik3guom123v43rthy89c7o, 67p0s4o54xcmiustgy8k5gljo, 6orujbbswf771s9rv0dcd8kd0, d2ukggo2v5jsw4pctznmaijo4, eu574m78nqv6a5638b44oquqc, 3mgrufy83uhzs9liw8pwxi784, bwxxfcjd31gykfbpomwr1od90, 5jv4a1295xd5oonpj9w9fy61g, k43cten7yb6p59yo0firhb84",5578876783,194,619s1phj5bkgkug3aszc1y9cl,5578954455,197,9535,5578876775,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5578876779,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819031,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2025-03-14T18:00:19.170Z,2025-03-14T18:00:20Z,,,,,5578969087,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819021,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-03-14T18:00:19.170Z,2025-03-14T18:00:19Z,,,,,5578969029,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819035,3,1,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,49.8,49.9,2025-03-14T18:00:19.171Z,2025-03-14T18:00:21Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5578969103,140,55.0,5578969107,212,6.7,5578969113,278,,5578969105,141,44.3,5578969111,279,S,5578969109,213,5.67,5578969101,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819041,4,1,1,0,1,8cfkisxf1fkxdqtt6tx1tup48,1,44.0,35.8,2025-03-14T18:00:20.785Z,2025-03-14T18:02:15Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5578969141,213,5.68,5578969139,212,17.9,5578969135,140,58.0,5578969131,56,Right,5578969137,141,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819057,5,43,1,0,2,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-03-14T18:00:21.905Z,2025-03-14T18:02:17Z,11ngumxajbizagbzpm5kompxx,M. Chacón,,,5578969199,212,38.2,5578969195,140,57.2,5578969193,56,Right,5578969197,141,17.4,5578969203,1,0,5578973899,144,1,5578969201,213,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819063,6,1,1,0,4,8cfkisxf1fkxdqtt6tx1tup48,1,57.4,17.3,2025-03-14T18:00:23.298Z,2025-03-14T18:00:24Z,abhfq12njxxutqjtb9zvcusyc,Mohamad Al Naser,,,5578969243,212,22.3,5578969241,141,11.4,5578969245,213,3.32,5578969239,140,36.5,5578969237,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819071,7,1,1,0,5,8cfkisxf1fkxdqtt6tx1tup48,1,36.5,11.4,2025-03-14T18:00:24.433Z,2025-03-14T18:02:23Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5578969303,213,2.98,5578969297,140,18.2,5578969301,212,19.5,5578969295,56,Back,5578969299,141,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819079,8,1,1,0,8,8cfkisxf1fkxdqtt6tx1tup48,1,15.4,15.9,2025-03-14T18:00:27.945Z,2025-03-14T18:00:30Z,7al9w77ailhli8g487tkl32tw,M. Westergren,,,5578969347,56,Back,5578969349,140,10.7,5578969353,212,21.7,5578969351,141,47.0,5578969355,213,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819117,9,1,1,0,10,8cfkisxf1fkxdqtt6tx1tup48,0,10.9,47.2,2025-03-14T18:00:30.009Z,2025-03-14T18:00:35Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5578969541,157,,5578969545,140,65.6,5578969549,212,57.4,5578969543,56,Center,5578969547,141,47.0,5578969551,213,6.28,5578969553,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819127,3,1,1,0,17,bd4qakf7j0wwie8wke9km7uj8,0,28.4,56.2,2025-03-14T18:00:37.143Z,2025-03-14T18:00:38Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5578969619,212,6.3,5578969623,1,,5578969621,213,5.87,5578969647,286,,5578969643,233,10,5578969617,141,52.5,5578969613,56,Back,5578969641,236,,5578969611,157,5578969615,140,33.9,,,,,,,,,,,,,,,,,,,,,,
2787819129,10,74,1,0,17,8cfkisxf1fkxdqtt6tx1tup48,1,64.3,47.2,2025-03-14T18:00:37.144Z,2025-03-14T19:01:32Z,abhfq12njxxutqjtb9zvcusyc,Mohamad Al Naser,,,5578969633,56,Center,5578969651,233,3,5578969635,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819151,4,12,1,0,21,bd4qakf7j0wwie8wke9km7uj8,1,23.8,33.7,2025-03-14T18:00:40.580Z,2025-03-14T20:23:21Z,g2cgdv428rmpmb0om40ldses,M. Lysholm,,,5578969773,56,Back,5578969781,213,5.19,5578969777,141,10.5,5578969801,15,,5578969775,140,31.5,5578969779,212,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819181,11,61,1,0,25,8cfkisxf1fkxdqtt6tx1tup48,1,73.5,94.7,2025-03-14T18:00:44.713Z,2025-03-14T18:00:55Z,abhfq12njxxutqjtb9zvcusyc,Mohamad Al Naser,,,5578969925,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819209,5,5,1,0,26,bd4qakf7j0wwie8wke9km7uj8,1,26.6,-1.6,2025-03-14T18:00:45.721Z,2025-03-14T20:21:08Z,duvhbifjh37mvlm46akiy431m,M. Juhl,,,5578970043,347,,5578970041,56,Back,5578970373,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2787819255,12,5,1,0,26,8cfkisxf1fkxdqtt6tx1tup48,0,73.4,101.6,2025-03-14T18:00:45.721Z,2025-03-14T20:21:08Z,abhfq12njxxutqjtb9zvcusyc,Mohamad Al Naser,,,5578970389,233,5,5578970311,56,Left,5578970313,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
