id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2753984195,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-12-01T11:58:23.875Z,2024-12-01T13:17:16Z,,,,5394848561,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5394848553,30,"45bcgucg627rhrdgt8tn9hd9m, eas91my7qw7etoha5plxfk9yi, 1se7wkenvs4elrapvdw9mdnje, 7wo1hk736v1xhovvu2t2trw89, aqc0qritba195wf770gyd1149, 839pm7rmjp6q1bt52f7ek9vys, 6hmsrr08cllpl4iumu92zskbt, 9n2nm6smh0txgv2482qbwhixg, 4jve632xnmqujh4ioaxpaovai, bmkwmf5f2ssnw2cq7uga7yd5g, ate1ymumg2iwzn8uyyf3ts222, 37mo55lynu3blqnb8k9ln8k16, efh8bbfaqg4riyedthbbviuad, bdxcd38y99nrbv72uh2v4fhg4, 6m4anciafmzc24s44xszymbc9, c7buy99bjqmkmno8w5t0189d6, auv81snxkpk2ybxzi8giy5azt, 418pvntm5e5kcoeyjjnzm7hg4, 46nx0rm8sod6bbo4a3d7g6jv8, 7fkc01xxyl1trj3uav134ehyi",5394848563,194,eas91my7qw7etoha5plxfk9yi,5394848559,130,7,5394848567,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5394848565,197,7812,5394848555,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5394848557,59,"16, 2, 21, 10, 3, 25, 7, 17, 14, 5, 12, 4, 6, 9, 11, 15, 19, 27, 39, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753985691,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-12-01T12:03:29.399Z,2024-12-01T15:49:36Z,,,,5394856825,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5394856813,30,"64vlnkuqfh7rnymg8qku8amwa, 139g7ilwvcpl519v3scnweg2d, bvw5oc4c040ey5dt5wn0choiy, oywgthoxa153nf48la1j8v10, 9l89n30nejpn2u22ygvchwnze, 8rn42gm9xm3yunk883yan9vdg, 11cna826ls27ahux2w0ckapqt, 7j35sfip0xb51mpa91wzikrh0, ju24rgwcctj5yizl54o91gfe, 5hr1cb6e6xb3eyjnau7w4825l, egwhlgopjtjkop7ozy7ltk1cl, 6gi9kejni27hjp7b43djczz6d, duahzgqspyuy2gu31u3s8ky96, ef7l91pb4w6yk7lijxjxlievp, a7eramyy1bd8msxmg84ctc8ut, 9nafz0c0x2qvmo5ldm0djmcq1, 7ar33yy0wd5ah5o8om1l12pgq, dy7tdtffhczukm4vrkgp1ctn8, 4csz412vb3lquessbnf999ct0, 78iynnu6cnznv6fxpo4br4mlm",5394856821,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5394856819,130,11,5394856823,194,139g7ilwvcpl519v3scnweg2d,5394989959,197,23642,5394856817,59,"1, 7, 2, 73, 9, 19, 17, 20, 49, 22, 6, 3, 4, 5, 8, 10, 11, 16, 23, 29",5394856815,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011799,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2024-12-01T13:01:35.192Z,2024-12-01T13:01:35Z,,,,5394994775,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011805,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-12-01T13:01:35.192Z,2024-12-01T13:01:36Z,,,,5394994811,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011827,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,50.1,49.9,2024-12-01T13:01:35.193Z,2024-12-01T13:01:38Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,5394994891,279,S,5394994883,140,22.7,5394994879,56,Back,5394994889,213,3.15,5394994887,212,28.8,5394994885,141,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011843,4,1,1,0,2,f1h34qp5zbfl489q8vnkhiq9s,0,22.7,49.4,2024-12-01T13:01:37.992Z,2024-12-01T13:01:41Z,aqc0qritba195wf770gyd1149,A. Skipper,,5394994975,56,Center,5394994985,1,,5394994977,140,66.6,5394994979,141,63.8,5394994983,213,0.21,5394994973,157,,5394994981,212,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011847,3,44,1,0,5,7gkglopz9cjsysn2u6sbhuvc5,1,32.9,32.9,2024-12-01T13:01:40.375Z,2024-12-01T15:12:02Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,5394995001,285,,5394994999,56,Back,5394995077,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011845,5,44,1,0,5,f1h34qp5zbfl489q8vnkhiq9s,0,67.1,67.1,2024-12-01T13:01:40.376Z,2024-12-01T15:12:02Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,5394994995,286,,5394994993,56,Center,5394995085,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011857,4,1,1,0,5,7gkglopz9cjsysn2u6sbhuvc5,0,32.1,27.4,2024-12-01T13:01:41.108Z,2024-12-01T13:01:41Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,5394995031,3,,5394995033,56,Back,5394995043,213,0.30,5394995039,212,9.7,5394995035,140,40.9,5394995037,141,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754011869,6,1,1,0,7,f1h34qp5zbfl489q8vnkhiq9s,0,60.3,69.3,2024-12-01T13:01:42.649Z,2024-12-01T13:01:43Z,7wo1hk736v1xhovvu2t2trw89,Y. Bourhane,,5394995131,140,67.0,5394995129,56,Center,5394995133,141,58.5,5394995127,155,,5394995135,212,10.2,5394995137,213,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
