id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2812026027,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-05-09T15:39:16.309Z,2025-05-09T19:44:40Z,,,,,5712270155,194,dfxs5u8rdcxhzp33aks3acdn8,5712212417,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5712212407,30,"2h94np282g0qtzal1czznequi, 6qko3f8w2ap9ynbuq2g55i5n8, bdz03qovxerzrv12lgljae1p0, 9dh7cnu4uzbraeck0t5iqlj4k, 4lxxyqy78jkglhv2w6crzcnsa, 4i0jiisff5k1efcgf27skpqfo, 6k7khwtkxpem9z17bl5rrf2p6, dfxs5u8rdcxhzp33aks3acdn8, 81w1fqi66z0ibawynhraybaxg, 3epwf56ozg73hueacwmckk0r9, eso2tbbpnxu9qvx6zy07m5jx0, cl4xl80n4gew1ox03r3ooshrd, 51ymbnikkta369rn3exb1g7bo, 5w0giylttgiapseaw6qky0mxg, cqsc3mj8klukkgutdrpegybdg, d9hh01mit4geyadol3gmzco9, c2x3pewqx6d9q3c5dup0udxw, 7hso2bszmf4qal560jhrg2904, 7353ysa16qgg30b9z5qiagys4, 61vr9xr91fr4g6ayzga5vn9w5",5712212413,130,2,5712212409,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5712212411,59,"31, 3, 12, 17, 24, 34, 22, 20, 10, 11, 14, 15, 16, 18, 21, 23, 26, 27, 28, 33",5712212415,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5712272467,197,6601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812028061,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-05-09T16:00:22.018Z,2025-05-09T19:25:53Z,,,,,5712267743,197,4604,5712225285,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5712225293,194,wha77a8wm7jyn32743y0w79x,5712225287,59,"1, 20, 3, 7, 25, 29, 10, 14, 17, 23, 2, 4, 11, 13, 21, 24, 26, 32, 40, 41",5712225291,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5712225283,30,"2g019dl7zougqjo7usig0rf11, e42jh6bbwn4aybdnysonrvutx, bxamae8lo647u6k3kruigir8q, wha77a8wm7jyn32743y0w79x, auk14ut8cwaqop549u2zmfgt1, ev2s21ogvpjtata4fndi868ve, 5wmik73cqursg7sv3w14ue5pm, 2uw6m0yavlvkkiob73hoywb56, axyrfq1u8nwcj2ss5498u8qhg, 15jhbyn4wsbd865fd9djcwaok, 1mml4inucvyomv1dcog3c1pt5, dqtarwrqvkopmzbt2ovp2dln9, 1b32j0lqi7ggcabdra4tygxzo, 4n002w0ii1wqwx8t5xc1bzf2s, 6eg3kxxg5aneckolraz03xzpw, 19wdr5lrjw3aqm0ap9nklwefo, ewh6t7yo6clfewu89uznll9uc, 1vfh2k9yurk6t5s1vmgmlmfpw, ap5tk7hqni7e79nshgc6axk44, f31mk6o4xs3783bginjsbuvis",5712225289,130,7,5712225295,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036521,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-05-09T16:31:42.474Z,2025-05-09T16:31:42Z,,,,,5712275149,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036525,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-05-09T16:31:42.474Z,2025-05-09T16:31:44Z,,,,,5712275157,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036557,3,1,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,50.0,50.0,2025-05-09T16:31:42.475Z,2025-05-09T16:31:47Z,3epwf56ozg73hueacwmckk0r9,S. Pingel,,,5712275315,140,28.3,5712275323,279,S,5712275317,141,49.6,5712275321,213,3.15,5712275319,212,22.8,5712275313,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036579,4,1,1,0,4,a9vw7ikerpr4cuweeeka5aneg,1,27.2,49.6,2025-05-09T16:31:47.190Z,2025-05-09T16:31:51Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5712275411,140,70.2,5712275415,212,51.7,5712275407,155,,5712275417,213,5.77,5712275409,56,Right,5712275413,141,12.6,5712275419,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036585,5,44,1,0,6,a9vw7ikerpr4cuweeeka5aneg,1,72.8,12.7,2025-05-09T16:31:49.265Z,2025-05-09T18:45:57Z,6k7khwtkxpem9z17bl5rrf2p6,E. Frederiksen,,,5712275451,286,,5712275449,56,Right,5712275475,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036569,3,44,1,0,6,dbl7ir1qugqz8nvp1vzn8im50,0,27.2,87.3,2025-05-09T16:31:49.266Z,2025-05-09T18:45:57Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5712275385,285,,5712275383,56,Back,5712275527,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036589,6,1,1,0,7,a9vw7ikerpr4cuweeeka5aneg,0,68.9,9.2,2025-05-09T16:31:50.046Z,2025-05-09T18:43:17Z,6k7khwtkxpem9z17bl5rrf2p6,E. Frederiksen,,,5712275461,56,Right,5712275465,141,7.4,5712275467,212,4.7,5712275457,3,,5712275463,140,73.2,5712275469,213,6.02,5712275459,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2812036571,4,61,1,0,8,dbl7ir1qugqz8nvp1vzn8im50,1,24.9,85.3,2025-05-09T16:31:50.926Z,2025-05-09T16:37:25Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5712275391,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
