id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId
2782968345,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-03-02T13:20:07.936Z,2025-03-02T18:13:32Z,,,,,5552237385,130,12,5552237387,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5552237389,194,cflwegqpzch8y30pb3dhigqnd,5552237393,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5552237383,59,"25, 22, 27, 5, 12, 18, 7, 10, 19, 9, 8, 1, 16, 17, 23, 26, 29, 37, 40, 43",5552237381,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5552237379,30,"9yxhg70gpwi3e9s84c8qwg0yx, 8q8yol44e42o9hwttlopznvh0, ea2x4o6ufsqoz2zz7tqcnvo16, 3sog1gsk11bwwrf7l7wm2j7dg, 6bv0j0ezhh9u5u5hqz64p790q, cflwegqpzch8y30pb3dhigqnd, e19g5bz7s9wqcvj8mttztxi0a, dwuxps3jv2852642q000wep6, efubck8twu1elbhlomltnjjtg, 4qyfoq5fjiochtj89w426lm21, 9xub4z9b3bog8wqhn5yfihecp, dxv40hh07gxq4hn0i6dwb2l4a, 4dmz3u7j1eoz4ofr1o8tbxedw, b0yv1pcxifawqx6r1cfqq3otm, 8gqvlydur0v4cpmz1ozqkejh0, e0rgqk3gxzs005m9ok9hvp1ck, bpoqmt2dwwsm57vdfrm9stvro, ebddkdhm6fhar2ir2h7azhslw, 5jyv1dctfxa6335l1mlifwavo, beu3ypladd5dexnm9x946kjkk",5552237391,197,18945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2782969047,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-03-02T13:20:57.363Z,2025-03-02T14:11:01Z,,,,,5552241155,30,"4clmd8g8jogdfvauhijd7n55h, 1mml4inucvyomv1dcog3c1pt5, bxamae8lo647u6k3kruigir8q, wha77a8wm7jyn32743y0w79x, auk14ut8cwaqop549u2zmfgt1, ev2s21ogvpjtata4fndi868ve, e42jh6bbwn4aybdnysonrvutx, 2z8u8kyv91shp0la8alkn6kus, axyrfq1u8nwcj2ss5498u8qhg, 5wmik73cqursg7sv3w14ue5pm, 1b32j0lqi7ggcabdra4tygxzo, 2g019dl7zougqjo7usig0rf11, dqtarwrqvkopmzbt2ovp2dln9, eq15hjcxpdrl5vca2q7s4tr3e, 4n002w0ii1wqwx8t5xc1bzf2s, 2uw6m0yavlvkkiob73hoywb56, 8f1mw21tbkct0slelpdznf7dg, 15jhbyn4wsbd865fd9djcwaok, 19wdr5lrjw3aqm0ap9nklwefo, ewh6t7yo6clfewu89uznll9uc",5552435365,194,4clmd8g8jogdfvauhijd7n55h,5552241159,59,"16, 2, 3, 7, 25, 29, 20, 18, 17, 10, 11, 1, 4, 5, 13, 14, 15, 23, 24, 26",5552241165,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5552241157,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5552435367,197,4604,5552241163,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5552241161,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783008713,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-03-02T14:01:42.860Z,2025-03-02T14:01:43Z,,,,,5552450153,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783008733,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2025-03-02T14:01:42.860Z,2025-03-02T14:01:44Z,,,,,5552450243,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783008777,3,1,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,49.8,49.9,2025-03-02T14:01:42.861Z,2025-03-02T14:01:45Z,efubck8twu1elbhlomltnjjtg,R. Gyamfi,,,5552450437,56,Center,5552450445,213,0.45,5552450447,279,S,5552450439,140,53.6,5552450449,278,,5552450443,212,4.4,5552450441,141,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783008929,4,1,1,0,2,b2vft81kyjurzbmekvgrqwr64,1,53.8,49.4,2025-03-02T14:01:45.533Z,2025-03-02T14:01:51Z,4qyfoq5fjiochtj89w426lm21,S. Andreasen,,,5552451133,212,24.6,5552451131,141,15.8,5552451129,140,62.6,5552451135,213,5.10,5552451127,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783008935,5,1,1,0,3,b2vft81kyjurzbmekvgrqwr64,0,54.3,9.7,2025-03-02T14:01:46.718Z,2025-03-02T16:53:36Z,8q8yol44e42o9hwttlopznvh0,M. Nielsen,,,5552451179,213,5.85,5552451177,212,18.5,5552451175,141,0.0,5552451169,155,,5552451171,56,Right,5552451173,140,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783009039,3,5,1,0,8,dbl7ir1qugqz8nvp1vzn8im50,1,29.0,101.4,2025-03-02T14:01:51.623Z,2025-03-02T16:20:09Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5552451745,56,Back,5552451747,347,,5552451821,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783008947,6,5,1,0,8,b2vft81kyjurzbmekvgrqwr64,0,71.0,-1.4,2025-03-02T14:01:51.623Z,2025-03-02T16:20:09Z,8q8yol44e42o9hwttlopznvh0,M. Nielsen,,,5552451239,56,Right,5552451241,347,,5552451851,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783009095,4,1,1,0,13,dbl7ir1qugqz8nvp1vzn8im50,1,29.8,100.0,2025-03-02T14:01:56.366Z,2025-03-02T14:58:19Z,bxamae8lo647u6k3kruigir8q,A. Sørensen,,,5552452027,140,39.2,5552452023,107,,5552452029,141,94.6,5552452025,56,Back,5552452031,212,11.0,5552452033,213,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783009141,5,1,1,0,15,dbl7ir1qugqz8nvp1vzn8im50,1,39.2,94.6,2025-03-02T14:01:58.478Z,2025-03-02T17:16:22Z,1b32j0lqi7ggcabdra4tygxzo,M. Jensen,,,5552452273,141,94.1,5552452271,140,30.7,5552452277,213,3.18,5553469843,233,7,5552452269,56,Back,5552452275,212,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783074795,405,43,1,0,16,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2025-03-02T14:01:58.860Z,2025-03-02T17:16:30Z,8q8yol44e42o9hwttlopznvh0,M. Nielsen,,,5553580443,144,8,5552796381,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783009147,6,1,1,0,17,dbl7ir1qugqz8nvp1vzn8im50,0,34.6,90.4,2025-03-02T14:02:00.404Z,2025-03-02T17:16:41Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5552452355,233,7,5552452359,286,,5552452315,141,90.8,5552452319,213,0.09,5552452313,140,37.5,5552452311,56,Back,5552452353,236,,5552452317,212,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783009137,7,74,1,0,17,b2vft81kyjurzbmekvgrqwr64,1,60.4,10.1,2025-03-02T14:02:00.405Z,2025-03-02T17:16:45Z,8q8yol44e42o9hwttlopznvh0,M. Nielsen,,,5552452245,56,Right,5552452249,285,,5552452419,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783009175,8,1,1,0,19,b2vft81kyjurzbmekvgrqwr64,0,61.5,24.7,2025-03-02T14:02:01.877Z,2025-03-02T14:02:02Z,4qyfoq5fjiochtj89w426lm21,S. Andreasen,,,5552452481,56,Center,5552452483,140,69.4,5552452489,213,0.41,5552452487,212,9.0,5552452485,141,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783009201,7,50,1,0,20,dbl7ir1qugqz8nvp1vzn8im50,1,25.2,81.8,2025-03-02T14:02:03.773Z,2025-03-02T14:02:10Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5552452631,285,,5552452629,56,Back,5552452845,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783009223,9,7,1,0,20,b2vft81kyjurzbmekvgrqwr64,0,74.8,18.2,2025-03-02T14:02:03.774Z,2025-03-02T14:02:08Z,8q8yol44e42o9hwttlopznvh0,M. Nielsen,,,5552452789,233,7,5552452727,286,,5552452725,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783009365,10,50,1,0,23,b2vft81kyjurzbmekvgrqwr64,1,87.9,17.6,2025-03-02T14:02:06.797Z,2025-03-02T16:18:50Z,8q8yol44e42o9hwttlopznvh0,M. Nielsen,,,5552453475,56,Right,5552453655,233,8,5552453477,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783009287,8,7,1,0,23,dbl7ir1qugqz8nvp1vzn8im50,0,12.1,82.4,2025-03-02T14:02:06.798Z,2025-03-02T16:18:49Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5552453069,56,Back,5552453073,285,,5552453525,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783009381,11,1,1,0,24,b2vft81kyjurzbmekvgrqwr64,0,92.9,28.5,2025-03-02T14:02:07.661Z,2025-03-02T14:02:10Z,8q8yol44e42o9hwttlopznvh0,M. Nielsen,,,5552453571,212,8.4,5552453567,141,40.9,5552453565,140,92.9,5552453561,56,Center,5552453575,213,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
