id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2781668915,1,34,16,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-02-28T16:36:22.942Z,2025-02-28T16:36:23Z,,,,,5545265765,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5545265775,197,9535,5545265773,194,3mcj3wypzq3lno1ehc0vif1sl,5545265763,30,"dqqswfn9s1tdxjoslts8ks6xg, 4m7gr5z6b40dj02yrmlwgeluc, 4ti8pdx03j8dh4mdb626ltmvo, 2pm5oqzyonn0dysa5nszgq3xm, 5nved2kta2hk8103hkyhq33hm, 67p0s4o54xcmiustgy8k5gljo, 11ngumxajbizagbzpm5kompxx, 74m58jsznzu8l89b8h7rkh1bd, 3mcj3wypzq3lno1ehc0vif1sl, abhfq12njxxutqjtb9zvcusyc, 1icurh5jrnw1e6jdgqxjnhdnu, 619s1phj5bkgkug3aszc1y9cl, 444n8m1tirk6lp739iigw42c5, egxik3guom123v43rthy89c7o, 6orujbbswf771s9rv0dcd8kd0, d2ukggo2v5jsw4pctznmaijo4, 7al9w77ailhli8g487tkl32tw, 3mgrufy83uhzs9liw8pwxi784, bwxxfcjd31gykfbpomwr1od90, k43cten7yb6p59yo0firhb84",5545265771,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5545265777,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5545265767,59,"1, 3, 21, 4, 22, 16, 6, 10, 26, 11, 5, 7, 8, 14, 17, 20, 23, 28, 29, 31",5545265769,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781670435,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-02-28T16:43:11.185Z,2025-02-28T17:27:21Z,,,,,5545274893,59,"1, 2, 21, 5, 25, 15, 11, 8, 14, 17, 12, 4, 7, 9, 16, 19, 27, 32, 38",5545274889,30,"7fkc01xxyl1trj3uav134ehyi, s8c0oxnoqt6zi7pi88rwawvd, 1se7wkenvs4elrapvdw9mdnje, bmkwmf5f2ssnw2cq7uga7yd5g, 839pm7rmjp6q1bt52f7ek9vys, c7buy99bjqmkmno8w5t0189d6, 6m4anciafmzc24s44xszymbc9, 15yli690oxmbr4dl1ksti2p9m, 4jve632xnmqujh4ioaxpaovai, 9n2nm6smh0txgv2482qbwhixg, ate1ymumg2iwzn8uyyf3ts222, 37mo55lynu3blqnb8k9ln8k16, 6hmsrr08cllpl4iumu92zskbt, 4mxciw9jsj9l437fd7bv78p91, 45bcgucg627rhrdgt8tn9hd9m, cqgmx6eiriomccxfhykh31r10, 418pvntm5e5kcoeyjjnzm7hg4, ayjuukbjjzrldkn4d4shfnggk, 5sha6xhovfmuzd7rolx1om39w",5545274895,130,8,5545274899,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5545274897,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5545274891,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5545326361,197,4652,5545326359,194,1se7wkenvs4elrapvdw9mdnje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781679641,2,32,1,0,0,8cfkisxf1fkxdqtt6tx1tup48,1,0.0,0.0,2025-02-28T17:30:04.793Z,2025-02-28T17:30:06Z,,,,,5545330071,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781679637,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-02-28T17:30:04.793Z,2025-02-28T17:30:05Z,,,,,5545330057,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781679659,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,49.9,49.7,2025-02-28T17:30:04.794Z,2025-02-28T17:30:07Z,15yli690oxmbr4dl1ksti2p9m,M. Maden,,,5545330145,213,3.68,5545330143,212,18.2,5545330141,141,36.0,5545330147,279,S,5545330139,140,35.0,5545330137,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781679681,4,1,1,0,2,f1h34qp5zbfl489q8vnkhiq9s,1,35.2,35.5,2025-02-28T17:30:07.450Z,2025-02-28T17:30:11Z,839pm7rmjp6q1bt52f7ek9vys,J. Meyer,,,5545330239,213,0.53,5545330241,1,,5545330237,212,40.1,5545330231,56,Center,5545330229,157,,5545330233,140,68.2,5545330235,141,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781679683,5,1,1,0,6,f1h34qp5zbfl489q8vnkhiq9s,0,68.2,64.6,2025-02-28T17:30:11.602Z,2025-02-28T17:30:12Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5545330251,168,,5545330257,141,60.3,5545330249,3,,5545330261,213,5.73,5545330259,212,5.6,5545330255,140,72.7,5545330253,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781679695,3,1,1,0,7,8cfkisxf1fkxdqtt6tx1tup48,1,31.4,37.4,2025-02-28T17:30:12.178Z,2025-02-28T17:30:14Z,67p0s4o54xcmiustgy8k5gljo,S. Hald,,,5545330309,213,0.29,5545330299,157,,5545330301,56,Back,5545330307,212,17.3,5545330311,1,,5545330303,140,47.2,5545330305,141,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781679701,6,83,1,0,10,f1h34qp5zbfl489q8vnkhiq9s,0,51.4,50.7,2025-02-28T17:30:15.034Z,2025-02-28T17:30:18Z,bmkwmf5f2ssnw2cq7uga7yd5g,A. Troelsen,,,5545330427,399,3mcj3wypzq3lno1ehc0vif1sl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2781679715,5,50,1,0,11,8cfkisxf1fkxdqtt6tx1tup48,1,51.1,47.6,2025-02-28T17:30:16.185Z,2025-02-28T19:55:06Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5545330399,56,Center,5545331881,233,13,5545331641,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
