id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId
2745511713,1,34,16,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-11-08T17:00:39.547Z,2024-11-08T17:54:41Z,,,,5348764011,30,"6sdv4s8oz558wfhx72vwlpvu2, 2qedb8t85t1ieeed9613c9crt, ekx0wotp433tuaw4g93nybjmc, dqssvdpt2iwg8qn9wto3miind, 3xz0h3d6r2qgmv9egms8yaz56, 8ewvm6ux4yvpwgrzjkc1chqwa, 4uuqid6t4nspn0wspyltz3bx0, f58yr2jmfp8kpgprfxbokt1t6, 6bajck5osvj7trnwt2a5mc3dg, 9ircna8pbskreztmy1wiqwx9m, 9fvf8z6p8ok0n5vu999ysfywa, 52vwj2s29n7wngablotd7pboq, b55jtl3ixolidn6cvc4t90efo, 9618hk1lq7i6see347k7plkyy, e3546n3qj447qgmizao50zx1w, aszp26w7k6ycpwmcpvfteov84, dyzzo6n83rg4fpvmqqa69moes, 1u46uhxe7outj2f8tsga2nx0p, cqgmx6eiriomccxfhykh31r10, 3ywgt5v070xudujs9f7cuqm7d",5348882651,197,12587,5348764021,194,3xz0h3d6r2qgmv9egms8yaz56,5348764015,59,"99, 15, 29, 5, 4, 3, 33, 8, 22, 17, 24, 1, 2, 9, 12, 13, 16, 21, 25, 32",5348764023,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5348764019,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5348764017,130,19,5348764013,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,
2745517887,1,34,16,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-11-08T17:15:45.287Z,2024-11-08T20:43:11Z,,,,5348799181,194,a7eramyy1bd8msxmg84ctc8ut,5348799177,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5348799173,130,13,5348888791,197,5311,5348799165,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5348799169,59,"1, 2, 11, 73, 8, 5, 6, 22, 49, 17, 10, 3, 7, 9, 16, 19, 23, 29, 31, 34",5348799183,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5348799161,30,"64vlnkuqfh7rnymg8qku8amwa, bvw5oc4c040ey5dt5wn0choiy, 7ar33yy0wd5ah5o8om1l12pgq, oywgthoxa153nf48la1j8v10, a7eramyy1bd8msxmg84ctc8ut, ef7l91pb4w6yk7lijxjxlievp, egwhlgopjtjkop7ozy7ltk1cl, 5hr1cb6e6xb3eyjnau7w4825l, ju24rgwcctj5yizl54o91gfe, 11cna826ls27ahux2w0ckapqt, 9nafz0c0x2qvmo5ldm0djmcq1, 6gi9kejni27hjp7b43djczz6d, 139g7ilwvcpl519v3scnweg2d, 9l89n30nejpn2u22ygvchwnze, dy7tdtffhczukm4vrkgp1ctn8, 8rn42gm9xm3yunk883yan9vdg, 4csz412vb3lquessbnf999ct0, 78iynnu6cnznv6fxpo4br4mlm, 9vbxe5gvruap8h546efz3nx1w, 18vvlxsaoloypja4fdddj687o",,,,,,,,,,,,,,,,,,,,,,,
2745534917,2,32,1,0,0,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-11-08T18:01:43.227Z,2024-11-08T18:01:45Z,,,,5348890099,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534913,2,32,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-11-08T18:01:43.227Z,2024-11-08T18:01:43Z,,,,5348890089,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534933,3,1,1,0,0,7gkglopz9cjsysn2u6sbhuvc5,1,49.9,50.6,2024-11-08T18:01:43.228Z,2024-11-08T18:01:46Z,ju24rgwcctj5yizl54o91gfe,S. Borgelin,,5348890195,141,65.5,5348890199,213,2.66,5348890191,56,Back,5348890201,279,S,5348890197,212,22.0,5348890193,140,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534943,4,1,1,0,3,7gkglopz9cjsysn2u6sbhuvc5,0,31.3,65.5,2024-11-08T18:01:46.536Z,2024-11-08T18:01:48Z,oywgthoxa153nf48la1j8v10,M. Lauritsen,,5348890247,141,22.2,5348890251,213,5.73,5348890243,56,Center,5348890249,212,56.0,5348890245,140,76.7,5348890241,157,,5348890253,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745534999,4,1,1,0,8,b8oqgvx1ijeyn6y1cn6929ix4,0,15.3,91.7,2024-11-08T18:01:51.452Z,2024-11-08T18:08:05Z,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,,5348890509,157,,5348890521,1,,5348890511,56,Left,5348890517,212,40.1,5348890513,140,53.5,5348890519,213,6.27,5348890515,141,91.1,,,,,,,,,,,,,,,,,,,,,,,,,,
2745535223,13,44,1,0,12,7gkglopz9cjsysn2u6sbhuvc5,1,46.3,11.1,2024-11-08T18:01:55.390Z,2024-11-08T20:05:41Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,5348899979,285,,5348903623,233,5,5348899977,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745535009,5,44,1,0,12,b8oqgvx1ijeyn6y1cn6929ix4,0,53.7,88.9,2024-11-08T18:01:55.391Z,2024-11-08T20:33:02Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,5348903659,233,13,5348890579,286,,5348890577,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745535227,14,1,1,0,12,7gkglopz9cjsysn2u6sbhuvc5,0,42.7,8.4,2024-11-08T18:01:55.529Z,2024-11-08T20:29:34Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,5348904721,141,18.8,5348904725,213,1.54,5348904717,56,Back,5348904715,3,,5348904723,212,7.1,5348904719,140,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745535025,6,43,1,0,12,b8oqgvx1ijeyn6y1cn6929ix4,1,0.0,0.0,2024-11-08T18:01:56.155Z,2024-11-08T18:07:59Z,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,,5348890659,213,5.16,5348890655,141,72.6,5348890657,212,13.9,5348890653,140,59.2,5348890647,3,0,5348903387,144,1,5348890651,56,Center,5348890649,168,0,,,,,,,,,,,,,,,,,,,,,,,
