id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2709218479,1,34,16,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-08-16T16:07:01.346Z,2024-08-16T16:58:31Z,,,,,5150062783,197,11563,5150024083,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5150024075,30,"eiy7fhqxdx3ypg4dq4454hpbe, 65g5cfsdr10378yvmkpm19444, 4bojyjyvkdgm1lss6n37q2t5g, 7ztdirfvd9d0x2yw1v051xzbo, b1kyjkhaaiw32cb4bubbpm7tg, 3od63zrf6cay4d6ync9i2iuqc, 23sc7wc7my7wes6cuaxw1v0no, 6wfu6s6xo5zjeke21fgbouql0, 9jqox80arzpytv1b136jobhpm, ayxi2m0g0pm6rl1ba5pto66z9, 289rctmvd5ppy9zqn98jbe4et, bvc80w5ai425plu54nhgx5fxl, 6yev7nszmpylpqncom2gdkul1, 6lb4k3g75nzgi8bp1y1mzxkru, ei3xmwfz8dah5e4lcbu4w98t1, 91xtn2wlot8g8ue89zn4iiyqy, 2zt1yrfv8m2mhpo720n0uydck, dmfdjb50l4kw3l634nt7g0xlg, y4dl1rer075c9wz6zhx7skbt",5150093205,194,3od63zrf6cay4d6ync9i2iuqc,5150024077,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5150024081,130,4,5150024079,59,"90, 14, 17, 13, 4, 5, 21, 8, 16, 7, 98, 2, 3, 9, 18, 19, 20, 22, 97",5150024085,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709222453,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-08-16T16:23:56.047Z,2024-08-16T20:29:54Z,,,,,5150047019,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",5150047027,194,bwozpgcm48s08t1glxfgjajmd,5150047025,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5150047021,59,"1, 2, 3, 14, 19, 4, 10, 6, 7, 18, 15, 11, 8, 12, 16, 17, 22, 25, 34",5150047017,30,"8r9iqig43yjty7l1oq6yg73mc, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, 4rhxehi019n7z1z1m7a39w1sk, 99tm7b6ux9s4qocz0y4pcahas, 81c40rn7lrb39qu0sam8kv6dw, 7h02v4ymnko5fh01iylbh34es, bwozpgcm48s08t1glxfgjajmd, 7pnxa8wzxx5qxevcckxdd62tx, cf6zq49y8v1ekw07e7yi3uac, m031ocyfq011rual3olkegdm, 1el3mu4rgcx8tebrawgfvynf8, 4lac0f1ev5usxpka7gaev3hii, 35og29e19w0ykeqcvudhpgr8, emakjdiju8z2peey3ytjahz6y, 6bkuzenpse2kzirt9q7qeisd0, 65f1ckijc2btnprgz3s593dw4, e0nkqbugb4xkpluu5e42zf2ms, g2cgdv428rmpmb0om40ldses",5150047029,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5150062851,197,17324,5150047023,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709230923,2,32,1,0,0,6wwwud48qahpwrfxs20334qk5,1,0.0,0.0,2024-08-16T17:00:10.645Z,2024-08-16T17:00:12Z,,,,,5150095023,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709230919,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-08-16T17:00:10.645Z,2024-08-16T17:00:10Z,,,,,5150094999,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709230929,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,49.8,50.6,2024-08-16T17:00:10.646Z,2024-08-16T17:00:13Z,7pnxa8wzxx5qxevcckxdd62tx,E. Nielsen,,,5150095055,141,50.6,5150095057,212,10.6,5150095061,279,S,5150095051,56,Back,5150095053,140,39.7,5150095059,213,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709230937,4,1,1,0,2,bd4qakf7j0wwie8wke9km7uj8,1,39.7,50.6,2024-08-16T17:00:12.896Z,2024-08-16T17:00:17Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5150095109,213,0.52,5150095103,140,81.4,5150095099,157,,5150095111,1,,5150095101,56,Left,5150095107,212,50.5,5150095105,141,87.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709230941,5,61,1,0,6,bd4qakf7j0wwie8wke9km7uj8,0,81.4,87.6,2024-08-16T17:00:16.951Z,2024-08-16T17:00:17Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5150095127,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709230947,3,5,1,0,6,6wwwud48qahpwrfxs20334qk5,1,13.6,-1.6,2024-08-16T17:00:17.600Z,2024-08-16T19:03:51Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5150095151,347,,5150095149,56,Back,5150095153,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709230945,6,5,1,0,6,bd4qakf7j0wwie8wke9km7uj8,0,86.4,101.6,2024-08-16T17:00:17.600Z,2024-08-16T19:03:51Z,m031ocyfq011rual3olkegdm,A. Taranis,,,5150095169,233,3,5150095147,347,,5150095145,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709230953,4,1,1,0,8,6wwwud48qahpwrfxs20334qk5,1,12.9,0.0,2024-08-16T17:00:18.934Z,2024-08-16T17:00:20Z,65g5cfsdr10378yvmkpm19444,A. Dahl,,,5150095185,213,1.95,5150095177,56,Back,5150095175,107,,5150095179,140,7.3,5150095183,212,15.7,5150095181,141,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
