id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/15/value
2802336895,1,34,16,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-04-18T10:13:59.615Z,2025-04-18T13:11:06Z,,,,,5658757243,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5658757239,59,"1, 25, 12, 20, 24, 34, 18, 17, 11, 22, 10, 3, 9, 14, 15, 16, 21, 27, 31, 33",5658757247,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5658757237,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5658757241,130,9,5658757245,197,6601,5658757235,30,"8uhv14rin2znrr0wqgvcc2f2t, a6ymx4wkrn260rtpb360nsiqd, bdz03qovxerzrv12lgljae1p0, dfxs5u8rdcxhzp33aks3acdn8, 4lxxyqy78jkglhv2w6crzcnsa, 4i0jiisff5k1efcgf27skpqfo, 5w0giylttgiapseaw6qky0mxg, 9dh7cnu4uzbraeck0t5iqlj4k, 3epwf56ozg73hueacwmckk0r9, 6k7khwtkxpem9z17bl5rrf2p6, 81w1fqi66z0ibawynhraybaxg, 6qko3f8w2ap9ynbuq2g55i5n8, a48bpdpt0siemxqtr3rubwbu, eso2tbbpnxu9qvx6zy07m5jx0, cl4xl80n4gew1ox03r3ooshrd, 51ymbnikkta369rn3exb1g7bo, cqsc3mj8klukkgutdrpegybdg, 7hso2bszmf4qal560jhrg2904, 2h94np282g0qtzal1czznequi, 61vr9xr91fr4g6ayzga5vn9w5",5658785113,194,8uhv14rin2znrr0wqgvcc2f2t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802337041,1,34,16,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-04-18T10:15:22.222Z,2025-04-18T12:02:15Z,,,,,5658758025,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5658758035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5658758031,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5658784445,197,4652,5658758023,30,"45bcgucg627rhrdgt8tn9hd9m, 37mo55lynu3blqnb8k9ln8k16, 1se7wkenvs4elrapvdw9mdnje, bmkwmf5f2ssnw2cq7uga7yd5g, 839pm7rmjp6q1bt52f7ek9vys, c7buy99bjqmkmno8w5t0189d6, 6hmsrr08cllpl4iumu92zskbt, ate1ymumg2iwzn8uyyf3ts222, 4jve632xnmqujh4ioaxpaovai, 9n2nm6smh0txgv2482qbwhixg, 4mxciw9jsj9l437fd7bv78p91, 7fkc01xxyl1trj3uav134ehyi, aqc0qritba195wf770gyd1149, 8k4wwchytdstpn0yhrxd5nbv9, 15yli690oxmbr4dl1ksti2p9m, 7wo1hk736v1xhovvu2t2trw89, cqgmx6eiriomccxfhykh31r10, 418pvntm5e5kcoeyjjnzm7hg4, ayjuukbjjzrldkn4d4shfnggk, 5sha6xhovfmuzd7rolx1om39w",5658758027,59,"16, 4, 21, 5, 25, 15, 7, 12, 14, 17, 9, 1, 3, 6, 8, 10, 19, 27, 32, 38",5658758033,194,1se7wkenvs4elrapvdw9mdnje,5658758029,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802341955,2,32,1,0,0,a9vw7ikerpr4cuweeeka5aneg,1,0.0,0.0,2025-04-18T11:01:55.967Z,2025-04-18T11:01:58Z,,,,,5658787809,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802341951,2,32,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,0.0,0.0,2025-04-18T11:01:55.967Z,2025-04-18T11:01:56Z,,,,,5658787789,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802341963,3,1,1,0,0,f1h34qp5zbfl489q8vnkhiq9s,1,50.0,50.0,2025-04-18T11:01:55.968Z,2025-04-18T11:01:59Z,4mxciw9jsj9l437fd7bv78p91,J. Ankersen,,,5658787867,141,51.2,5658787869,212,20.9,5658787875,279,S,5658787863,56,Back,5658787873,213,3.10,5658787865,140,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802341971,4,1,1,0,3,f1h34qp5zbfl489q8vnkhiq9s,0,30.1,51.2,2025-04-18T11:01:59.209Z,2025-04-18T11:02:03Z,c7buy99bjqmkmno8w5t0189d6,T. Stagaard,,,5658787959,213,5.86,5658787957,212,52.2,5658787961,1,,5658787953,140,75.4,5658787949,155,,5658787955,141,19.7,5658787951,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802341975,3,44,1,0,5,a9vw7ikerpr4cuweeeka5aneg,1,26.0,72.7,2025-04-18T11:02:01.487Z,2025-04-18T12:05:46Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5658787975,285,,5658787973,56,Back,5658788029,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802341973,5,44,1,0,5,f1h34qp5zbfl489q8vnkhiq9s,0,74.0,27.3,2025-04-18T11:02:01.488Z,2025-04-18T12:05:47Z,6hmsrr08cllpl4iumu92zskbt,L. From,,,5658788051,233,3,5658787969,286,,5658787967,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802341981,4,12,1,0,5,a9vw7ikerpr4cuweeeka5aneg,1,28.4,60.2,2025-04-18T11:02:01.676Z,2025-04-18T11:04:06Z,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,,,5658788007,140,34.1,5658788009,141,65.5,5658788017,15,,5658788005,56,Back,5658788013,213,0.54,5658788011,212,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2802341983,6,44,1,0,7,f1h34qp5zbfl489q8vnkhiq9s,1,66.4,33.5,2025-04-18T11:02:03.576Z,2025-04-18T12:05:47Z,9n2nm6smh0txgv2482qbwhixg,J. Beck,,,5658788023,286,,5658788021,56,Center,5658788493,233,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
