id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2734759143,1,34,16,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-10-18T15:44:38.596Z,2024-10-18T19:35:24Z,,,,,5290058427,130,4,5290058421,30,"4clmd8g8jogdfvauhijd7n55h, e42jh6bbwn4aybdnysonrvutx, 1mml4inucvyomv1dcog3c1pt5, wha77a8wm7jyn32743y0w79x, dqtarwrqvkopmzbt2ovp2dln9, ev2s21ogvpjtata4fndi868ve, e9o7q10wnhex4e8eo47mobbvt, 97xbmht3t4t1p9iu6598oq7l5, 2z8u8kyv91shp0la8alkn6kus, 5wmik73cqursg7sv3w14ue5pm, 80s55a7uw8kypoikefwhtdm5m, 2g019dl7zougqjo7usig0rf11, eq15hjcxpdrl5vca2q7s4tr3e, 2uw6m0yavlvkkiob73hoywb56, axyrfq1u8nwcj2ss5498u8qhg, rbk7g9mpasw3edltliscyzv8, 6eg3kxxg5aneckolraz03xzpw, 19wdr5lrjw3aqm0ap9nklwefo, ewh6t7yo6clfewu89uznll9uc, 15jhbyn4wsbd865fd9djcwaok",5290058431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290058429,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290058425,59,"16, 20, 2, 7, 4, 29, 6, 8, 18, 10, 30, 1, 5, 14, 17, 19, 21, 24, 26, 23",5290133579,197,24396,5290134137,194,4clmd8g8jogdfvauhijd7n55h,5290058423,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734760535,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-10-18T15:49:58.450Z,2024-10-18T16:46:47Z,,,,,5290117761,194,bwozpgcm48s08t1glxfgjajmd,5290066463,59,"1, 23, 2, 3, 4, 12, 14, 6, 7, 15, 18, 8, 10, 11, 16, 17, 22, 24, 25, 27",5290066459,30,"8r9iqig43yjty7l1oq6yg73mc, 6zhj070huc77sl5o5bx6ey5g4, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, 81c40rn7lrb39qu0sam8kv6dw, 35og29e19w0ykeqcvudhpgr8, 4rhxehi019n7z1z1m7a39w1sk, bwozpgcm48s08t1glxfgjajmd, 7pnxa8wzxx5qxevcckxdd62tx, m031ocyfq011rual3olkegdm, cf6zq49y8v1ekw07e7yi3uac, 4lac0f1ev5usxpka7gaev3hii, 7h02v4ymnko5fh01iylbh34es, 1el3mu4rgcx8tebrawgfvynf8, emakjdiju8z2peey3ytjahz6y, 6bkuzenpse2kzirt9q7qeisd0, 65f1ckijc2btnprgz3s593dw4, 8rdndyl03uhh1u5id0qf3ymms, e0nkqbugb4xkpluu5e42zf2ms, d106tu53y5q02yu36iojbou8k",5290135569,197,17324,5290066461,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",5290066467,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290066469,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5290066465,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734773235,2,32,1,0,0,dbl7ir1qugqz8nvp1vzn8im50,1,0.0,0.0,2024-10-18T16:30:05.560Z,2024-10-18T16:30:07Z,,,,,5290138173,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734773229,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-10-18T16:30:05.560Z,2024-10-21T13:32:24Z,,,,,5290138153,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734810427,326,43,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-10-18T16:30:05.560Z,2024-10-18T17:31:35Z,,,,,5290332693,55,283,5290333505,144,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734810507,327,43,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-10-18T16:30:05.560Z,2024-10-18T17:31:33Z,,,,,5290333487,144,28,5290333189,55,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734810719,328,43,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-10-18T16:30:05.560Z,2024-10-18T18:47:14Z,,,,,5290334353,55,283,5290786757,144,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734773261,3,1,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,49.7,50.0,2024-10-18T16:30:05.561Z,2024-10-18T16:30:10Z,bwozpgcm48s08t1glxfgjajmd,N. Halse,,,5290138295,213,2.91,5290138287,56,Back,5290138293,212,23.5,5290138289,140,27.9,5290138297,279,S,5290138291,141,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734773273,4,1,1,0,4,bd4qakf7j0wwie8wke9km7uj8,0,28.5,55.0,2024-10-18T16:30:10.545Z,2024-10-21T13:36:25Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5290138363,141,56.6,5290288731,1,,5290138359,56,Center,5290138361,140,65.8,5290138367,213,0.03,5302610423,157,,5290138365,212,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734773277,5,43,1,0,6,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-10-18T16:30:12.497Z,2024-10-18T16:30:24Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5290138379,56,Back,5290138687,144,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734773287,3,1,1,0,9,dbl7ir1qugqz8nvp1vzn8im50,0,38.2,42.3,2024-10-18T16:30:14.725Z,2024-10-21T13:37:44Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5290138439,56,Center,5290138447,213,5.91,5290138441,140,57.6,5290138437,157,,5290138445,212,21.8,5290138449,1,,5290138443,141,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734773303,6,1,1,0,9,bd4qakf7j0wwie8wke9km7uj8,0,43.6,70.9,2024-10-18T16:30:14.841Z,2024-10-21T13:39:08Z,aejgqvdw1jftxaa538kaa15w4,O. Juul,,,5290138517,213,6.26,5290138511,140,61.1,5290138507,157,,5290138519,1,,5290138513,141,70.3,5290138515,212,18.4,5290138509,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734804637,458,1,1,0,10,dbl7ir1qugqz8nvp1vzn8im50,0,40.6,19.1,2024-10-18T16:30:15.560Z,2024-10-18T17:21:08Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5290301053,56,Center,5290301061,213,0.13,5290301059,212,29.5,5290301063,1,,5290301055,140,68.5,5290301057,141,24.7,5290301051,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737090449,713,1,1,0,10,bd4qakf7j0wwie8wke9km7uj8,0,37.6,74.1,2024-10-18T16:30:15.874Z,2024-10-21T13:41:44Z,81c40rn7lrb39qu0sam8kv6dw,O. Skolnik,,,5302618091,140,61.2,5302618097,213,5.86,5302618089,56,Center,5302618093,141,57.9,5302618099,1,,5302618087,157,,5302618095,212,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734805071,459,44,1,0,12,dbl7ir1qugqz8nvp1vzn8im50,1,37.2,42.8,2024-10-18T16:30:18.559Z,2024-10-18T17:21:58Z,wha77a8wm7jyn32743y0w79x,T. Trybull,,,5290303535,56,Back,5290303567,233,319,5290303537,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734802561,319,44,1,0,13,bd4qakf7j0wwie8wke9km7uj8,0,62.8,57.2,2024-10-18T16:30:18.560Z,2024-10-21T13:43:54Z,cf6zq49y8v1ekw07e7yi3uac,A. Maarup,,,5290289749,286,,5290303625,233,459,5290289747,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734773343,4,1,1,0,13,dbl7ir1qugqz8nvp1vzn8im50,1,39.2,47.8,2024-10-18T16:30:19.086Z,2024-10-18T17:21:41Z,wha77a8wm7jyn32743y0w79x,T. Trybull,,,5290138703,56,Center,5290138711,213,0.53,5290138701,3,,5290138707,141,66.0,5290138705,140,59.5,5290138709,212,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734773385,5,1,1,0,19,dbl7ir1qugqz8nvp1vzn8im50,1,60.0,65.8,2024-10-18T16:30:25.364Z,2024-10-18T16:30:33Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5290138953,140,79.2,5290138959,213,0.68,5290138955,141,90.0,5290138951,56,Left,5290138957,212,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734773391,6,1,1,0,27,dbl7ir1qugqz8nvp1vzn8im50,0,97.8,68.8,2024-10-18T16:30:32.956Z,2024-10-18T16:30:36Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5290139071,236,,5290139077,286,,5290138991,213,3.98,5290138983,56,Center,5290138985,140,95.8,5290139069,195,,5290138989,212,3.1,5290139073,233,7,5290138987,141,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734773405,7,74,1,0,27,bd4qakf7j0wwie8wke9km7uj8,1,3.3,28.0,2024-10-18T16:30:32.957Z,2024-10-18T18:43:56Z,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,,,5290139063,56,Back,5290139065,285,,5290139087,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734805421,461,61,1,0,29,dbl7ir1qugqz8nvp1vzn8im50,1,97.6,75.9,2024-10-18T16:30:34.560Z,2024-10-18T17:22:36Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5290305557,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734805729,321,61,1,0,30,bd4qakf7j0wwie8wke9km7uj8,1,1.4,29.6,2024-10-18T16:30:35.560Z,2024-10-18T17:22:59Z,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,,,5290307199,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
