id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2707175187,1,34,16,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-08-10T11:06:59.988Z,2024-08-10T12:02:08Z,,,,,5138867159,194,lu9bber07etravimh00k745x,5138766277,59,"1, 7, 27, 13, 3, 18, 11, 10, 14, 9, 17, 4, 12, 16, 20, 22, 24, 25, 26, 30",5138766281,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",5138766275,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",5138766279,130,12,5138766273,30,"dxv40hh07gxq4hn0i6dwb2l4a, e19g5bz7s9wqcvj8mttztxi0a, ea2x4o6ufsqoz2zz7tqcnvo16, ebd3uvtt54wkdsahc2127j02c, lu9bber07etravimh00k745x, cflwegqpzch8y30pb3dhigqnd, bp232fgjrfyok2471ec7u1tcl, dwuxps3jv2852642q000wep6, 8gdfn7j6xac9p4jh94hk40jdg, 9b89pmcjk6re94bjp0ixeatjo, b0yv1pcxifawqx6r1cfqq3otm, ayhdul772mr22qoly04psb3f8, 6bv0j0ezhh9u5u5hqz64p790q, 4dmz3u7j1eoz4ofr1o8tbxedw, az9x5coo3hl4qkt16x24pp5re, beu3ypladd5dexnm9x946kjkk, 1f510mbuc4i1mmshqlgim5u6s, 9yxhg70gpwi3e9s84c8qwg0yx, e0rgqk3gxzs005m9ok9hvp1ck, 6xhxqcmi0g6h61y2pl9v89xjo",5138866739,197,18945,5138766283,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2707181123,1,34,16,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-08-10T11:27:32.356Z,2024-08-10T18:47:33Z,,,,,5138865821,197,17324,5138865819,194,bwozpgcm48s08t1glxfgjajmd,5138792271,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",5138792277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",5138792269,30,"8r9iqig43yjty7l1oq6yg73mc, duvhbifjh37mvlm46akiy431m, aejgqvdw1jftxaa538kaa15w4, bwozpgcm48s08t1glxfgjajmd, 99tm7b6ux9s4qocz0y4pcahas, 81c40rn7lrb39qu0sam8kv6dw, cf6zq49y8v1ekw07e7yi3uac, 4rhxehi019n7z1z1m7a39w1sk, 1el3mu4rgcx8tebrawgfvynf8, m031ocyfq011rual3olkegdm, 7h02v4ymnko5fh01iylbh34es, 7pnxa8wzxx5qxevcckxdd62tx, 4lac0f1ev5usxpka7gaev3hii, 35og29e19w0ykeqcvudhpgr8, emakjdiju8z2peey3ytjahz6y, 6bkuzenpse2kzirt9q7qeisd0, 65f1ckijc2btnprgz3s593dw4, 8rdndyl03uhh1u5id0qf3ymms, e0nkqbugb4xkpluu5e42zf2ms",5138792279,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5138792273,59,"1, 2, 3, 6, 19, 4, 18, 14, 11, 15, 10, 7, 8, 12, 16, 17, 22, 24, 25",5138792275,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196241,2,32,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,0.0,0.0,2024-08-10T12:00:05.326Z,2024-08-10T12:00:05Z,,,,,5138870849,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196243,2,32,1,0,0,bd4qakf7j0wwie8wke9km7uj8,1,0.0,0.0,2024-08-10T12:00:05.326Z,2024-08-10T12:00:07Z,,,,,5138870857,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196251,3,1,1,0,0,b2vft81kyjurzbmekvgrqwr64,1,50.2,50.6,2024-08-10T12:00:05.327Z,2024-08-10T14:57:19Z,9b89pmcjk6re94bjp0ixeatjo,F. Christensen,,,5138870917,141,44.6,5138870921,213,3.37,5138870915,140,33.3,5138870919,212,18.2,5138870923,279,S,5138870913,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196289,4,1,1,0,2,b2vft81kyjurzbmekvgrqwr64,1,33.3,44.6,2024-08-10T12:00:07.862Z,2024-08-10T12:50:48Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5138871075,140,48.2,5138871079,141,46.6,5138871083,212,15.7,5138871071,56,Back,5138871087,213,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196315,5,1,1,0,7,b2vft81kyjurzbmekvgrqwr64,1,61.0,46.0,2024-08-10T12:00:13.004Z,2024-08-10T12:00:16Z,9b89pmcjk6re94bjp0ixeatjo,F. Christensen,,,5138871203,213,3.20,5138871197,140,42.9,5138871195,56,Back,5138871199,141,44.3,5138871201,212,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196327,6,1,1,0,11,b2vft81kyjurzbmekvgrqwr64,1,51.7,41.2,2024-08-10T12:00:16.404Z,2024-08-10T12:50:52Z,b0yv1pcxifawqx6r1cfqq3otm,Z. Hyltoft,,,5138871285,212,17.7,5138871279,56,Back,5138871283,141,58.7,5138871281,140,39.2,5138871287,213,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196359,7,1,1,0,12,b2vft81kyjurzbmekvgrqwr64,1,40.2,57.2,2024-08-10T12:00:18.228Z,2024-08-10T12:50:54Z,lu9bber07etravimh00k745x,J. Bøge,,,5138871423,56,Back,5138871431,213,1.23,5138871427,141,82.9,5138871425,140,46.1,5138871429,212,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707196367,8,1,1,0,16,b2vft81kyjurzbmekvgrqwr64,0,56.5,89.6,2024-08-10T12:00:21.804Z,2024-08-10T12:00:23Z,ebd3uvtt54wkdsahc2127j02c,F. Dietz,,,5138871481,212,3.7,5138871477,140,59.8,5138871527,286,,5138871521,236,,5138871479,141,91.4,5138871475,56,Left,5138871483,213,0.34,5138871523,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
